sensible	adj::可感觉的；明智的	sensible heat::显热；焓¦sensible of::察觉；了解
periodically	adv::偶然地，定期地	
roam	vt&vi::漫步，漫游	roam about::漫游；漫步¦roam around::散步，闲逛
stoop	vt&vi::弯腰，俯身；屈从，堕落，沦为	stoop to something::◎委曲以求，曲意迎合
extinguish	v::熄灭，扑灭	
disturbance	n::打扰，骚动	external disturbance::外扰，外部干扰¦emotional disturbance::情绪困扰¦disturbance voltage::干扰电压¦metabolic disturbance::[生理]代谢紊乱¦wave disturbance::n. 波扰动；[气象学]波状扰动¦disturbance power::骚扰功率；干扰功率¦disturbance of consciousness::意识障碍¦visual disturbance::视力障碍；视觉障碍
censor	n&vt::审查，审查员；删改	
lever	n::杆，杠杆；施加影响的手段¦v::用杠杆移动	release lever::解锁手柄；分离杆¦lever principle::杠杆原理¦brake lever::制动杆¦lever handle::手柄；杠杆手柄；杆式手柄；手柄操纵杆¦hand lever::手柄；手制动杆；柄；手杆¦control lever::控制杆；操纵杆¦lever type::adj. 杠杆式¦shift lever::变速杆¦gear lever::[机]变速杆¦lever arm::杠杆臂；活动臂¦connecting lever::连接棒；连接杆；连接杠杆¦lever rule::杠杆定则（定律）¦valve lever::阀门杆；阀杠杆
gang	n::一组，一队，(罪犯等)一帮，一群	gang of four::四人帮¦criminal gang::犯罪集团¦gang up::v. 聚集；联合起来¦gang boss::小组长；领班；帮派头目¦gang saw::n. 框锯，排锯；直锯¦gang rape::轮奸¦gang war::打群架；聚众斗殴¦street gang::街头匪帮；街党
detach	v::使分开；拆卸；派遣	detach from::从…分离；拆卸
stimulus	n::刺激物；鼓励	economic stimulus::经济刺激¦stimulus package::刺激计划¦fiscal stimulus::财政刺激
knot	n::绳结；结合；树节；海里；小群人¦v::打结	tie the knot::[法]结婚¦chinese knot::中国结¦gordian knot::难题；戈尔迪之结（希腊神话中的一个难题）¦love knot::n. 情结；园心结；相思¦root knot::根瘤病；根癌¦cut the gordian knot::快刀斩乱麻
tumult	n::喧哗；激动，混乱；吵闹	
ardent	adj::热心的；热情的	
ideology	n::思想，思想体系，意识形态	political ideology::政治意识形态
everlasting	adj::永久的，永恒的	from everlasting::开天辟地以来，自古以来¦everlasting love::永远的爱；不朽之爱¦everlasting life::永生；[宗教]来世¦from everlasting to everlasting::永远地
insight	n::洞察，洞悉，见识	insight into::深刻理解，洞察…¦gain an insight into::看透， 识破
artificial	adj::人工的；娇揉造作的	artificial intelligence::人工智能¦artificial leather::人造革¦artificial insemination::人工受精¦artificial stone::人造石¦artificial life::人工生命；人造生命¦artificial heart::[医]人工心脏¦artificial light::人造光¦artificial lake::人工湖；水库；人工蓄水池¦artificial flower::人造花¦artificial aging::人工时效；人工老化；人工硬化¦artificial color::人工色素¦artificial limb::n. 假肢¦artificial marble::人造大理石¦artificial lift::人工升举¦artificial person::[经]法人¦artificial silk::人造丝¦artificial respiration::人工呼吸；人工呼吸急救法¦artificial satellite::人造卫星¦artificial turf::人造草皮¦artificial lighting::[机]人工照明
uphold	v::支持；赞成；确认	
constitution	n::宪法；体格；构造	chemical constitution::化学结构；化学组成¦physical constitution::n. 体格¦written constitution::成文宪法¦amendments to the constitution::宪法修正案¦federal constitution::美国联邦宪法¦economic constitution::经济法¦genetic constitution::基因组成；遗传素质；遗传成分
canvas	n::粗帆布；油画布	on the canvas::(拳击等中)被击倒在地；即将失败¦cotton canvas::棉帆布；棉质油画布¦canvas shoes::帆布鞋¦canvas bag::帆布包，帆布垒包；粗帆布包¦under canvas::◎(士兵等)过帐篷生活的，(住)在帐篷里的
prominent	adj::突出的，显要的，著名的	prominent feature::突出特征；显著地物¦prominent character::主要特性
flirt	v::挥动，调情¦n::调情者；急动	flirt with::同…调情；不认真地考虑
duly	adv::按时地，适当地	duly authorized::经正式授权的
maize	n::玉米	maize starch::玉米淀粉；玉蜀黍淀粉¦maize straw::玉米秸秆；玉米秆¦maize yellow::玉米黄¦maize meal::玉米粉，玉米面
insipid	adj::无味的，枯燥乏味的；单调的	
favour	n&vt::好感，赞成，偏爱	in favour of::支持，赞成¦in favour::赞成；支持；有利于¦favour with::给…(做一件好事)¦do me a favour::帮帮忙¦out of favour::失宠；不受欢迎
malignant	adj::恶意的；恶毒的；(疾病)恶性的	malignant tumor::[医]恶性肿瘤；[医]恶瘤¦malignant lymphoma::恶性淋巴瘤¦malignant melanoma::[医]恶性黑色素瘤¦malignant hypertension::恶性高血压
systematic	adj::有系统的，系统的；有计划有步骤的	systematic analysis::系统分析¦systematic study::系统研究¦systematic approach::系统观点，系统研究法¦systematic error::系统误差¦systematic risk::系统性风险；不可避免的风险¦systematic sampling::系统抽样¦systematic desensitization::系统脱敏疗法；系統減敏法¦systematic observation::系统观察，系统观测¦adequate and systematic service::配套服务¦systematic obstacles::体制性障碍
caustic	adj::腐蚀性的；刻薄的；苛刻的	caustic soda::[化]苛性钠；氢氧化钠¦spent caustic::废碱液¦caustic potash::苛性钾¦caustic alkali::[化]苛性碱¦caustic lime::生石灰；苛性石灰¦caustic solution::苛性碱溶液¦caustic wash::碱洗；氢氧化钠洗
inherent	adj::固有的	inherent quality::固有性质¦inherent law::内在规律¦inherent characteristic::固有特性¦inherent stress::固有应力¦inherent viscosity::比浓对数粘度；特性黏度¦inherent risk::固有风险¦inherent defect::固有缺点¦inherent regulation::固有变动率；内不等率；自行调节；自平衡¦be inherent in::天生...；固有...¦inherent vice::固有缺陷；内在缺陷¦inherent reliability::固有可靠性；本质可靠性¦inherent moisture::内在水分，固有水分；内在潮湿；结构水
wage	n::周薪¦v::从事(战争等)	minimum wage::最低工资¦the wages of sin::罪恶的报应，死[源自《圣经》]¦wage system::工资制度，工资体系¦average wage::平均工资¦wage level::工资水准，薪金标准¦wage income::工资收入；工资所得¦low wage::低工资¦wage rate::工资率¦basic wage::基本工资¦living wage::最低生活工资；糊口工资¦hourly wage::计时工资，按时计酬¦incentive wage::增产奖励工资；计件工资¦freeze wages::冻结工资¦wage earner::n. 靠工资为生的人；雇佣劳动者¦efficiency wage::效率工资；计件工资¦wage freeze::[经]工资冻结¦wage scale::n. 工资等级表¦wage labor::雇佣劳动；工资劳工¦wage structure::工资结构¦wage hike::n. 工资的增加
amuse	v::使娱逗，逗…笑	amuse oneself::自娱自乐，消遣
negligible	adj::微不足道的，可以忽视的	
air	n::空气	in the air::在空中；悬而未决；在流传中；不设防¦air conditioning::空调；空气调节¦air pollution::大气污染，空气污染¦by air::乘飞机；通过航空途径¦air ticket::机票¦fresh air::新鲜空气¦air force::空军¦air conditioner::n. 空调设备；空气调节机¦air flow::气流；空气流量；空气流向¦air temperature::气温，空气温度¦hot air::吹牛；大话¦air pressure::气压；风压¦air compressor::空气压缩机¦on the air::在广播，广播中¦compressed air::压缩空气¦air transport::航空运输¦air condition::空调，空气调节设备¦on air::（无线电）广播的；送风期¦air defense::n. 防空¦air traffic::空中交通，航空运输；飞航
incur	v::招致; 遭受	
molest	v::骚扰；干扰	
monstrous	adj::巨大的；恐怖的；可耻的，丢脸的	
edible	adj::可以食用的	edible oil::食用油¦edible fungus::食用菌；木耳¦edible fungi::食用菌；食用真菌学¦edible vegetable oil::食用植物油¦edible plant::可食植物¦edible mushrooms::食用菌；食用蘑菇
offer	v::违犯；伤害的感情¦n::提供；提议	offer for::对…报价¦on offer::出售中¦make an offer::要价，出价¦special offer::特别优惠¦job offer::工作机会；工作邀请¦offer help::提供帮助¦offer up::贡献¦best offer::最低报价¦offer one's service::主动帮忙¦firm offer::实盘¦tender offer::投标报价；招标¦offer to buy::认购，要约买入¦offer to sell::销货要约¦offer price::要价；卖出价¦counter offer::买方还价，还盘¦offer firm::报实盘¦offer letter::n. 建议书；报价书；录用通知书¦offer sheet::报价单，报盘单¦offer a reward::悬赏¦public offer::公开报价
alternate	adj::交替的，轮流的¦v::轮流交替，交替	alternate with::相间¦alternate between::在两种状态中交替变化；时而…时而…¦alternate name::又名¦alternate current::交流电¦every alternate::每隔¦alternate energy::替代能源¦alternate days::隔日¦on alternate days::隔日地¦alternate stress::交变应力；反复应力¦alternate form::复本；更替卷；变形¦alternate route::替换路线
tramp	v::徒步远行；长途跋涉	on the tramp::走江湖，跑码头；漂泊着
sprout	vt&vi::发芽，开始生长；发展	bean sprout::豆芽
tempo	n::(行动，活动)速度；节拍；节奏	
tough	adj::坚韧的，咬不动的；强壮的；粗暴的	tough guy::[美口]硬汉¦tough it out::[美国口语]勇敢地承受；坚持到底¦get tough with::[口语]对…强硬起来¦tough cookie::非常坚强的人；不易动感情的人；自信者¦tough luck::坏运气；真不走运¦tough nut::大胆果断的人；暴躁的人¦tough love::严厉的爱（指为起到帮助作用而严厉地对待有问题的人）¦hang tough::坚持到底，顽强不屈
maritime	adj::海上的；海事的；近海的；沿海的	maritime law::海商法；海洋法¦maritime court::海事法庭¦maritime navigation::海上航行；水运；航海学；海洋船舶驾驶¦maritime arbitration commission::海事仲裁委员会¦maritime lien::（法）海上留置权¦maritime climate::海洋性气候；海岸气候¦maritime rights::海洋权
spark	n&v::(发)火花	spark plug::n. 火花塞；带头人；中坚分子¦electric spark::电火花¦spark discharge::火花放电¦spark gap::火花隙；电花隙¦spark ignition::火花点火¦spark machining::电火花加工¦spark advance::点火提前；火花提早¦electric spark machining::[机械]电火花加工；放电加工¦spark erosion::火花蚀刻，电火花腐蚀¦spark of life::生命的火花¦make the sparks fly::干得热火朝天；进行得非常热烈¦spark timing::火花定时器¦not a spark of::毫不，一点也不
establish	v::建立，委任；安置；证实；确立	establish oneself in::在…落户，定居在¦establish as::确立为…；使成为…¦establish a business::创业；设立商店¦unable to establish::不能成立
dim	adj::暗的，看不清楚的，迟钝的¦v::变暗淡	dim sum::（汉）点心¦dim light::微光；弱光；暗光灯
lodge	v::供住宿，寄宿；存放；提出¦n::仆人住房	lodge a claim::提出索赔¦lodge a complaint::投诉；对…提出控告
rendezvous	n::约会；集会，聚会之地点	
martyr	n::烈士，殉难者¦v::杀害，折磨，牺牲	
confront	v::使面对；面临	confront with::使面临
neat	adj::整洁的；雅致的；灵巧的；纯的；不掺水的	neat cement::净水泥，净水泥浆
rectangle	n::矩形，长方形	rectangle tool::矩形工具
transgress	vt&vi::越越限度；违反(法律规则)	
verdict	"n::(陪审团)裁决, 定论；意见 "	
evacuate	v::撤离，疏散，排清	
remorse	n::懊悔，悔恨	
caution	n&vt::小心；告诫，警告	with caution::adv. 慎重；留心¦caution against::警告；告诫
subordinate	adj::下级的，次要的,从属的¦n::部下，下级职员	subordinate body::下属机构；附属机构¦subordinate clause::从句¦subordinate staff::下属人员；从属人员
chin	n::下巴，颏	chin oneself::(在单杠上)做引体向上动作¦chin up::振奋起来；引体向上¦double chin::n. 双下巴
live	v::活，生活¦adj::有生命的，实况的	live in::住进¦live with oneself::不会感到内疚，会心安理得的；自重¦live to oneself::过孤独的生活¦live with::忍受；[口]承认；寄宿在…家；与…同居¦live up::v. 快乐地过日子¦live on::vi. 以...为食；靠...生活¦live for::v. 盼望；为.....而生活¦live by oneself::独居¦live by::以…为生¦live together::同居，生活在一起¦live well::过得好¦live at::住在¦live out::住在外面；活过（某一段时间）¦live alone::独自生活；一个人住；单独居住¦live through::度过；经受过¦long live::万岁¦live under::vt. 隶属于；在…统治下生活¦live in peace::和平相处¦live in harmony::和睦相处，和谐共处¦live and learn::学无止境；活到老学到老；活得长，见识多；学到新事物
global	n::全世界的，全球的；综合的	global economy::全球经济¦global warming::全球变暖¦global market::全球市场¦global climate::全球气候¦global optimization::整体最佳化¦global network::全球网¦global environment::n. 全球环境；地球环境¦global change::全球变化；全世界性变化¦global positioning system::全球位置测定系统¦global village::地球村，世界村¦global optimum::总体最优值¦global stability::全局稳定性；整体稳定性；大范围稳定¦global strategy::全球战略；全球策略¦global value::总价值，总值¦global marketing::全球营销；总括市场¦global community::全球社区；地球村¦global system::全球系统；全球税制¦global sourcing::全球采购；全球资源¦global view::全局观点；全局视图¦global reach::全球性覆盖
revive	v::苏醒，复活；复兴，再流行	
pesticide	n::杀虫剂，农药	pesticide residue::[药]农药残留（量）¦organophosphorus pesticide::有机磷农药¦chemical pesticide::化学农药
create	v::创造；创作；产生；造成	create button::创建按钮
gloss	n::光泽，光滑；虚饰；注释¦v::加光泽于	high gloss::超光泽度；高度光泽¦lip gloss::n. 润唇膏¦gloss over::v. 掩盖，掩饰；给以光滑的表面¦gloss finish::光泽整理¦gloss meter::光泽计，光泽度计；光泽仪（测量光泽度的仪器）¦gloss varnish::上光漆；有光清漆
entreat	v::恳求，央求	
detain	v::留住；扣押，拘留	
tidy	adj::整洁的；有条理的	tidy up::收拾，整理
eloquent	adj::雄辩的	
attend	v::专心；照顾	attend a meeting::参加会议¦attend school::上学；去上学¦attend class::上课¦attend on::照料；侍候¦attend a lecture::听关于……的讲座；上课¦attend university::上大学¦attend by::伴着
postage	n::邮费，邮资	postage stamp::n. 邮票
postpone	v::推迟；延缓	
crisp	adj::脆的；干脆的¦n::油炸马铃薯片¦v::(使)发脆	
instrument	n::仪器；器具；乐器	measuring instrument::[化]测量仪表¦musical instrument::乐器¦test instrument::试验仪器；测量设备¦testing instrument::试验仪器¦precision instrument::[计][经]精密仪器¦intelligent instrument::智能仪器¦instrument panel::仪表板；仪表操纵板¦financial instrument::金融工具；金融票据¦instrument system::仪表系统¦optical instrument::光学仪器¦monitoring instrument::调节仪表；控制仪表¦electronic instrument::电子仪器，电子测试仪器¦stringed instrument::弦乐器¦scientific instrument::科学仪表¦wind instrument::管乐器，吹奏乐器¦detecting instrument::检测仪器；检测元件；检波器¦logging instrument::测井仪¦percussion instrument::打击乐器¦instrument analysis::仪器分析¦experimental instrument::实验仪器
most	n&a&ad::大多数，最；最多的(地)	most important::最重要的；首要的；最关键的¦most of::大部分，大多数的；绝大多数¦most people::多数人¦most popular::最受欢迎；最流行¦most of them::他们中的大多数¦most likely::最可能¦most of the time::绝大部分时间，在很多时候¦in most cases::大部分情况下¦at most::至多¦make the most of::尽量利用；十分重视¦most of all::最重要的是；首先¦most often::最经常；很多时候；通常来说¦for the most part::adv. 在极大程度上，多半¦at the most::至多，不超过¦most probable::最可能的¦most of time::adj. 时常地¦most valuable player::最有价值球员；最优秀选手¦for most purposes::对大多数场合¦most reverend::最尊敬的大主教大人（大主教的尊称）¦most favored nation::最惠国待遇
situated	adj::坐落在的；处于某种境地的	situated learning::情境学习
notify	v::通知，报告	notify party::到货受通知人¦also notify::另请通知
phobia	n::(病态的)恐惧，憎恶	social phobia::社交恐惧症
municipal	adj::市的，市政的	municipal government::市政府¦municipal sewage::城市污水¦municipal engineering::市政工程¦municipal facilities::市政工程设施¦municipal waste::城市垃圾；城市废物；城市废料¦municipal refuse::城市垃圾¦municipal works::市政工程¦municipal bond::市政债券¦municipal council::市政委员会；市议会¦municipal court::市法院
eye	n&vt::眼睛；看	in the eyes of::在…心目中；从…来看¦to the eye::adv. 从表面上看来；公然¦an eye for::对…很有兴趣，对…有很深的爱好；对…有敏锐的鉴赏力；能欣赏；能判断¦all eyes::目不转睛；众目睽睽；聚精会神地看¦eyes and ears::耳目¦the public eye::群众的眼睛；社会的注意¦in eye::在视线之内；在望¦with an eye to::着眼于…；指望着…¦eye contact::目光接触；眼神交会¦in the public eye::广为人知的；受公众瞩目的¦eye to eye::心有灵犀；四目相对¦with the naked eye::adv. 用肉眼¦keep an eye on::v. 照看；留意；密切注视¦set eyes on::v. 看到；望见¦see eye to eye::看法一致¦naked eye::n. 肉眼¦black eye::黑眼圈；被打得发青的眼圈；丑事¦eyes out::[澳大利亚、新西兰口语]全力以赴，竭尽全力¦with an eye on::考虑到；注意到¦at eye::不费劲地随便一看，望一眼
curl	n::卷毛；卷发¦v::使卷曲	curl up::卷起
vehicle	n::车辆交通工具；思想媒介	motor vehicle::汽车；机动车辆¦electric vehicle::电动车辆¦vehicle maintenance::汽车维护，车辆保养¦commercial vehicle::商用车辆¦launch vehicle::运载火箭¦railway vehicle::铁路车辆¦passenger vehicle::客车，客运车辆；载客车辆¦vehicle registration::车辆登记；车辆注册登记¦transport vehicle::运输车，载重汽车¦tracked vehicle::履带式汽车¦road vehicle::公路用车¦armored vehicle::装甲车（辆）¦special purpose vehicle::专用汽车；特别用途车辆¦space vehicle::太空交通工具¦utility vehicle::多用途运载车¦vehicle traffic::车辆交通¦heavy vehicle::重型车辆¦hybrid vehicle::混合驱动汽车¦off-road vehicle::越野车辆¦light vehicle::轻型汽车；轻型车辆
minus	a&n&prep::负的，负号；减	minus one::关闭一声部模式；零下一度
scold	vt&vi::责骂，申斥	
section	n::部分，零件；剖面，横断面，阶层	cross section::横截面¦in this section::在这部分；本节内容¦cesarean section::剖腹产术¦section steel::型钢¦section chief::部门主管¦thin section::[生]薄片；薄剖面；薄切片¦golden section::[数]黄金分割¦radar cross section::雷达截面，雷达目标有效截面¦control section::控制部分；控制段；控制节¦vertical section::垂直切面，纵断面¦caesarean section::[医]剖腹产；剖腹产术¦special section::n. 特殊型钢，异型钢材¦horizontal section::水平截面；水平切面；水平断面；水平剖面¦paraffin section::石蜡切片¦transverse section::横切面¦test section::测试区；试验管段¦rectangular section::矩形剖面¦circular section::圆截面¦heavy section::大型钢材¦section office::科室
reciprocal	adj::相互的；互惠的	reciprocal relation::互反关系¦reciprocal transformation::相互转化；反向变换；倒数转换¦reciprocal relationship::互反关系¦reciprocal cross::正反交；互交¦reciprocal action::互相酌；相互酌；交互作用
category	n::种类，类目	product category::产品类别；产品目录；积范畴¦first category::第一纲¦category theory::范畴论¦category management::品类管理；类别管理¦semantic category::语义范畴；语义类别¦taxonomic category::同类范畴；分类范畴；分类项目¦social category::社会类属；社会范畴¦job category::工作类型；工作性质¦subject category::学科分类；主题范畴
captive	n&a::俘虏，迷恋者；被俘虏的，被拴住的	captive audience::受制而走不开的听众或观众
panic	n::恐慌，惊慌¦v::受惊，惊慌	no panic::[美国俚语]不大高明；平凡¦panic disorder::惊恐性障碍，恐慌症¦in panic::惊慌的¦panic attack::惊恐发作（一种病症）¦financial panic::金融恐慌；经济恐慌¦panic button::应急开关；紧急保险按钮¦panic buying::抢购，恐慌性抢购
intact	adj::未受损的，完整的	intact rock::完整岩石¦keep intact::保持原貌（样）
entry	n::进入，入口；条目，词条	entry into::进入，加入¦data entry::[计]数据输入；资料登录¦entry point::[计]入口点；入职薪点；入水点¦entry form::报名表格¦no entry::不准入内；禁止通行¦entry into force::生效¦barriers to entry::进入壁垒；进入障碍¦entry fee::报名费；参赛费；入门费¦entry level::入门级，入学水平¦entry permit::入境许可证¦double entry::复式簿记；复式计帐¦port of entry::n. 货物的进口港；人员的入境港；报关港¦order entry::订单输入；买卖盘输入¦date of entry::入境日期；登录日期¦entry visa::入境签证¦free entry::自由加入，自由进入¦entry barriers::进入壁垒；进入障碍¦cable entry::电缆引入线¦entry strategies::进入战略¦barrier to entry::进入市场壁垒
inspiring	adj::令人振奋的	
tedious	adj::乏味的，沉闷的	
cannon	n::大炮¦v::开炮	water cannon::防暴水枪；高压水炮¦cannon fodder::n. 炮灰¦loose cannon::我行我素不顾后果的人
stereo	n::立体声录音机	stereo system::n. 立体音响系统¦stereo display::立体显示¦stereo type::定型¦stereo effect::立体声效应
feedback	n::反应，用户反应	feedback control::[计]反馈控制；回馈控制¦negative feedback::负反馈；负回授¦information feedback::信息反馈¦positive feedback::正反馈¦feedback system::反馈系统；反馈方式¦feedback information::反馈信息¦feedback mechanism::n. 反馈机制，回馈机制¦feedback loop::[计]反馈环路，反馈回路¦force feedback::[机器人]力反馈¦feedback control system::反馈控制系统¦market feedback::市场反馈；市场调查资料¦feedback circuit::反馈电路¦feedback signal::回馈信号，反馈信号¦feedback effect::反馈效应；反馈作用¦position feedback::位置反馈；定位反馈¦feedback amplifier::回馈放大器¦immediate feedback::即时反馈；立即反馈¦acoustic feedback::声反馈；声回授¦feedback component::反馈元件¦feedback data::反馈数据
lament	v::悲痛，哀悼¦n::挽歌，挽诗	lament over::哀悼；为……而悲痛
paradise	n::天国；乐园	paradise lost::失乐园¦a paradise on earth::人间天堂¦fool's paradise::幻想；虚幻的乐境¦paradise island::天堂岛¦earthly paradise::地上乐园，人间天堂¦bird of paradise::极乐鸟；天堂鸟
fountain	n::泉水，喷泉；源泉	fountain pen::n. 钢笔¦water fountain::饮水器；供应饮用水之处¦fountain of youth::青春之泉¦soda fountain::冷饮柜台，冷饮小卖部¦drinking fountain::n. （设于公共场所的）自动饮水器
acquisition	n::获得，获得物	data acquisition::数据采集¦data acquisition system::数据采集系统；资料获取系统¦language acquisition::语言习得¦land acquisition::土地征用¦merger and acquisition::收购兼并；兼并与收购¦knowledge acquisition::知识获取；知识习得；知识获得；知识采集¦information acquisition::信息获取；信息采集¦acquisition time::收集时间¦target acquisition::自标探测，目标获取¦acquisition cost::取得成本；购置成本¦acquisition and merger::兼并¦acquisition of land::收购土地¦acquisition of assets::购置资产；资产的取得¦data acquisition unit::数据采集器¦acquisition agreement::收购协议¦acquisition price::购置价格
revise	v::修订；改正	revise for::v. 复习功课（迎考）
closet	n::小储藏室	water closet::厕所；抽水马桶
prolific	adj::多产的，丰富的	
audible	adj::听得见的	audible alarm::声音报警，音响报警¦audible sound::n. 可听见的声音
advent	n::降临，出现	the advent of::(重要人物或事件)…的出现(或到来)¦with the advent of::随着…的出现
get	v::使得，使成为某种状态，开始起来	get one's::◎[美国口语]得到应有的惩罚¦get something on someone::[口语]抓住某人的把柄¦get there::到达那里；取得成功，实现目标¦get used to::习惯于…¦get rid::摆脱；排除；处理掉¦get up::起床，筹备；打扮¦get out::离开，出去；泄露；出版¦get in::进入；到达；陷入；收获¦get into::进入；陷入；穿上；习惯于¦get back::回来；恢复；取回；重新上台¦get on::上车，上马；进展，使前进¦get out of::逃避；避免¦get married::结婚¦get off::v. 动身；免于受罚；从…下来；脱下（衣服等）¦get better::变得更好；康复¦get to know::了解；认识¦get through::通过；到达；做完；接通电话¦get hold of::把握；抓住；得到¦get away::离开；逃脱；出发¦get from::从…处得到…
recline	vt&vi::斜倚，躺	
pier	n::桥墩；码头	bridge pier::桥墩¦pier foundation::墩式地基，墩基础
menace	n&vt::危险，威胁	
outrageous	adj::残暴的，蛮横的	
fossil	n::化石	fossil fuel::矿物燃料，化石燃料¦living fossil::[生]活化石；[口]落后于时代的人¦trace fossil::生痕化石；踪迹化石¦fossil oil::石油；化石燃料
ethnic	adj::种族的；人种学的	ethnic group::n. 同种同文化之民族¦ethnic minority::少数民族¦ethnic chinese::华裔人士¦ethnic culture::民族文化；族群文化¦ethnic identity::族群认同，种族认同；民族认同¦ethnic relations::族群关系¦ethnic origin::种族本源¦ethnic cleansing::n. 种族清洗¦ethnic composition::种族构成¦ethnic tourism::民俗旅游；异族观光¦ethnic food::民族风味餐¦ethnic minority group::少数人种群体¦ethnic affairs commission::民族委员会；民族事务委员会¦ethnic drug::民族药
marital	adj::婚姻的，丈夫的	marital status::婚姻状况¦marital violence::婚姻暴力；婚后暴力
wrought	adj::锤炼的	wrought iron::锻铁，熟铁¦wrought aluminium::熟铝；锻铝
supposedly	adv::想象上，恐怕	
clockwise	adv::顺时针方向地	clockwise rotation::顺时针转¦clockwise direction::顺时针方向¦counter clockwise::逆时针方向
sector	n::战区，防区；(工业等)部门，部分	private sector::私营部门；私营成分¦financial sector::财政部门¦public sector::国营部门经济；政府资助的企事业；社会经济的公有部份¦banking sector::银行业；银行部门¦government sector::政府部门¦service sector::服务部门，服务行业；服务业¦manufacturing sector::制造业；制造部门¦third sector::第三部门¦economic sector::经济部门；经济成份¦commercial sector::商业部门；商界¦boot sector::n. 引导扇区；启动磁区¦informal sector::非正式部门¦tertiary sector::第三产业（服务业）；第三产业部门¦sector gear::[机]扇形齿轮，扇形轮
chunk	n::厚块	
transplant	n&v::移植，移种；人工移植(心,胃)；迁移 "	organ transplant::器官移植¦heart transplant::心脏移植；心脏移植手术¦hair transplant::头发移植
radiate	v::发射，放射	radiate from::从……发出
millennium	n::一千年，千禧年；太平盛世	millennium development goals::千年发展目标（millennium development goal的复数）¦millennium bug::千年虫；千禧虫¦china millennium monument::中华世纪坛
speculate	v::思索，推测，投机	speculate on::v. 推测；考虑
inept	adj::不适当的	
lamb	n::小羊；羔羊肉	lamb of god::上帝的羔羊；基督¦lamb wave::蓝姆波¦lamb meat::羔羊肉¦leg of lamb::n. 羊腿¦lamb chop::羊排；羊扒¦ewe lamb::最宠爱的人；惟一的宝贝孩子；最珍爱的东西(源自《圣经》)¦rack of lamb::n. 小羊肋骨肉
specimen	n::标本，样品，样张；试样	test specimen::试样；试棒；试块¦specimen signature::签字样本；印鉴样本¦specimen preparation::试片制作；样品制备¦type specimen::模式标本；标准样品；原始标本¦metallographic specimen::金相试样¦specimen collection::样本采集；样本收集¦standard specimen::标准试样；标准样品¦tensile specimen::拉伸试片¦notched specimen::切口试样
hop	v&n::单足跳，弹跳	hip hop::n. 嘻哈文化（由快板歌、涂墙艺术、霹雳舞等构成的亚文化）¦hop on::责骂¦on the hop::到处奔忙；忙碌¦hop off::起飞；离开
differ	v::不相同，意见不一致	differ from::与…不同；区别于…¦differ in::不同在；在…方面存在不同¦differ with::与…意见不一；与…不调和¦opinions differ::见仁见智；各人意见不同；不能达成一致意见；看法不一¦beg to differ::恕不同意
volunteer	vt&n::自愿参加(者)	volunteer services::义工服务；志工服务台
aquarium	n::水族馆；养鱼池	vancouver aquarium::温哥华水族馆（北美洲三大水族馆之一）
supposition	n::假定，想象，猜测	
costume	n::服装式样；戏服	costume jewelry::（用作服饰的）人造珠宝¦costume design::最佳服装设计¦national costume::民族服装¦chinese costume::中式装；唐装；中装¦costume jewellery::人造珠宝饰物；服装饰物¦costume designer::服装设计师¦costume party::化妆舞会；化装舞会¦costume designing::服装设计
fixture	n::附属装置；运动项目	test fixture::测试夹具¦lighting fixture::照明器材¦welding fixture::焊接夹具¦clamping fixture::夹具；胎具¦light fixture::灯具；照明设备；电灯组件¦jig and fixture::夹具及固定装置¦assembly fixture::装配夹具；装配设备
strive	v::斗争，努力，奋斗	strive for::争取，奋斗¦strive to develop::努力发展；大力发展¦strive after::奋斗；争取¦strive against::反抗¦strive for freedom::力争自由
seclude	v::使隔离；使孤立，使隐退	
heighten	v::加高，提高；增大	
predecessor	n::前任	predecessor company::被接管公司
aboriginal	n&a::土著(的)；土生动植物(的)	
chronological	adj::按时间顺序的	chronological order::年月日次序；（事情发生或发展的）时间次序¦chronological age::n. [心]实足年龄（用途测定智商的数据）；实龄¦chronological record::序时记录
assault	n&vt::袭击	sexual assault::性侵犯；性暴行¦assault rifle::突击步枪；冲锋枪¦assault and battery::人身攻击；暴力殴打¦aggravated assault::[律]加重恐吓行为；加重攻击罪¦indecent assault::[法]强暴猥亵罪
sober	adj::严肃的，认真的，清醒的	sober up::清醒起来；使…清醒；使严肃起来
implement	n::工具，器具¦v::贯彻，履行	implement plan::执行计划，实施计划¦stone implement::石器；石器用具
quiver	vt&vi::颤动，抖动	quiver with::战栗；颤动
ostentation	n::夸耀，卖弄	
compulsory	adj::义务的；强制的	compulsory education::义务教育¦compulsory course::必修课¦compulsory insurance::强制保险¦compulsory license::强制许可¦nine-year compulsory education::九年制义务教育¦compulsory subject::必修课¦compulsory execution::强制执行¦compulsory measure::强制手段¦compulsory exercise::规定动作¦china compulsory certification::中国强制认证（3C认证）¦compulsory purchase::强制购买
hike	v&n::徒步旅行；增加；抬起	price hike::提价；物价上涨¦take a hike::走路；滚开；哪凉快那歇着去¦hike up::飘起¦tax hike::赋税增加¦wage hike::n. 工资的增加
tackle	vt&vi::处理，对付；抓住	fishing tackle::n. 渔具；钓鱼用具¦block and tackle::滑车组；滑轮组¦tackle box::工具盒；钓具盒¦lifting tackle::起重滑车；提升滑轮；滑轮起吊设备¦sliding tackle::铲球
