internship	n::<美>实习医师	internship programs::实习计划；实习课程
powerful	adj::强大的；强有力的¦adv::很；非常	powerful force::劲旅；强大的势力¦powerful drug::剧药；强效药；特效药¦powerful machine::强力电机
practicable	adj::可用的；行得通的；可实行的	
practical	adj::实际的；实用性的	practical application::实际应用¦practical experience::实务经验，实践经验，实际经验¦practical value::实际价值¦practical work::社会实践；实际作业¦practical use::实际用途；实际应用；实用¦practical situation::实际情况¦practical ability::实践能力；实际能力¦practical problem::实际问题¦practical training::实习训练；实际培训¦economical and practical::经济实用；经济实惠¦practical knowledge::实践性知识，实用性知识；实务知识¦practical writing::应用文，应用写作¦practical english::实用英语¦practical activity::实践活动¦practical guide::实用向导；实用手册¦practical level::实际水平¦practical reason::实践理性；实际理由¦practical purpose::实用目的¦practical skill::实际技能¦practical philosophy::实践哲学，实际哲学
practicality	n::实用性，实际性；实际，实例	
practice	n::实践；练习；惯例¦v::练习；实习；实行	in practice::在实践中；实际上，事实上¦practice of::有…的习惯¦into practice::实施；实行¦teaching practice::教学实习；试教¦clinical practice::临床实践；内科学¦engineering practice::工程实践¦judicial practice::判例；司法程序¦practice teaching::教学实习（师范院校学生的）；试教¦social practice::社会实践¦put into practice::实行，实施；落实¦good practice::良好的做法¦international practice::国际惯例；国际实践¦construction practice::施工管理¦management practice::管理实务¦common practice::惯例；习惯作法¦medical practice::医疗实践¦best practice::最佳实务，最佳实践；最佳做法，最优方法；典范做法¦design practice::设计原则¦educational practice::教育实习；教改实践¦legal practice::法律实践
practise	v::练习，实践；实施，实行；从事	
practitioner	n::开业者，从业者，执业医生	general practitioner::全科医师；普通医师¦medical practitioner::[医]医师，开业医师¦nurse practitioner::护理师，护师；执业护师，开业护士
pragmatic	adj::实际的；实用主义的；国事的	pragmatic competence::语用能力¦pragmatic failure::语用失误；语用失效¦pragmatic approach::实际的方法；重实效的方法
prairie	n::大草原；牧场	prairie fire::草原火灾；星火燎原¦prairie dog::[动]北美的草原土拨鼠
praise	n::赞扬；称赞；荣耀；崇拜¦v::赞美，歌颂；表扬	in praise of::歌颂；为赞扬¦praise for::因为...赞美¦public praise::口碑，公众的称赞¦full of praise::赞不绝口¦song of praise::赞歌¦with high praise::受到高度赞扬¦more praise than pudding::恭维多而实惠少¦beyond all praise::赞美不完¦criticism and praise::批评和赞扬
pram	n::婴儿车；送牛奶用的手推车	
prawn	n::对虾，明虾¦v::捕虾	prawn cracker::龙虾片；虾片¦king prawn::宽沟对虾；大虾；国王明虾
pray	v::祈祷；恳求；央求¦n::(Pray)人名；(匈)普劳伊；(英)普雷	pray for::恳求，请求
prayer	n::祈祷，祷告；恳求；祈祷文	prayer meeting::n. 祈祷会¦lord's prayer::主祷文，天主经¦prayer book::n. 祈祷书¦prayer beads::念珠¦evening prayer::晚祷
preach	v::说教；讲道；鼓吹；传道；反复灌输¦n::说教	
precarious	adj::危险的；不确定的	
precaution	n::预防，警惕；预防措施¦vt::警惕；预先警告	take precautions against::vt. 采取措施预防¦precaution against::提防，防范；耐心¦safety precaution::安全预防措施
precede	v::领先，在…之前；优于，高于	
precedent	n::先例；前例¦adj::在前的；在先的	judicial precedent::司法判例¦condition precedent::先决条件¦conditions precedent::先决条件
precinct	n::选区；管理区；管辖区	
precious	adj::宝贵的；珍贵的；矫揉造作的¦n::(Precious)人名；(英)普雷舍斯，普雷舍丝(女名)	precious metal::贵金属，贵重金属¦precious stone::宝石¦precious moment::珍贵的时刻
precipitate	n::[化学] 沉淀物¦v::使沉淀；促成；猛抛；使陷入¦adj::突如其来的；猛地落下的；急促的	
precipitous	adj::险峻的；急躁的，鲁莽的	
precis	n::摘要；大纲¦v::概括…的大意；为…写摘要	
precise	adj::精确的；明确的；严格的	to be precise::确切地讲¦to be more precise::更确切地说¦precise information::精确资料¦precise instrument::精密仪器¦at the precise moment::恰恰在那个时刻¦precise alignment::精密准直¦precise ephemeris::精密星历表；精确星历表¦precise registration::精密对准
precision	n::精度，[数] 精密度；精确¦adj::精密的，精确的	high precision::高精度¦precision machinery::精密机械；精密机械学¦precision machining::精密加工；精密机械加工¦measurement precision::测量精度¦machining precision::加工精度¦precision casting::精密铸造¦precision measurement::精密测量¦precision grinding::精密磨削¦precision instrument::[计][经]精密仪器¦precision forging::精密锻造；精密铸造¦precision parts::精密零件¦precision agriculture::精准农业；精细农业¦precision equipment::精密设备¦precision work::精密加工；精工¦precision processing::精密处理¦dimensional precision::尺寸精度¦precision lathe::精密车床¦precision ratio::查准率¦precision finishing::[化]精密加工¦precision rolling::精轧；精密轧制
preclude	v::排除；妨碍；阻止	
predatory	adj::掠夺的，掠夺成性的；食肉的；捕食生物的	predatory pricing::掠夺性订价；掠夺性价格
predecessor	n::前任，前辈	predecessor company::被接管公司
predicament	n::窘况，困境；状态	
predicate	v::断定为…；使…基于¦n::谓语，述语¦adj::谓语的；述语的	(grammatical) predicate::（语法）谓语¦predicate logic::谓词逻辑¦predicate verb::谓语动词¦predicate calculus::谓词演算
predict	v::预报，预言；预知	
prediction	n::预报；预言	prediction model::预测模型；推算模型¦earthquake prediction::地震预报¦prediction error::n. 预测误差¦prediction algorithm::预测算法¦linear prediction::线性预测；线性预报¦weather prediction::天气预报¦reliability prediction::[经]可靠性预计¦failure prediction::[计]失效预测，故障预测
predominant	adj::主要的；卓越的；支配的；有力的；有影响的	
prefabricate	v::预先制造；预先构思；预制构件	
preface	n::前言；引语¦v::为…加序言；以…开始	
prefer	v::更喜欢；宁愿；提出；提升	would prefer::宁愿；更喜欢¦prefer to do::宁可做某事；更喜欢做某事¦prefer doing::喜欢做某事
preferable	adj::更好的，更可取的；更合意的	
preference	n::偏爱，倾向；优先权	preference for::偏爱…¦preference to sth::优先¦tax preference::税收优惠¦personal preference::个人喜好¦in preference to::优先于……¦consumer preference::消费者偏好，消费偏爱¦by preference::最好，首先¦sexual preference::性取向；性偏好；性爱好¦preference share::优先股；红利先取股¦time preference::时间的优先选择¦color preference::色彩的嗜好；颜色爱好¦margin of preference::[经]优惠幅度；[经]优惠差额¦liquidity preference::[经]流动性偏好
preferential	adj::优先的；选择的；特惠的；先取的	preferential price::优惠价，照顾价格¦preferential treatment::优待；特惠待遇¦preferential policy::优惠政策；倾斜政策¦preferential trade::特惠贸易¦preferential orientation::优先定位；择优定向；最佳取向¦preferential adsorption::选择性吸附
prefix	n::前缀¦v::加前缀；将某事物加在前面	
pregnancy	n::怀孕；丰富，多产；意义深长	ectopic pregnancy::[医]子宫外孕¦tubal pregnancy::输卵管妊娠¦pregnancy test::妊娠试验，验孕¦extrauterine pregnancy::子宫外孕，子宫外妊娠
pregnant	adj::怀孕的；富有意义的	pregnant woman::孕妇¦to be pregnant::怀孕¦pregnant solution::含贵重矿物溶液
prehistoric	adj::史前的；陈旧的	
prejudice	n::偏见；侵害¦v::损害；使有偏见	without prejudice::无偏见¦pride and prejudice::《傲慢与偏见》¦prejudice against::vt. 对……的偏见¦to the prejudice of::有利于，有损于¦racial prejudice::种族偏见
preliminary	n::准备；预赛；初步措施¦adj::初步的；开始的；预备的	preliminary study::初步研究¦preliminary analysis::初步分析¦preliminary design::初步设计¦preliminary stage::初始阶段，初期；原始阶段¦preliminary investigation::初步调查¦preliminary test::初步试验；预先测试；初级试验¦preliminary examination::预备考试；预先检查¦preliminary plan::初步设计¦preliminary round::初赛；分组预选赛¦preliminary data::初始数据¦preliminary survey::初步调查；初测¦preliminary treatment::预处理¦preliminary assessment::初步评估；预备评估¦preliminary report::初步报告；预备报告¦preliminary planning::初步规划；初步计划¦preliminary agreement::初步协议¦preliminary review::预审；预先复查；初审¦preliminary scheme::初步规划¦preliminary hearing::n. 调查庭¦preliminary works::初步工程；准备工程
prelude	n::前奏；序幕；前奏曲¦v::成为…的序幕；演奏…作为前奏曲	
premature	adj::早产的；不成熟的；比预期早的¦n::早产儿；过早发生的事物	premature ejaculation::早泄，射精过早¦premature death::过早死亡；早逝¦premature delivery::n. 早产¦premature failure::过早失效；过早破坏¦premature infant::早产儿¦premature birth::早产¦premature babies::早产儿室；早产的婴儿¦premature beat::[医]过早搏动¦premature ovarian failure::卵巢功能早衰¦premature rupture of membrane::胎膜早破¦premature labor::早产
premier	adj::第一的；最初的¦n::总理，首相	premier league::超级联赛¦vice premier::副总理
premiere	adj::首位的；初次的；女主角的¦v::初次公演；首次露面¦n::初次的演出；女主角	
premise	v::引出，预先提出；作为…的前提¦n::前提；上述各项；房屋连地基	on the premise::在…前提下¦major premise::n. [逻]（三段论法的）大前提¦off the premises::(尤指酒店)店外，屋外，建筑物外
premium	n::额外费用；奖金；保险费;(商)溢价¦adj::高价的；优质的	insurance premium::保险费¦at a premium::溢价；非常珍贵；在票面价值以上¦risk premium::风险溢价；风险酬金；风险报酬¦premium rate::保险费率¦additional premium::附加保险费；追加保费¦extra premium::额外保险费；额外奖励¦premium income::[经]保险费收入¦price premium::价格溢价¦premium price::溢价¦land premium::土地补价；补地价¦premium grade::优级品；优质级¦premium system::分红制；职工奖金制度¦annual premium::年保险费¦put a premium on::奖励；重视；鼓励¦liquidity premium::[经]流动性升水；灵活升值¦pay a premium for::付…佣金¦share premium::股票溢价¦premium gasoline::变级汽油；高级汽油¦place a premium on::诱发
premonition	n::预告；征兆	
prenatal	adj::产前的；胎儿期的；[医] 出生以前的	prenatal diagnosis::产前诊断，产前检查¦prenatal care::产前护理，产前保健；产前检查
preoccupation	n::全神贯注，入神；当务之急；关注的事物；抢先占据；成见	
preoccupied	adj::全神贯注的；心事重重的；被先占的¦v::抢先占有；使…全神贯注（preoccupy的过去式）	preoccupied with::全神贯注于；沉浸在
preparation	n::预备；准备	preparation for::为…做准备¦preparation method::制备方法¦in preparation::在准备中¦in preparation for::adv. 为……作准备¦coal preparation::选煤¦preparation plant::选矿厂¦sample preparation::样品制备；样品处理；样品加工¦preparation work::准备工作¦material preparation::材料制备；下料¦enzyme preparation::[生]酶制剂¦make preparations for::为…做准备¦data preparation::数据准备；资料准备¦surface preparation::表面处理¦soil preparation::整地¦preparation equipment::选矿设备¦site preparation::预备场地¦mental preparation::心理准备¦pharmaceutical preparation::药物制剂；医药制剂¦specimen preparation::试片制作；样品制备¦make preparation for::为…作准备
preparatory	adj::预备的¦n::预科；预备学校	preparatory work::准备工作；筹备工作¦preparatory stage::准备阶段；预备伐¦preparatory committee::筹备委员会¦preparatory course::预科；预备课程¦preparatory school::预科；预备学校¦preparatory meeting::筹备会议，预备会议¦preparatory workings::[矿]准备巷道
prepare	v::准备；使适合；装备；起草	prepare something for someone::为某人准备某物¦prepare for::为…准备，使有准备¦prepare the way::排除障碍，扫清道路¦prepare for the worst::作最坏的打算¦prepare yourself::自己做好准备¦prepare material::备料¦prepare against::为对付…作准备
preposition	n::介词；前置词	
prerequisite	n::先决条件¦adj::首要必备的	
preschool	adj::未满学龄的；就学前的，入学前的¦n::幼儿园，育幼院	preschool education::学前教育，幼儿教育
prescribe	v::规定；开药方	prescribe for::开处方，开药方
prescription	n::药方；指示；惯例¦adj::凭处方方可购买的	folk prescription::偏方；民间药方¦prescription drug::须医师处方才可买的药品¦exercise prescription::运动处方¦prescription medicine::处方药¦on prescription::凭处方(的)，根据药方(的)¦make up a prescription::配药，调剂¦negative prescription::【法律】(请求权的)消除时效
presence	n::存在；出席；参加；风度；仪态	in the presence of::在…面前；有某人在场¦in presence of::提示¦physical presence::实体存在；实际存在¦military presence::军事存在¦internet presence::网上广告¦commercial presence::商业存在
present	v::提出；介绍；呈现；赠送¦adj::现在的；出席的¦n::现在；礼物；瞄准	present oneself::出席¦at present::目前，现在¦present situation::现状¦at the present::目前；当前¦present condition::目前的状态¦present status::现状¦for the present::暂时，目前¦present something at someone::举枪对准某人瞄准，用(武器)对准某人¦present time::目前；现在时（时态）¦present at::出席；在场¦at the present time::目前¦birthday present::生日礼物¦present value::现值¦present with::赠（礼物）¦past and present::过去与现在¦live in the present::活在当下¦at the present stage::在现阶段；目前¦net present value::净现值，现在净价值；纯现价¦present itself::vt. 出现，呈现¦the present day::目前；当代
presentation	n::展示；描述，陈述；介绍；赠送	oral presentation::口头报告；口头陈述；口头演讲¦presentation skill::n. 演讲技巧；表达技巧¦visual presentation::视觉显示；可视图像¦presentation layer::表示层；呈现层¦data presentation::数据显示，数据表示¦at presentation::呈示即付¦give a presentation of::对…作陈述¦graphic presentation::图示¦presentation of document::提交单据
presently	adv::（美）目前；不久	
preservation	n::保存，保留	heat preservation::保温¦food preservation::食物保藏¦heritage preservation::遗产维护¦preservation measures::保全措施¦cold preservation::冷藏¦wood preservation::木材防腐¦preservation of cultural relics::文物保护
preserve	v::保存；保护；维持；腌；禁猎¦n::保护区；禁猎地；加工成的食品	preserve food::保藏食物
preside	v::主持，担任会议主席	preside over::主持；负责¦preside at::主持；负责
president	n::总统；董事长；校长；主席	vice president::副总统；副主席¦former president::前任总统¦senior vice president::高级副总裁¦executive vice president::执行副总裁¦honorary president::名誉会长，名誉主席¦acting president::代总统；代理校长；代理总裁¦president elect::当选总统（尚未就职的）¦deputy president::副行长；副校长¦assistant president::总裁助理¦president office::校长办公室
presidential	adj::总统的；首长的；统辖的	presidential election::总统选举；总统大选¦presidential candidate::总统候选人¦presidential palace::总统府¦presidential suite::总统套房；总统套间¦presidential system::总统制¦presidential primary::总统预选¦presidential medal of freedom::总统自由勋章
presidium	n::主席团	
press	v::压；按；逼迫；紧抱¦n::压；按；新闻；出版社；[印刷] 印刷机	press conference::记者招待会，新闻发布会¦in the press::正在印刷；即将出版¦press the button::按钮；按键¦press down::压¦hydraulic press::液压机；水压机；油压机¦associated press::美联社¦printing press::印刷机¦press release::新闻稿；通讯稿¦press in::压入¦press for::迫切要求¦press on::强加于；向前推进¦filter press::压滤机¦hot press::热压；热压机¦press any key::按任意键¦power press::动力印刷机，电动印刷机¦press machine::压床¦offset press::胶印机¦oxford university press::牛津大学出版社¦press ahead::继续进行¦freedom of the press::新闻自由；出版自由
pressing	n::压；冲压件¦adj::紧迫的；迫切的；恳切的¦v::压；按；熨烫衣物（press的ing形式）	hot pressing::热压烧结；热压制¦pressing machine::压力机；压床¦isostatic pressing::n. 等静压制；等静压成形；等压压制；均压法¦pressing issues::紧急问题¦cold pressing::冷榨；冷压合；低温压榨¦pressing in::压入¦hot isostatic pressing::热等静压；高温等静力压制¦forging and pressing::锻压¦pressing die::压模；模压卒火¦filter pressing::压滤¦die pressing::模压；模制
pressure	n::压力；压迫，[物] 压强¦v::迫使；密封；使……增压	under pressure::面临压力，在压力之下；受到压力¦high pressure::高压，高气压；高度紧张¦blood pressure::n. 血压¦low pressure::低气压；松懈¦pressure drop::压力下降，压强下降¦hydraulic pressure::[机]液压；水压¦pressure vessel::压力容器¦high blood pressure::高血压¦water pressure::水压力¦air pressure::气压；风压¦under the pressure of::在…压力下¦negative pressure::[物]负压；[计]负压力¦atmospheric pressure::大气压力，大气压强¦gas pressure::气压；气体压力；煤气压力¦pressure difference::压力差；差压；压力补偿器；气压梯度¦pressure water::加压水¦pressure control::压力控制¦pressure gradient::气压梯度¦differential pressure::[物]压差¦static pressure::静压
prestige	n::威望，声望；声誉	
prestigious	adj::有名望的；享有声望的	
presumably	adv::大概；推测起来；可假定	
presume	v::假定；推测；擅自；意味着	
presumption	n::放肆，傲慢；推测	presumption of innocence::无罪推定
presuppose	v::假定；预料；以…为先决条件	
pretence	n::假装；借口；虚伪	false pretences::诈骗
pretend	v::假装，伪装，佯装¦adj::假装的	
pretentious	adj::自命不凡的；炫耀的；做作的	
pretext	n::借口；托辞¦vt::以…为借口	on the pretext of::以...为借口¦find a pretext for::为…找口实
pretty	adj::漂亮的；可爱的；优美的¦adv::相当地；颇¦n::有吸引力的事物（尤指饰品）；漂亮的人	pretty soon::不久¦pretty good::非常好¦pretty much::几乎¦pretty girl::漂亮女孩¦pretty face::漂亮脸蛋¦pretty sure::相当肯定¦pretty woman::漂亮女人；漂亮的女人¦pretty boy::漂亮男孩；脂粉气十足的男人；矫揉造作的男子¦pretty penny::一大笔钱；大数目之金钱¦pretty soft::[美国俚语]容易的；便当的；合算的¦pretty pass::尴尬，糟糕；困境
prevail	v::盛行，流行；战胜，获胜	prevail over::胜过；占优势¦prevail on::说服，劝说¦prevail upon::说服；诱使¦prevail with::劝说；说服
prevalent	adj::流行的；普遍的，广传的	
prevent	v::预防，防止；阻止	prevent from::阻止，制止；妨碍¦prevent and control pollution::防治污染；预防和控制污染
prevention	n::预防；阻止；妨碍	fire prevention::防火¦disease prevention::疾病预防¦pollution prevention::污染预防；防止污染¦disaster prevention::防灾¦flood prevention::防汛；防洪；防洪工作¦epidemic prevention::防疫；疫病防治；流行病预防¦corrosion prevention::防腐蚀¦accident prevention::事故预防；安全措施¦rust prevention::防锈处理¦prevention first::预防为主¦sand prevention::防砂¦loss prevention::损失预防；预防损失的措施¦smoke prevention::防烟法
previous	adj::以前的；早先的；过早的¦adv::在先；在…以前	previous year::前一年¦previous generation::前代；当代¦previous period::前期¦previous page::上一页，前一页；返回上一级菜单¦previous question::（国会议事程序中作为动议提出的）先决问题¦previous frame::上一帧；前一帧¦previous arrangement::前次安排
prey	v::捕食；掠夺；折磨¦n::捕食；牺牲者；被捕食的动物	prey on::v. 捕食；掠夺¦easy prey::◎容易猎取的动物¦fall prey to::成为...的牺牲品；深受...之害¦bird of prey::猛禽；食肉鸟¦prey upon::掠夺，折磨；捕食¦beast of prey::食肉兽，猛兽
price	n::价格；价值；代价¦v::给……定价；问……的价格	reasonable price::合理价格；价格公道¦low price::低价；廉价¦market price::市价¦unit price::[商]单价¦competitive price::竞争价格；公开招标价格¦sale price::n. 特价；廉价¦oil price::油价；原油价格¦stock price::股票价格；股票行市；交易所卖价¦in price::在价格上；在价格方面；就价格而言¦high price::高价格¦best price::最佳价格¦at a price::以很高的代价；以较高的价格¦cost price::成本价格¦lowest price::最低价格¦share price::[经]股价¦price list::价目表¦price index::n. 物价指数¦lower price::低价；降价¦at the price of::adj. 以……的价格；以……的代价¦purchase price::买价，进货价格
priceless	adj::无价的；极贵重的；非常有趣的¦n::非卖品	priceless treasure::无价之宝
prick	v::刺，戳；刺伤，刺痛；竖起¦n::刺，扎；刺痛，刺伤；阴茎；锥¦adj::竖起的	prick up oneself::打扮自己；炫耀自己¦prick up::vt. 粗涂；竖起；（风）加剧¦prick on::v. 驱使
pride	n::自豪；骄傲；自尊心¦v::使得意，以…自豪	pride in::以…为傲¦the pride of::...的全盛期¦take pride in::v. 以…为傲¦pride and prejudice::《傲慢与偏见》¦pride of place::头等重要的位置；首要地位；傲慢¦national pride::民族自豪感¦false pride::n. 妄自尊大；虚荣¦pride of life::[古语]排场;虚荣[亦作 pride of the world]¦proper pride::自尊心¦in the pride of::处于…的顶峰(或最佳状态)¦pride oneself on sth::以某事物为自豪¦pride oneself on::使得意¦pride of the morning::清晨的薄雾和阵雨(天晴的预兆)¦pride of the desert::骆驼¦pride of one's youth::青春
priest	n::牧师；神父；教士¦vt::使成为神职人员；任命…为祭司	high priest::大祭司；主教；主要人物；领袖
primary	adj::主要的；初级的；基本的¦n::原色；最主要者	primary school::小学¦primary stage::初始阶段¦primary purpose::主要目的；根本目的¦primary factor::主因子，准素因子；一次因素¦primary education::初等教育¦primary goal::首要目标¦primary function::主功能；基函数¦primary energy::一次能源；最初的电子能量¦primary air::一次空气¦primary source::主源；第一手来源¦primary focus::主焦点；优先考虑¦primary care::初级治疗，初级护理；基层医疗¦primary concern::主要关心的事¦primary data::原始数据；原始资料¦primary treatment::一次处理；初级处理¦primary production::初级生产¦primary key::主关键字，主键标¦primary health care::初级保健护理¦primary culture::原始培养；初代培养¦primary market::初级市场；初次市场（即证券发行机构）
prime	adj::主要的；最好的；基本的¦adv::极好地¦n::初期；青年；精华；全盛时期¦v::使准备好；填装	prime minister::首相，总理¦prime time::黄金时间¦deputy prime minister::副总理；副首相¦prime number::素数¦prime mover::n. 原动力；发起者¦prime of life::生命全盛期，壮年¦optimus prime::擎天柱（动画片变形金刚中的角色）；柯柏文（动画片变形金刚中的角色）¦prime location::场所合适的，地段显眼的¦prime factor::[数]素因数；素因子¦prime cost::主要成本¦prime target::主要目标；战利品，擎天柱¦prime suspect::嫌疑重犯；主要嫌疑犯¦prime rate::最优惠利率；头等贷款最低利率¦prime focus::主焦点¦prime contractor::总承包人；主要承包商¦prime ideal::素理想¦prime power::素数幂；原动力；长行功率，常用功率；基本功率¦prime coat::[化]底漆，底涂层¦prime meridian::本初子午线；本初子午圈
primitive	adj::原始的，远古的；简单的，粗糙的¦n::原始人	primitive religion::原始宗教¦primitive people::原始人；原始民族¦primitive culture::原始文明¦primitive type::原始类型；原语类型¦primitive accumulation of capital::原始资本积累¦primitive function::原函数；基元功能
prince	n::王子，国君；亲王；贵族	prince charles::查尔斯王子（英国王储）¦crown prince::n. 皇太子；皇储¦prince of wales::n. 威尔士亲王（英国皇太子之封号）¦happy prince::快乐王子（童话故事）¦prince albert::双排扣的男长礼服¦merchant prince::n. 富商；有影响力的商人¦prince george::乔治王子城（加拿大城市）
princess	n::公主；王妃；女巨头	princess diana::戴安娜王妃¦princess of wales::n. 威尔斯王妃¦crown princess::n. 将继承王位的公主；女王储¦a little princess::小公主（原著为小说，后多次改编为电影、电视剧和动画）¦princess mononoke::幽灵公主；魔法公主（动画电影）
principal	adj::主要的；资本的¦n::首长；校长；资本；当事人	principal component::主成分；[化]知组分¦principal component analysis::主成分分析¦principal and interest::本利，本金及利息¦principal stress::主应力；枝力，枝动¦principal axis::[物]主轴¦principal factor::主要因素；主因子法¦principal investigator::主要研究者¦repayment of principal::还本；偿还本金¦principal function::主函数；主要职能¦principal strain::主应变，枝变¦principal product::主产物¦principal direction::纸向；主方向¦principal office::总部，总社；总办事处；校长室¦principal element::主要因素；主元素¦principal character::主人公；主要特征¦principal focus::[物]主焦点（等于focal point）¦principal tensile stress::汁应力，主拉应力¦major principal stress::最大主应力，第一主应力¦principal value::本金值；基本价值；主值¦principal action::主诉；主要行动
principle	n::原理，原则；主义，道义；本质，本义；根源，源泉	working principle::工作原理¦basic principle::基本原理¦on the principle of::根据...的原则¦design principle::设计原理¦operating principle::工作原理；操作原理¦guiding principle::指导原则¦operation principle::经营理念¦in principle::大体上，原则上¦of principle::有原则的¦fundamental principle::基本原则¦general principle::一般原则；一般原理；普遍原理¦on principle::根据原则¦first principle::第一原则；第一原理；基本原则¦principle of work::原理，工作原理¦management principle::管理原则；经营方针¦variational principle::[力]变分原理（等于variation principle）¦system principle::系统性原则¦reaction principle::n. 反应原理，反作用原理；反酌原理¦principle of operation::工作原理；操作原理¦superposition principle::[物]叠加原理
print	n::印刷业；印花布；印刷字体；印章；印记¦v::印刷；打印；刊载；用印刷体写；在…印花样	in print::已出版；在销售中¦blue print::n. 蓝图；方案；设计图¦print out::（打）印出¦print media::平面媒体；印刷媒体¦fine print::（契约中）难懂的条文；极小的字体¦out of print::绝版的；已绝版；已售完¦print quality::n. [计]打印质量¦small print::（协议等上面用小号字体写成的）附属细则¦print preview::打印预览¦print head::打印头；印刷头¦screen print::丝印；丝网印花¦finger print::指纹；指印¦print job::打印作业¦offset print::胶版印刷¦print ad::印刷广告，平面广告¦block print::木板印刷的图文¦print shop::印刷所¦print setup::[计]打印设置¦print queue::打印队列¦foot print::n. 脚印
printer	n::[计] 打印机；印刷工；印花工	laser printer::激光印刷机¦inkjet printer::喷墨式打印机；喷墨印表机¦default printer::n. 默认打印机¦printer driver::[计]打印机驱动程序¦ink-jet printer::喷墨打印机（通常连接在电脑系统上）¦color printer::彩色打印机¦ink jet printer::喷墨印刷机¦network printer::n. 网络打印机¦screen printer::丝网漏印机；丝网印刷机；屏幕印刷¦matrix printer::矩阵式打印机¦thermal printer::热感型印刷机¦line printer::行式打印机¦stylus printer::n. [计]针式打印机¦dot matrix printer::点阵打印机¦barcode printer::条形码打印机；条码机¦digital printer::数位打印机；数字印字机¦impact printer::击打式印刷机¦label printer::电脑标签机；标记印字机；票据打印机
prior	adj::优先的；在先的，在前的¦adv::在前，居先¦n::(Prior)人名；(法、西、葡、捷)普里奥尔；(英)普赖尔；(意)普廖尔	prior notice::事先通知；预先通报¦prior art::先前技术¦prior approval::事先批准；预先审批；事前批准；事前许可；预先核准¦prior probability::先验概率，事前机率¦prior period::前期；上期¦prior condition::先决条件
priority	n::优先；优先权；[数] 优先次序；优先考虑的事	give priority to::优先考虑；认为优先¦top priority::最优先的¦first priority::最优先；绝对优先权¦high priority::n. 高优先级¦higher priority::较高优先级¦low priority::低优先级¦lower priority::次重要优先项目(或问题)¦priority mail::优先邮件（美国邮政的邮件类型之一，在邮件分检系统内享有优先处理的特权）¦order of priority::优先秩序，轻重缓急次序¦priority date::优先日期¦priority level::优先等级¦priority control::优先级控制¦priority queue::优先排队¦priority setting::制定优先次序；优先级设立¦according to priority::依次¦relative priority::相对优先求偿权¦elderly persons priority scheme::共享颐年优先配屋计划
prism	n::棱镜；[晶体][数] 棱柱	triangular prism::三角柱¦pentagonal prism::[物]五角棱镜；[数]五棱柱¦polarizing prism::起偏光棱镜；偏振棱镜¦wollaston prism::沃拉斯顿棱镜¦triple prism::三棱镜
prison	n::监狱；监禁；拘留所¦vt::监禁，关押	in prison::坐牢¦escape from prison::越狱¦prison sentence::n. 徒刑¦prison camp::战俘集中营¦go to prison::入狱；被监禁¦prison guard::监狱看守¦state prison::[法]州监狱¦prison term::刑期¦be put in prison::被送去坐牢
prisoner	n::囚犯，犯人；俘虏；刑事被告	prisoner of war::战俘¦prisoner of war (pow)::n. 战俘¦political prisoner::政治犯
pristine	adj::原始的，古时的；纯朴的	
privacy	n::隐私；秘密；隐居；隐居处	privacy policy::隐私权政策；隐私策略¦privacy protection::秘密保护¦right of privacy::隐私权¦individual privacy::个人隐私¦privacy statement::隐私权声明¦in privacy::秘密地¦invasion of privacy::侵犯个人隐私；侵犯隐私权¦privacy rights::隐私权¦privacy act::隐私法；隐私权法（美国1974年颁布的法案）¦privacy of the individual::个人私隐
private	adj::私人的；私有的；私下的¦n::列兵；二等兵	in private::私下地；秘密地¦private enterprise::民营企业；私营企业¦private sector::私营部门；私营成分¦private equity::私募股权；私人股本¦private property::私有财产；私有制¦private ownership::私人所有制¦private capital::私人资本¦private law::私法¦private life::私生活¦private company::私人公司；股份不公开公司¦private school::n. 私立学校；私立中小学¦private investment::私人投资¦private label::自有品牌；私有品牌；商店自用品牌¦private network::[计]专用网络¦private car::私人汽车¦private information::私人信息；保密信息¦private business::私营企业；私人事务¦private international law::国际私法¦private key::私人密钥，个人密钥（用于把即将发送的消息进行加密的密钥）¦private banking::私人银行；私人银行业务
privilege	n::特权；优待¦v::给与…特权；特免	special privilege::特权；特别优惠；特殊许可
prize	n::奖品；奖赏；战利品¦v::珍视；捕获；估价¦adj::获奖的	nobel prize::诺贝尔奖¦first prize::一等奖¦nobel peace prize::诺贝尔和平奖¦prize winner::得奖者¦pulitzer prize::普利策奖¦prize money::（旧时出售捕获船货物后分给立功官兵的）捕获物奖金¦grand prize::特奖¦cash prize::n. 现金奖励（赏）¦consolation prize::安慰奖¦win first prize::赢得头奖；获一等奖；得第一名¦booker prize::布克文学奖¦booby prize::末名奖品
pro	adv::赞成地¦n::赞成者；赞成的意见¦prep::赞成	pro and con::正反双方；正面和反面¦pro forma::（拉）形式上的；估计的¦pro bono::无偿的；为了公益；为慈善机构和穷人提供的免费专业服务¦quid pro quo::（拉丁）补偿物；相等物；交换条件；让步条件¦pro forma invoice::形式发票；估价发票¦pro tempore::（拉）当时；暂时（等于pro tem.）
