internship	'ɪntɝnʃɪp	ˈɪntɜ:nʃɪp	n::<美>实习医师	internship programs::实习计划；实习课程	...an internship in surgery in New York.::…一个在纽约做外科实习的职位。
pour	pɔr	pɔː	n::倾泻；流出；骤雨¦v::灌，注；倒；倾泻；倾吐	pour out::v. 倾吐；诉说¦pour into::川流不息地涌入¦pouring rain::瓢泼大雨；倾盆大雨¦pour point::[化]倾点，流点；[化]流动点，浇注点；零¦pour in::大量地涌入，倾倒；蜂拥而来¦pour cold water on::泼冷水，使(人)沮丧，让(人)扫兴¦in the pouring rain::在倾盆大雨之下¦pour it on::[美国英语]¦pour water::倒水¦pour point depressant::倾点下降剂¦pour over::灌浇¦pour down::（雨）倾盆而下¦pour out your heart::倾吐你的心事	She poured coffee for everyone.::她为每个人都倒了咖啡。
poverty	'pɑvɚti	'pɒvətɪ	n::贫困；困难；缺少；低劣	in poverty::贫困；处于贫困当中¦poverty alleviation::扶贫¦poverty line::贫困线；贫穷线（指维持一般生活所需收入的最低标准）¦extreme poverty::极端贫穷¦eliminate poverty::消除贫困¦live in poverty::过着贫穷的生活¦shake off poverty::摆脱贫困，脱贫¦absolute poverty::绝对贫困¦abject poverty::赤贫¦poverty level::贫困水平¦poverty trap::贫困陷阱¦poverty gap::贫富差距	Millions of elderly people live in poverty .::数百万老年人生活在贫困之中。¦We need an effective strategy to fight poverty .::我们需要制定一个有效的对策来与贫困作斗争。¦continued efforts to alleviate poverty and raise living standards::缓解贫困和提高生活水平的不懈努力¦scenes of abject poverty::极度贫困的情景¦the causes of urban poverty::造成城市贫困的原因
powder	'paʊdɚ	'paʊdə	n::粉；粉末；[化工][军] 火药；尘土¦v::使成粉末；撒粉；搽粉于	milk powder::n. 奶粉¦powder metallurgy::粉末冶金¦powder coating::粉末涂料；粉末涂敷¦metal powder::金属粉末¦fine powder::[医]细粉；超微粒¦white powder::白色粉末；白粉；干蛋白¦iron powder::铁粉；铁粉芯¦alloy powder::合金粉末；铝金粉末¦dry powder::干粉灭火剂；干燥粉¦pearl powder::珍珠粉；珠光粉（化妆品用）¦washing powder::洗衣粉¦copper powder::[冶]铜粉¦baking powder::n. 发酵粉¦zinc powder::锌粉，锌蓝粉¦powder injection::喷粉；无针粉未注射器¦magnetic powder::磁粉¦aluminum powder::铝粉¦talcum powder::滑石粉；爽身粉（等于talc powder）¦wood powder::木粉¦ceramic powder::陶瓷粉	curry powder::咖喱粉¦talcum powder::滑石[爽身]粉¦Grind the sugar into a powder .::把糖碾成粉末。¦The paint is supplied in powder form .::这种涂料以粉末状供应。
power	'paʊɚ	'paʊə	n::力量，能力；电力，功率；政权，势力；[数] 幂¦v::激励；供以动力；使…有力量¦adj::借影响有权势人物以操纵权力的	in power::adj. 执政的；掌权的；当权的¦power supply::电源；电源供应器¦electric power::电力；电功率¦power plant::发电厂；动力装置¦power system::电网，电力系统；动力系统¦power consumption::能量功耗¦power station::发电站；发电厂¦great power::n. 强国¦high power::大功率；高倍¦nuclear power::核能；核动力¦power generation::发电，发电量；发电机设备¦competitive power::竞争能力¦power source::电源，能源¦power industry::电力工业¦low power::低功率，小功率¦thermal power::火力；火力发电；热功率；热电站¦power grid::电力网；强信号栅极¦reactive power::[化]无功功率¦wind power::风力，风能¦power factor::功率因数；功率系数	They seized power in a military coup.::他们在一场军事政变中夺取了政权。
powerful	'paʊɚfl	'paʊəfʊl; -f(ə)l	adj::强大的；强有力的¦adv::很；非常	powerful force::劲旅；强大的势力¦powerful drug::剧药；强效药；特效药¦powerful machine::强力电机	He was one of the most powerful men in Bohemia.::他是波希米亚最有权势的人物之一。¦a very influential and powerful family::很有权势的家庭¦rich and powerful nations::富强的国家
practicable	'præktɪkəbl	'præktɪkəb(ə)l	adj::可用的；行得通的；可实行的		The only practicable course of action is to sell the company.::唯一可行的做法是把公司卖掉。¦It is their duty to ensure, so far as is reasonably practicable, that the equipment is safe.::在力所能及的情况下确保设备安全是他们的职责。
practical	'præktɪkl	'præktɪk(ə)l	adj::实际的；实用性的	practical application::实际应用¦practical experience::实务经验，实践经验，实际经验¦practical value::实际价值¦practical work::社会实践；实际作业¦practical use::实际用途；实际应用；实用¦practical situation::实际情况¦practical ability::实践能力；实际能力¦practical problem::实际问题¦practical training::实习训练；实际培训¦economical and practical::经济实用；经济实惠¦practical knowledge::实践性知识，实用性知识；实务知识¦practical writing::应用文，应用写作¦practical english::实用英语¦practical activity::实践活动¦practical guide::实用向导；实用手册¦practical level::实际水平¦practical reason::实践理性；实际理由¦practical purpose::实用目的¦practical skill::实际技能¦practical philosophy::实践哲学，实际哲学	Candidates should have training and practical experience in basic electronics.::应征者应该具备基础电子学方面的培训和实践经验。¦the practical problems of old age::老年的实际问题¦They provide financial and practical help for disabled students.::他们为残障学生提供经济上的援助以及实际的帮助。¦a combination of theoretical and practical training::理论培训和实践培训的结合¦They haven’t thought about the practical consequences of the new regulations.::他们没有考虑过新法规会产生什么实际后果。¦In practical terms, this means spending more time with each student.::具体地说，这意味着花更多的时间和每个学生在一起。
practicality	'præktɪ'kæləti	,præktɪ'kælɪtɪ	n::实用性，实际性；实际，实例		doubts about the practicality of your suggestion::对于你所提建议的可行性的怀疑¦You need to think about comfort and practicality when choosing walking shoes.::选购步行鞋时需要考虑舒适性和实用性。
practice	'præktɪs	'præktɪs	n::实践；练习；惯例¦v::练习；实习；实行	in practice::在实践中；实际上，事实上¦practice of::有…的习惯¦into practice::实施；实行¦teaching practice::教学实习；试教¦clinical practice::临床实践；内科学¦engineering practice::工程实践¦judicial practice::判例；司法程序¦practice teaching::教学实习（师范院校学生的）；试教¦social practice::社会实践¦put into practice::实行，实施；落实¦good practice::良好的做法¦international practice::国际惯例；国际实践¦construction practice::施工管理¦management practice::管理实务¦common practice::惯例；习惯作法¦medical practice::医疗实践¦best practice::最佳实务，最佳实践；最佳做法，最优方法；典范做法¦design practice::设计原则¦educational practice::教育实习；教改实践¦legal practice::法律实践	It takes hours of practice to learn to play the guitar.::学习弹吉他需要长时间的练习。¦With a little more practice you should be able to pass your test.::稍微再练一练，你应该能通过考试了。¦We have choir practice on Tuesday evening.::星期二晚上我们要练习合唱。
practise	'præktɪs	'præktɪs	v::练习，实践；实施，实行；从事		They moved the furniture back to practise their dance routine.::他们把家具往后挪以便练习舞蹈动作。¦It gives students the opportunity to practice their speaking skills.::这给学生提供了锻炼口才的机会。
practitioner	præk'tɪʃənɚ	præk'tɪʃ(ə)nə	n::开业者，从业者，执业医生	general practitioner::全科医师；普通医师¦medical practitioner::[医]医师，开业医师¦nurse practitioner::护理师，护师；执业护师，开业护士	a practitioner of alternative medicine::非常规医学的执业医生
pragmatic	præg'mætɪk	præg'mætɪk	adj::实际的；实用主义的；国事的	pragmatic competence::语用能力¦pragmatic failure::语用失误；语用失效¦pragmatic approach::实际的方法；重实效的方法	Williams took a more pragmatic approach to management problems.::威廉斯在管理问题上采用的是一种更务实的做法。
prairie	'prɛri	'preərɪ	n::大草原；牧场	prairie fire::草原火灾；星火燎原¦prairie dog::[动]北美的草原土拨鼠	About 160 species of rare birds live in the swamps and prairie there.::大约有160种珍稀鸟类栖息在这里的沼泽地和大草原上。¦To assemble a prairie takes time -- even if you have all the pieces.::整合一个大草原需要时间——哪怕你手中已掌握了所有分块。
praise	prez	preɪz	n::赞扬；称赞；荣耀；崇拜¦v::赞美，歌颂；表扬	in praise of::歌颂；为赞扬¦praise for::因为...赞美¦public praise::口碑，公众的称赞¦full of praise::赞不绝口¦song of praise::赞歌¦with high praise::受到高度赞扬¦more praise than pudding::恭维多而实惠少¦beyond all praise::赞美不完¦criticism and praise::批评和赞扬	It’s important to give children plenty of praise and encouragement.::对小孩子多加表扬和鼓励是很重要的。¦Her teacher was full of praise for her work.::老师对她的作业赞不绝口。¦His first novel received high praise .::他的第一部小说受到了高度赞扬。¦Gregory was singled out (= he was chosen in particular ) for special praise .::格雷戈里被单独给予特别表扬。¦The film has won praise from audiences and critics alike.::那部电影赢得了观众和评论家的一致赞誉。
pram	præm	præm	n::婴儿车；送牛奶用的手推车		a young woman pushing a pram::推着婴儿车的年轻女子
prawn	prɔn	prɔːn	n::对虾，明虾¦v::捕虾	prawn cracker::龙虾片；虾片¦king prawn::宽沟对虾；大虾；国王明虾	a prawn sandwich::明虾三明治¦prawn cocktail (= a small dish of prawns in a sauce with some salad )::大虾冷盘
pray	pre	preɪ	v::祈祷；恳求；央求¦n::(Pray)人名；(匈)普劳伊；(英)普雷	pray for::恳求，请求	They went to the mosque to pray.::他们去清真寺祷告。
prayer	prɛr	preə	n::祈祷，祷告；恳求；祈祷文	prayer meeting::n. 祈祷会¦lord's prayer::主祷文，天主经¦prayer book::n. 祈祷书¦prayer beads::念珠¦evening prayer::晚祷	Our thoughts and prayers are with you at this difficult time.::在这艰难时期我们时刻思念你，为你祈祷。¦The children said their prayers and got into bed.::孩子们做完祷告后上床睡觉了。¦God has answered your prayer .::上帝应许了你的祷告。
preach	pritʃ	priːtʃ	v::说教；讲道；鼓吹；传道；反复灌输¦n::说教		He traveled the southern states, preaching the gospel .::他游历南方各州宣讲福音。
precarious	prɪ'kɛrərɪəs	prɪ'keərɪəs	adj::危险的；不确定的		Her health remained precarious, despite the treatment.::她尽管接受了治疗，但健康状况还是不稳定。¦the company’s precarious financial position::公司岌岌可危的财务状况
precaution	prɪ'kɔʃən	prɪ'kɔːʃ(ə)n	n::预防，警惕；预防措施¦vt::警惕；预先警告	take precautions against::vt. 采取措施预防¦precaution against::提防，防范；耐心¦safety precaution::安全预防措施	Fire precautions were neglected.::防火措施被忽视了。¦Vets took precautions to prevent the spread of the disease.::兽医们为防止疾病蔓延采取了预防措施。
precede	prɪ'sid	prɪ'siːd	v::领先，在…之前；优于，高于		a type of cloud that precedes rain::下雨前出现的一种云¦Lunch will be preceded by a short speech from the chairman.::午餐开始之前主席会发表一段简短的讲话。
precedent	'prɛsɪdənt	'presɪd(ə)nt	n::先例；前例¦adj::在前的；在先的	judicial precedent::司法判例¦condition precedent::先决条件¦conditions precedent::先决条件	a legal precedent::判例
precinct	'prisɪŋkt	'priːsɪŋ(k)t	n::选区；管理区；管辖区		The shooting occurred in the 34th Precinct.::该枪击事件发生在第34警区。
precious	'prɛʃəs	'preʃəs	adj::宝贵的；珍贵的；矫揉造作的¦n::(Precious)人名；(英)普雷舍斯，普雷舍丝(女名)	precious metal::贵金属，贵重金属¦precious stone::宝石¦precious moment::珍贵的时刻	planes delivering precious supplies of medicine and food::运送药品、食品等宝贵物资的飞机¦our planet’s precious resources::我们星球上的宝贵资源
precipitate	prɪ'sɪpɪtet	prɪ'sɪpɪteɪt	n::[化学] 沉淀物¦v::使沉淀；促成；猛抛；使陷入¦adj::突如其来的；猛地落下的；急促的		The riot was precipitated when four black men were arrested.::这场骚乱是因为四名黑人男子的被捕而突然引发的。¦I don't think we should make precipitate decisions.::我认为我们不应该做出仓促的决定。
precipitous	prɪ'sɪpɪtəs	prɪ'sɪpɪtəs	adj::险峻的；急躁的，鲁莽的		a precipitous path::陡峭的小路
precis			n::摘要；大纲¦v::概括…的大意；为…写摘要		I suppose further that you need a precis of the idea so you can decide whether the suggestion is feasible and warrants more exploration.::我进一步假设您需要有一个大致的想法，以使得您可以决定那个建议是否切实 可行而且确保深入的研究。
precise	prɪ'saɪs	prɪ'saɪs	adj::精确的；明确的；严格的	to be precise::确切地讲¦to be more precise::更确切地说¦precise information::精确资料¦precise instrument::精密仪器¦at the precise moment::恰恰在那个时刻¦precise alignment::精密准直¦precise ephemeris::精密星历表；精确星历表¦precise registration::精密对准	precise sales figures::准确的销售数据¦It was difficult to get precise information.::很难得到确切的消息。¦‘She’s a lot older than you, isn’t she?’ ‘Fifteen years, to be precise .’::“她比你大很多，是不是？”“准确地说，大了15岁。”
precision	prɪ'sɪʒn	prɪ'sɪʒ(ə)n	n::精度，[数] 精密度；精确¦adj::精密的，精确的	high precision::高精度¦precision machinery::精密机械；精密机械学¦precision machining::精密加工；精密机械加工¦measurement precision::测量精度¦machining precision::加工精度¦precision casting::精密铸造¦precision measurement::精密测量¦precision grinding::精密磨削¦precision instrument::[计][经]精密仪器¦precision forging::精密锻造；精密铸造¦precision parts::精密零件¦precision agriculture::精准农业；精细农业¦precision equipment::精密设备¦precision work::精密加工；精工¦precision processing::精密处理¦dimensional precision::尺寸精度¦precision lathe::精密车床¦precision ratio::查准率¦precision finishing::[化]精密加工¦precision rolling::精轧；精密轧制	precision engineering::精密工程¦precision bombing::精确轰炸
preclude	prɪ'klud	prɪ'kluːd	v::排除；妨碍；阻止		rules that preclude experimentation in teaching methods::禁止进行教学方法试验的规定
predatory	'prɛdətɔri	'predət(ə)rɪ	adj::掠夺的，掠夺成性的；食肉的；捕食生物的	predatory pricing::掠夺性订价；掠夺性价格	predatory pricing::掠夺性定价
predecessor	'prɛdəsɛsɚ	'priːdɪsesə	n::前任，前辈	predecessor company::被接管公司	Kennedy’s predecessor as President was the war hero Dwight Eisenhower.::肯尼迪总统的前任是战争英雄德怀特·艾森豪威尔。
predicament	prɪ'dɪkəmənt	prɪ'dɪkəm(ə)nt	n::窘况，困境；状态		the country’s economic predicament::该国的经济困境¦She went to the office to explain her predicament .::她到办事处去说明她的难处。
predicate	'prɛdɪkət	'predɪkət	v::断定为…；使…基于¦n::谓语，述语¦adj::谓语的；述语的	(grammatical) predicate::（语法）谓语¦predicate logic::谓词逻辑¦predicate verb::谓语动词¦predicate calculus::谓词演算	The company’s expansion was predicated on the assumption that sales would rise.::公司的扩张是基于销售额会增长的假设。
predict	prɪ'dɪkt	prɪ'dɪkt	v::预报，预言；预知		Sales were five percent lower than predicted.::销售额比预期低5%。¦As Liz had predicted , the rumours were soon forgotten.::正如利兹所预料的，流言很快就被淡忘了。
prediction	prɪ'dɪkʃən	prɪ'dɪkʃ(ə)n	n::预报；预言	prediction model::预测模型；推算模型¦earthquake prediction::地震预报¦prediction error::n. 预测误差¦prediction algorithm::预测算法¦linear prediction::线性预测；线性预报¦weather prediction::天气预报¦reliability prediction::[经]可靠性预计¦failure prediction::[计]失效预测，故障预测	The data can be used to make useful economic predictions .::这些数据可用于进行有用的经济预测。
predominant	prɪ'dɑmənənt	prɪ'dɒmɪnənt	adj::主要的；卓越的；支配的；有力的；有影响的		Mandy's predominant emotion was confusion.::曼迪的主导情绪是困惑。
prefabricate	pri'fæbrə,ket	priː'fæbrɪkeɪt	v::预先制造；预先构思；预制构件		
preface	'prɛfəs	'prefəs	n::前言；引语¦v::为…加序言；以…开始		...the preface to Kelman's novel.::…凯尔曼小说的前言。¦I will preface what I am going to say with a few lines from Shakespeare.::我将引用莎士比亚的几行诗作为我讲话的开场白。
prefer	prɪ'fɝ	prɪ'fɜː	v::更喜欢；宁愿；提出；提升	would prefer::宁愿；更喜欢¦prefer to do::宁可做某事；更喜欢做某事¦prefer doing::喜欢做某事	This type of owl prefers a desert habitat.::这种猫头鹰更喜欢沙漠的生活环境。¦She prefers her coffee black.::她更喜欢喝黑咖啡。¦the government’s preferred option::政府倾向的选择¦Employees said they would prefer more flexible working hours.::员工们说他们希望有更具弹性的工作时间。¦Or, if you prefer , you can email us.::或者，你喜欢的话，可以给我们发电子邮件。
preferable	'prɛfrəbl	'pref(ə)rəb(ə)l	adj::更好的，更可取的；更合意的		For this dish, fresh herbs and garlic are preferable.::做这道菜，用新鲜香草和大蒜更好。¦In warm weather, clothes made of natural fabrics are infinitely preferable (= much better ) .::天气暖和的时候，穿天然织物的衣服要舒适得多。
preference	'prɛfrəns	'pref(ə)r(ə)ns	n::偏爱，倾向；优先权	preference for::偏爱…¦preference to sth::优先¦tax preference::税收优惠¦personal preference::个人喜好¦in preference to::优先于……¦consumer preference::消费者偏好，消费偏爱¦by preference::最好，首先¦sexual preference::性取向；性偏好；性爱好¦preference share::优先股；红利先取股¦time preference::时间的优先选择¦color preference::色彩的嗜好；颜色爱好¦margin of preference::[经]优惠幅度；[经]优惠差额¦liquidity preference::[经]流动性偏好	Do you have a colour preference ?::你有什么颜色上的偏好吗？¦Parents may be able to express a preference as to the school their child will attend.::家长也许可以表明愿意让孩子就读哪所学校。¦The amount of sugar you add will depend on personal preference .::加多少糖取决于个人的喜好。¦Many elderly people expressed a strong preference to live in their own homes.::许多老年人强烈表示喜欢住在自己的家里。
preferential	,prɛfə'rɛnʃl	,prefə'renʃ(ə)l	adj::优先的；选择的；特惠的；先取的	preferential price::优惠价，照顾价格¦preferential treatment::优待；特惠待遇¦preferential policy::优惠政策；倾斜政策¦preferential trade::特惠贸易¦preferential orientation::优先定位；择优定向；最佳取向¦preferential adsorption::选择性吸附	preferential credit terms for reliable borrowers::向可靠借款人提供的优惠信贷条件
prefix	'prifɪks	'priːfɪks	n::前缀¦v::加前缀；将某事物加在前面		To telephone from the U.S. use the prefix 011 33 before the numbers given here.::从美国拨出电话，请在所给号码前加拨前置代码011 33。
pregnancy	'prɛgnənsi	'pregnənsɪ	n::怀孕；丰富，多产；意义深长	ectopic pregnancy::[医]子宫外孕¦tubal pregnancy::输卵管妊娠¦pregnancy test::妊娠试验，验孕¦extrauterine pregnancy::子宫外孕，子宫外妊娠	This drug should not be taken during pregnancy.::这种药妊娠期间不得服用。¦her third pregnancy::她的第三次怀孕¦teenage pregnancies::少女怀孕¦a pregnancy test::妊娠试验，验孕
pregnant	'prɛɡnənt	'pregnənt	adj::怀孕的；富有意义的	pregnant woman::孕妇¦to be pregnant::怀孕¦pregnant solution::含贵重矿物溶液	care for pregnant women::孕妇保健¦I knew right away that I was pregnant.::我立即明白我怀孕了。¦I thought I was too old to get pregnant .::我觉得自己年龄太大，已经不能怀孕了。¦I didn’t mean to get her pregnant (= make her pregnant ) .::我没想让她怀孕。¦His wife was heavily pregnant (= almost ready to give birth ) .::他的妻子即将临产。
prehistoric	,prihɪ'stɔrɪk	priːhɪ'stɒrɪk	adj::史前的；陈旧的		prehistoric burial grounds::史前墓地¦prehistoric animals::史前动物
prejudice	'prɛdʒədɪs	'predʒʊdɪs	n::偏见；侵害¦v::损害；使有偏见	without prejudice::无偏见¦pride and prejudice::《傲慢与偏见》¦prejudice against::vt. 对……的偏见¦to the prejudice of::有利于，有损于¦racial prejudice::种族偏见	Women still face prejudice in the workplace.::女性在职场中仍然面临歧视。¦It takes a long time to overcome these kinds of prejudices.::战胜这些偏见需要假以时日。
preliminary	prɪ'lɪmɪnɛri	prɪ'lɪmɪn(ə)rɪ	n::准备；预赛；初步措施¦adj::初步的；开始的；预备的	preliminary study::初步研究¦preliminary analysis::初步分析¦preliminary design::初步设计¦preliminary stage::初始阶段，初期；原始阶段¦preliminary investigation::初步调查¦preliminary test::初步试验；预先测试；初级试验¦preliminary examination::预备考试；预先检查¦preliminary plan::初步设计¦preliminary round::初赛；分组预选赛¦preliminary data::初始数据¦preliminary survey::初步调查；初测¦preliminary treatment::预处理¦preliminary assessment::初步评估；预备评估¦preliminary report::初步报告；预备报告¦preliminary planning::初步规划；初步计划¦preliminary agreement::初步协议¦preliminary review::预审；预先复查；初审¦preliminary scheme::初步规划¦preliminary hearing::n. 调查庭¦preliminary works::初步工程；准备工程	After the usual preliminaries , the chairman made his announcement.::一段例行的开场白之后，主席发布了通告。
prelude	'prɛljud	'preljuːd	n::前奏；序幕；前奏曲¦v::成为…的序幕；演奏…作为前奏曲		Living together as a prelude to marriage is now considered acceptable in many countries.::婚前同居如今在许多国家都已被接受。
premature	,primə'tʃʊr	'premətjʊə	adj::早产的；不成熟的；比预期早的¦n::早产儿；过早发生的事物	premature ejaculation::早泄，射精过早¦premature death::过早死亡；早逝¦premature delivery::n. 早产¦premature failure::过早失效；过早破坏¦premature infant::早产儿¦premature birth::早产¦premature babies::早产儿室；早产的婴儿¦premature beat::[医]过早搏动¦premature ovarian failure::卵巢功能早衰¦premature rupture of membrane::胎膜早破¦premature labor::早产	his premature death due to cancer::他因癌症而早逝¦premature ageing of the skin::皮肤的早衰
premier	prɪ'mɪr	'premɪə; 'priː-	adj::第一的；最初的¦n::总理，首相	premier league::超级联赛¦vice premier::副总理	one of Dublin’s premier hotels::都柏林最好的酒店之一
premiere	prɪ'mɪr	'premɪeə	adj::首位的；初次的；女主角的¦v::初次公演；首次露面¦n::初次的演出；女主角		The 23-year-old actor was greeted by screaming fans as he arrived for the Leicester Square premiere of his new film Remember Me.::这位23岁的年轻演员，在粉丝们的热情欢呼声中到达了莱斯雷特广场，今晚是他最新电影《记住我》的首映式。¦The documentary premiered at the Jerusalem Film Festival.::那部记录片在耶路撒冷电影节上首映。¦Four astronauts visited for last week's premiere of the movie Space Station.::四位宇航员到场参加了上个星期举行的电影《空间站》的首映式。
premise	ˈpremɪs	'premɪs	v::引出，预先提出；作为…的前提¦n::前提；上述各项；房屋连地基	on the premise::在…前提下¦major premise::n. [逻]（三段论法的）大前提¦off the premises::(尤指酒店)店外，屋外，建筑物外	Schools may earn extra money by renting out their premises.::学校通过出租房屋场地可以获取额外收入。¦business premises::企业经营场所
premium	'primɪəm	'priːmɪəm	n::额外费用；奖金；保险费;(商)溢价¦adj::高价的；优质的	insurance premium::保险费¦at a premium::溢价；非常珍贵；在票面价值以上¦risk premium::风险溢价；风险酬金；风险报酬¦premium rate::保险费率¦additional premium::附加保险费；追加保费¦extra premium::额外保险费；额外奖励¦premium income::[经]保险费收入¦price premium::价格溢价¦premium price::溢价¦land premium::土地补价；补地价¦premium grade::优级品；优质级¦premium system::分红制；职工奖金制度¦annual premium::年保险费¦put a premium on::奖励；重视；鼓励¦liquidity premium::[经]流动性升水；灵活升值¦pay a premium for::付…佣金¦share premium::股票溢价¦premium gasoline::变级汽油；高级汽油¦place a premium on::诱发	insurance premiums::保险费
premonition	,prɛmə'nɪʃən	,premə'nɪʃ(ə)n; ,priː-	n::预告；征兆		He had an unshakable premonition that he would die.::他有一种强烈的预感：他就要死了。
prenatal	,pri'netl	priː'neɪt(ə)l	adj::产前的；胎儿期的；[医] 出生以前的	prenatal diagnosis::产前诊断，产前检查¦prenatal care::产前护理，产前保健；产前检查	prenatal care::产前保健[护理]¦prenatal screening::产前筛查
preoccupation	prɪ,ɑkju'peʃən	prɪ,ɒkjʊ'peɪʃ(ə)n	n::全神贯注，入神；当务之急；关注的事物；抢先占据；成见		Karouzos's poetry shows a profound preoccupation with the Orthodox Church.::卡鲁佐斯的诗歌表现出对东正教的深切关注。
preoccupied	pri'ɑkjə'paɪd	priː'ɒkjʊpaɪd	adj::全神贯注的；心事重重的；被先占的¦v::抢先占有；使…全神贯注（preoccupy的过去式）	preoccupied with::全神贯注于；沉浸在	What’s wrong with Cindy? She seems a little preoccupied.::辛迪怎么了？她好像有点心事重重。
preparation	,prɛpə'reʃən	,prepə'reɪʃ(ə)n	n::预备；准备	preparation for::为…做准备¦preparation method::制备方法¦in preparation::在准备中¦in preparation for::adv. 为……作准备¦coal preparation::选煤¦preparation plant::选矿厂¦sample preparation::样品制备；样品处理；样品加工¦preparation work::准备工作¦material preparation::材料制备；下料¦enzyme preparation::[生]酶制剂¦make preparations for::为…做准备¦data preparation::数据准备；资料准备¦surface preparation::表面处理¦soil preparation::整地¦preparation equipment::选矿设备¦site preparation::预备场地¦mental preparation::心理准备¦pharmaceutical preparation::药物制剂；医药制剂¦specimen preparation::试片制作；样品制备¦make preparation for::为…作准备	This dish is good for dinner parties because much of the preparation can be done ahead of time.::这道菜适合宴会，因为很多准备工作可以事先做好。¦Plans for the new school are now in preparation .::新学校的设计图正在绘制中。¦a course in food service and food preparation::餐饮服务和备菜课程
preparatory	prɪ'pærətɔri	prɪ'pærət(ə)rɪ	adj::预备的¦n::预科；预备学校	preparatory work::准备工作；筹备工作¦preparatory stage::准备阶段；预备伐¦preparatory committee::筹备委员会¦preparatory course::预科；预备课程¦preparatory school::预科；预备学校¦preparatory meeting::筹备会议，预备会议¦preparatory workings::[矿]准备巷道	preparatory talks to clear the way for a peace settlement::为缔结和平协议扫清道路的预备性会谈¦preparatory drawings::草图¦A lot of preparatory work still needs to be done.::还有很多准备工作要做。
prepare	prɪ'pɛr	prɪ'peə	v::准备；使适合；装备；起草	prepare something for someone::为某人准备某物¦prepare for::为…准备，使有准备¦prepare the way::排除障碍，扫清道路¦prepare for the worst::作最坏的打算¦prepare yourself::自己做好准备¦prepare material::备料¦prepare against::为对付…作准备	The prosecution wanted more time to prepare their case.::原告想要有更多的时间来准备诉讼。
preposition	,prɛpə'zɪʃən	,prepə'zɪʃ(ə)n	n::介词；前置词		There is nothing in the rules of grammar to suggest that ending a sentence with a preposition is wrong.::在语法规则中没有哪一条表明以介词结束一个句子是错误的。
prerequisite	,pri'rɛkwəzɪt	priː'rekwɪzɪt	n::先决条件¦adj::首要必备的		Good self-esteem is a prerequisite for a happy life.::良好的自尊心是幸福生活的先决条件。
preschool	'pri'skʊl	'priːskuːl	adj::未满学龄的；就学前的，入学前的¦n::幼儿园，育幼院	preschool education::学前教育，幼儿教育	preschool children::学龄前儿童
prescribe	prɪ'skraɪb	prɪ'skraɪb	v::规定；开药方	prescribe for::开处方，开药方	What punishment does the law prescribe for this crime?::法律规定这种罪行应受何处罚？
prescription	prɪ'skrɪpʃən	prɪ'skrɪpʃ(ə)n	n::药方；指示；惯例¦adj::凭处方方可购买的	folk prescription::偏方；民间药方¦prescription drug::须医师处方才可买的药品¦exercise prescription::运动处方¦prescription medicine::处方药¦on prescription::凭处方(的)，根据药方(的)¦make up a prescription::配药，调剂¦negative prescription::【法律】(请求权的)消除时效	We are trying to cut the price of prescription drugs .::我们正努力降低处方药的价格。¦a repeat prescription::重复处方
presence	'prɛzns	'prez(ə)ns	n::存在；出席；参加；风度；仪态	in the presence of::在…面前；有某人在场¦in presence of::提示¦physical presence::实体存在；实际存在¦military presence::军事存在¦internet presence::网上广告¦commercial presence::商业存在	Your presence is requested at the club meeting on Friday.::敬请出席于周五举行的俱乐部会议。
present	'prɛznt	'prez(ə)nt	v::提出；介绍；呈现；赠送¦adj::现在的；出席的¦n::现在；礼物；瞄准	present oneself::出席¦at present::目前，现在¦present situation::现状¦at the present::目前；当前¦present condition::目前的状态¦present status::现状¦for the present::暂时，目前¦present something at someone::举枪对准某人瞄准，用(武器)对准某人¦present time::目前；现在时（时态）¦present at::出席；在场¦at the present time::目前¦birthday present::生日礼物¦present value::现值¦present with::赠（礼物）¦past and present::过去与现在¦live in the present::活在当下¦at the present stage::在现阶段；目前¦net present value::净现值，现在净价值；纯现价¦present itself::vt. 出现，呈现¦the present day::目前；当代	She was presented with an award .::她被授予一个奖项。
presentation	,prizɛn'teʃən	prez(ə)n'teɪʃ(ə)n	n::展示；描述，陈述；介绍；赠送	oral presentation::口头报告；口头陈述；口头演讲¦presentation skill::n. 演讲技巧；表达技巧¦visual presentation::视觉显示；可视图像¦presentation layer::表示层；呈现层¦data presentation::数据显示，数据表示¦at presentation::呈示即付¦give a presentation of::对…作陈述¦graphic presentation::图示¦presentation of document::提交单据	We will begin a series of presentations to help the public fully understand our system.::我们将进行一系列的说明，帮助公众充分了解我们的制度。
presently	'prɛzntli	'prez(ə)ntlɪ	adv::（美）目前；不久		The doctor will be here presently.::医生一会儿就到。¦Presently, I fell asleep.::一会儿我就睡着了。
preservation	,prɛzɚ'veʃən	prezə'veɪʃ(ə)n	n::保存，保留	heat preservation::保温¦food preservation::食物保藏¦heritage preservation::遗产维护¦preservation measures::保全措施¦cold preservation::冷藏¦wood preservation::木材防腐¦preservation of cultural relics::文物保护	methods of food preservation::保存食物的各种方法
preserve	prɪ'zɝv	prɪ'zɜːv	v::保存；保护；维持；腌；禁猎¦n::保护区；禁猎地；加工成的食品	preserve food::保藏食物	We must encourage the planting of new trees and preserve our existing woodlands.::我们必须鼓励栽种新树木，同时也要保护现有的林地。
