abandon	ə'bændən	ə'bænd(ə)n	v::离弃；放弃	with abandon::恣意地，放纵地¦abandon ship::弃船	How could she abandon her own child?::她怎么能抛弃自己的孩子？
consulate	'kɑnsələt	'kɒnsjələt	n:: 领事馆； 领事职位， 领事任期	consulate general::总领事馆	...the Canadian consulate in Seattle.::…驻西雅图的加拿大领事馆。
voltage	'voltɪdʒ	'vəultɪdʒ	n:: 电压	low voltage::低电压¦output voltage::输出电压¦voltage stability::电压稳定；电压稳定度¦input voltage::输入电压；工作电压¦dc voltage::直流电压；直羚压¦rated voltage::[化]额定电压¦voltage control::电压控制¦voltage regulator::稳压器；调压器¦voltage source::n. 电压电源¦supply voltage::电源电压；供给电压¦voltage drop::电压降落¦ac voltage::交流电压；交羚压¦voltage transformer::电压互感器；电压变量器¦constant voltage::恒定电压；定压¦voltage regulation::稳压；电压调整；电压变动率¦arc voltage::弧电压¦working voltage::工作电压；工诅压；操作电压¦breakdown voltage::[电]击穿电压¦medium voltage::中压¦applied voltage::外加电压	The systems are getting smaller and using lower voltages.::这些系统正变得更小而且使用更低的电压。
mediocre	,midɪ'okɚ	ˌmiːdi'əukə(r)	adj:: 平庸的， 平凡的		I thought the book was pretty mediocre.::我认为这本书非常一般。¦a mediocre student::能力一般的学生
socialise	'səuʃəlaiz	'səuʃəlaɪz	v:: 来往， 交往， 交际； 使适应社会生活		
drought	draʊt	draut	n:: 干旱， 旱灾	drought resistance::耐旱性，抗旱性¦drought relief::干旱救灾¦drought control::抗旱；防旱	...a country where drought and famines have killed up to two million people during the last eighteen years.::…过去18年来干旱和饥荒致死达两百万人的一个国家。
unbiased	ʌn'baɪəst	ʌn'baɪəst	adj:: 公正的， 没有偏见的	unbiased estimator::无偏估计值¦unbiased estimate::不偏估计，公正（无偏）评价	We aim to provide a service that is balanced and unbiased.::我们的目标是提供一种公平公正的服务。¦an unbiased observer::一名公正的观察员
periodical	,pɪrɪ'ɑdɪkl	ˌpɪərɪ'ɒdɪkl	adj:: 周期的， 定期的¦n::期刊，杂志	periodical inspection::定期检查	She made periodical visits to her dentist.::她定期去看牙医。
migration	maɪ'ɡreʃən	maɪ'greɪʃn	n:: 迁徙， 移居， 移民	cell migration::细胞移行¦migration velocity::渗移速度；迁动速度¦bird migration::鸟类迁徙¦moisture migration::水分移动¦data migration::数据迁移；资料移转¦migration rate::迁移率；迁徙率；迁移速度¦migration algorithm::偏移算法¦internal migration::内移行	
leaflet	'liflət	'liːflət	v:: 散发传单¦n::传单，散页印刷品；小册子		He’s leafleting the neighbourhood.::他在向街区居民散发传单。
punctual	'pʌŋtʃʊəl	'pʌŋktʃuəl	adj:: 守时的； 准时的		She’s always very punctual for appointments.::她一向准时赴约。¦the punctual payment of invoices::准时结清费用清单
compromise	'kɑmprəmaɪz	'kɒmprəmaɪz	v:: 妥协， 放弃； 危及¦n::妥协，折中办法	reach a compromise::达成妥协¦make a compromise::妥协；折衷；做出让步¦missouri compromise::密苏里妥协案	She admitted that she was unable to compromise.::她承认自己无法作出妥协。
advertise	'ædvɚtaɪz	'ædvətaɪz	vt:: 为…做广告； 宣传； 公告， 公布	advertise for::登广告征求（寻找）某物；登招请（待聘等）广告	They no longer advertise alcohol or cigarettes at sporting events.::他们不再在体育赛事上做烟酒广告了。¦Colleges and universities have found that it pays to advertise (=  advertising brings good results  ) .::大专院校发现做广告效果很好。
sack	sæk	sæk	n::麻袋，粗布袋；解雇；劫掠¦vt:: 解雇； 劫掠	hit the sack::睡觉；就寝¦sack out::睡觉¦sack paper::纸袋；制袋用纸¦sack in::v. 睡觉	They’ve never actually given anyone the sack .::他们从未真的辞退过什么人。¦He got the sack for stealing.::他因偷东西而被解雇。¦She claimed she’d been threatened with the sack.::她称自己受到过解雇的威胁。
comparative	kəm'pærətɪv	kəm'pærətɪv	adj:: 比较的； 相当的	comparative study::比较研究；对比研究¦comparative advantage::[经]比较利益；相对优势¦comparative literature::比较文学¦comparative method::比较方法¦comparative law::比较法¦comparative education::比较教育学，比较教育¦comparative economics::[经]比较经济学¦comparative anatomy::比较解剖学¦comparative linguistics::比较语言学¦comparative cost::比较成本¦comparative static analysis::比较静态分析¦comparative advertising::比较广告；（指名与竞争对手产品进行比较的）货比货式广告	After a lifetime of poverty, his last few years were spent in comparable comfort.::他穷了一辈子，最后几年还算过得比较舒适。
commencement	kə'mɛnsmənt	kə'mensmənt	n:: 开始， 开端； 毕业典礼	commencement date::生效日期	All applicants should be at least 16 years of age at the commencement of this course.::所有申请人在本课程开始时应至少年满16岁。
feedback	'fidbæk	'fiːdbæk	n:: 反馈； 反馈信息	feedback control::[计]反馈控制；回馈控制¦negative feedback::负反馈；负回授¦information feedback::信息反馈¦positive feedback::正反馈¦feedback system::反馈系统；反馈方式¦feedback information::反馈信息¦feedback mechanism::n. 反馈机制，回馈机制¦feedback loop::[计]反馈环路，反馈回路¦force feedback::[机器人]力反馈¦feedback control system::反馈控制系统¦market feedback::市场反馈；市场调查资料¦feedback circuit::反馈电路¦feedback signal::回馈信号，反馈信号¦feedback effect::反馈效应；反馈作用¦position feedback::位置反馈；定位反馈¦feedback amplifier::回馈放大器¦immediate feedback::即时反馈；立即反馈¦acoustic feedback::声反馈；声回授¦feedback component::反馈元件¦feedback data::反馈数据	How can I provide feedback without making someone angry?::我怎样才能提出反馈意见又不会得罪人呢？
gullibly		'gʌləbli	adv:: 轻信地， 易受欺骗地		
credential	krə'dɛnʃl	krə'denʃl	n:: 证明书； 资格证书； 证件		
review	rɪ'vju	rɪ'vjuː	vt::回顾；复习；评论¦n:: 回顾； 评论	literature review::文献回顾；文献综述；文献评论¦judicial review::n. 司法审查；复审¦comprehensive review::全面审查¦general review::总复习；一般性综述¦book review::书评¦peer review::同业互查¦under review::在检查中；正在审查¦design review::设计评论¦in review::在检查中¦performance review::服务表现检讨；业绩评价¦management review::管理评审，管理审查；管理评论¦annual review::年度复查；年度综论¦review board::审查委员会¦critical review::评论¦review committee::复核委员会¦review mechanism::审查制度；复核机制¦review meeting::审核会；工作总结会¦periodic review::定期检查；按期盘点¦preliminary review::预审；预先复查；初审¦pass in review::◎检阅，阅兵；使(军队)分列前进	Bradman will review the best of the new children’s books.::布拉德曼将为这些新的儿童读物中最优秀的作品撰写书评。
dissemination	dɪ,sɛmə'neʃən	dɪˌsemɪ'neɪʃn	n:: 散布， 传播	information dissemination::信息传递；情报传播；资讯发布¦selective dissemination of information::信息的选择性传播；资讯的选择性传播¦dissemination of science::科普	He had their own uniqueness and vitality, and dissemination of a value concept.::他有了自己的独特性和生命力，并传播一种价值理念。
justify	'dʒʌstə'fai	'dʒʌstɪfaɪ	v:: 证明…为正当的； 为…辩护		Ministers must appear before Parliament and justify their actions.::大臣们必须就自己的行为向议会作出解释。
dreadful	'drɛdfəl	'dredfl	adj:: 可怕的； 令人不快的		a dreadful mistake::可怕的错误
timber	'tɪmbɚ	'tɪmbə(r)	n:: 木材， 木料； 栋木， 大梁	timber tree::成材木¦timber structure::木结构；木构造¦sawn timber::锯材，锯木；成型木材¦seasoned timber::经干木材；风干木材¦standing timber::建筑用材¦timber frame::框形支架；木构架；木架	a bench made of timber::木制长椅
tighten	'taɪtn	'taɪtn	v:: 变紧； 使更加严格， 加强	tighten up::加强；使紧密；拉紧；使更牢固¦tighten one's belt::节约度日；束紧腰带	Tighten the screws firmly.::把螺丝拧紧。¦I’d put the new tyre on, but I hadn’t tightened up the wheel.::我把新轮胎装上了，但没有上紧轮子。
roam	rom	rəum	v::随便走，漫游；徜徉；漫谈某事¦n:: 漫步； 徘徊	roam about::漫游；漫步¦roam around::散步，闲逛	Barefoot children roamed the streets.::光着脚的孩子们在街上闲逛。¦I spent a couple of years roaming around the countryside.::我花了几年时间在乡村漫游。
simulate	'sɪmjulet	'sɪmjuleɪt	vt:: 模仿， 模拟； 假装， 伪装； 扮演		a machine that simulates conditions in space::一台模拟太空环境的机器¦Interviews can be simulated in the classroom.::可以在教室里模拟面试。
inclusive	ɪn'klusɪv	ɪn'kluːsɪv	adj:: 包括一切费用在内的； 所有数目包括在内的； 包容广阔的	inclusive of::把…包括在内¦all inclusive::无所不包的；包括一切的；总括	Not everyone shares his vision of an inclusive America.::不是所有人都同意他的观点，认为美国是个包容性很强的国家。
efficiency	ɪˈfɪʃənsɪ	ɪ'fɪʃnsi	n:: 效率； 功效， 效能	high efficiency::高效率¦production efficiency::生产效率¦work efficiency::工作效率；劳动效率；加工效率¦economic efficiency::经济效率¦energy efficiency::能源效率；能量效率¦improve efficiency::提高效率¦removal efficiency::去除效率¦thermal efficiency::热效率¦conversion efficiency::换能效率¦operating efficiency::营业效率，经营效率；工作效率¦operational efficiency::经营效率；运作效率¦transfer efficiency::转换效率；传输效率；合金过渡系数¦increase efficiency::提高效率¦current efficiency::电流效率¦economical efficiency::经济效率，经济效果；经济有效¦transmission efficiency::传输效率，通话效率¦learning efficiency::学习效率¦recovery efficiency::采收率；回收效率¦computational efficiency::计算效率¦displacement efficiency::驱替效率；置换效率；洗油效率	considerable advancements in energy efficiency::能源效率的显著提高
goal	ɡol	gəul	n:: 球门； 射门， 进球得分； 目标	ultimate goal::最终目标；终极目标¦strategic goal::战略目标¦common goal::共同目标¦primary goal::首要目标¦long-term goal::长期目标¦own goal::影响本身利益的错误行为；[足球]误中本队球门¦set a goal::确立一个目标¦life goal::人生目标；生活目标¦goal orientation::目标定向；目标取向¦goal setting::目标设定；目标设置¦career goal::事业目标¦goal line::[足球]球门线¦score a goal::踢进一球；得一分¦goal difference::[体]（足球）净胜球；得失分¦field goal::n. 射门得分；投篮得分¦goal programming::目标规划；目标程序设计¦goal function::目标函数¦goal set::目标集合；目标定势¦no goal::投中无效¦short-term goal::短期目标；近期目标	Your goal as a parent is to help your child become an independent adult.::身为父母，你的目标就是要培养孩子成为独立的成年人。
natural	'nætʃrəl	'nætʃrəl	adj:: 正常的， 普通的， 自然的； 自然界的， 天然的； 天赋的， 固有的	natural gas::天然气¦natural environment::自然环境¦natural science::自然科学¦natural disaster::自然灾难，自然灾害¦natural resource::自然资源¦natural language::自然语言¦natural frequency::自然频率，固有频率；本盏率¦natural condition::自然条件¦natural landscape::自然景观；天然景观¦natural beauty::自然美¦natural selection::自然选择；[生]物竞天择说¦natural scenery::自然风光¦natural rubber::天然橡胶¦natural monopoly::自然独占；天然垄断¦natural history::博物学¦natural world::自然界；物质世界¦natural law::自然法则，自然律¦natural ventilation::自然通风¦natural water::天然水¦natural forest::天然森林	the study of the natural world ::对自然界的研究¦an area of spectacular natural beauty::自然风景秀丽的地区¦death from natural causes::自然死亡¦the need for natural light in offices::办公室里需要自然光的照射
plagiarism	'pledʒə'rɪzəm	'pleɪdʒərɪzəm	n:: 剽窃， 抄袭； 剽窃物		The journal accused the professor of plagiarism.::那份刊物指控该教授剽窃。
overhead	,ovɚ'hɛd	əʊvə'hed	adv:: 在空中， 在头顶上， 在高处¦adj::在头顶上的；高架的¦n:: 天花板； 企业管理费用	overhead transmission::天轴¦overhead crane::桥式吊车，高架起重机¦overhead transmission line::架空输电线；高架输电线路¦overhead line::架空线路；架空管道¦overhead projector::n. 高射投影仪¦overhead cost::间接费用，间接成本¦factory overhead::制造费用；间接制造成本¦overhead light::顶灯，高架照明灯¦overhead power line::架空电力线路¦overhead bin::锅顶仓，吊挂箱；舱顶行李箱¦overhead road::高架道路¦overhead system::架空系统¦overhead expense::营业费用；企业管理费用¦general overhead::一般间接费用¦overhead travelling crane::天车；桥式起重机¦no overhead::不准超车	Bullets whizzed overhead.::子弹嗖嗖地掠过头顶。¦A plane flew overhead.::一架飞机从头顶飞过。¦She turned on the overhead light and looked around the little room.::她打开顶灯，环视这间小屋。
comprehension	,kɑmprɪ'hɛnʃən	ˌkɒmprɪ'henʃn	n:: 理解； 理解力	reading comprehension::阅读理解；阅读测验¦listening comprehension::听力理解；听懂；听力测验¦comprehension and translation::理解与翻译	Why you let her talk you into doing such a foolish thing is beyond my comprehension (= impossible for me to understand ) .::你怎么会被她说服去做这种蠢事，我实在是无法理解。
plagiarise		'pleɪdʒəraɪz	v:: 剽窃， 抄袭		
victimise		'vɪktɪmaɪz	v:: 受害， 迫害		
intact	ɪn'tækt	ɪn'tækt	adj:: 完整无缺的； 完好无损的	intact rock::完整岩石¦keep intact::保持原貌（样）	Only the medieval tower had remained intact.::只有这座中世纪塔楼保存完好。¦His reputation survived intact.::他的声望丝毫未受影响。
in vain			::徒然；无效		Have ye suffered so many things in vain? if it be yet in vain.::你们受苦如此之多，都是徒然的吗。难道果真是徒然的吗。¦Have ye suffered so many things in vain?::你们受苦如此之多，都是徒然的吗。
juvenile	'dʒʊvənaɪl	'dʒuːvənaɪl	adj::少年的，少年特有的；幼稚的，不成熟的¦n:: 未成年人， 少年	juvenile delinquency::少年违法犯罪¦juvenile court::n. 少年法庭¦juvenile diabetes::青少年糖尿病；幼年型糖尿病¦juvenile hormone::保幼激素¦juvenile delinquent::少年犯	juvenile crime::少年犯罪¦a juvenile court::少年法院[法庭]¦The number of juveniles in the general population has fallen by a fifth in the past 10 years.::在过去的10年中，青少年在总人口中所占的比重下降了1/5。
pervasive	pɚ'vesɪv	,pə'veɪsɪv	adj:: 遍布的， 弥漫的	pervasive computing::普遍计算技术	the pervasive influence of television::电视无所不在的影响¦the all-pervasive mood of apathy::到处弥漫的冷漠情绪
managerial	,mænə'dʒɪrɪəl	ˌmænə'dʒɪəriəl	adj:: 经理的； 管理的， 经营的	managerial system::管理系统¦managerial personnel::管理人员¦managerial staff::管理人员¦managerial position::管理职位；治理职位；经理职位会¦managerial accounting::管理会计¦managerial skills::管理技能¦managerial authority::管理权威；治理权威¦managerial experiences::管理经验¦managerial approach::管理研究法；管理方法¦managerial economics::[经]管理经济学¦managerial psychology::管理心理学；治理心理学¦managerial decision::行政决定；领导决定¦managerial function::管理功能；治理职能；治理功能	managerial skills::管理技巧
hive	haɪv	haɪv	v:: 入蜂箱； 群居¦n::蜂房，蜂箱；蜂房内的蜂群；闹市，忙碌之地	hive off::脱离编制；分出	This marketplace was once a hive of activity.::这个市场曾经熙熙攘攘。
spasmodic	spæz'mɑdɪk	spæz'mɒdɪk	adj:: 痉挛的； 间歇性的		spasmodic machine gun fire::断断续续的机关枪射击
intestine	ɪn'tɛstɪn	ɪn'testɪn	n:: 【解】 肠	small intestine::小肠¦large intestine::n. 大肠	This area is always tender to the touch if the intestines are not functioning properly.::如果肠功能不正常的话，这个部位总是一按就痛。
sympathetic	,sɪmpə'θɛtɪk	ˌsɪmpə'θetɪk	adj:: 同情的， 体谅的； 赞同的， 支持的； 和谐的	sympathetic nerve::[解]交感神经¦sympathetic nervous system::交感神经系统¦sympathetic vibration::[物]共振¦sympathetic response::共鸣¦sympathetic trunk::交感干；交感神经干¦sympathetic with::对…同情¦sympathetic consideration::体恤处理，同情之考虑	a sympathetic friend::一个有同情心的朋友¦a sympathetic attitude::一种同情的态度¦We hope always to provide a friendly sympathetic ear (= someone willing to listen to someone else’s problems ) .::我们希望总能做到友善地倾听。
insignificant	,ɪnsɪɡ'nɪfɪkənt	ˌɪnsɪg'nɪfɪkənt	adj:: 无关紧要的， 无意义的		You realize that your problems are insignificant in comparison.::要知道，你的问题相对来说微不足道。
seasonal	'sizənl	'siːzənl	adj:: 季节性的， 随季节而变化的； 节令性的	seasonal variation::季节性波动，季节性变动¦seasonal affective disorder::季节性情绪失调；季节性情绪波动¦seasonal adjustment::季节性调整	heavy seasonal rains::季节性的大雨
freight	fret	freɪt	n::货物¦vt:: 运送； 货运	freight forwarding::货运代理；货物发运；运费由提货方支付¦air freight::航空运费；空运的货物¦freight transport::货物运输¦freight rate::运价；运费率¦freight forwarder::货运代理；货运代理人¦sea freight::海运费，海运费率¦ocean freight::海运运费¦freight car::运货车厢¦freight prepaid::运费已付；[经]运费预付¦freight train::货运车¦freight forward::运费由提货人支付，运费到付¦freight collect::运费到付¦freight collect (freight payable at destination)::运费到付（到目的地后付运费）¦freight traffic::货运；货运交通¦freight service::货运；货运业务¦freight station::货运站¦freight volume::货物运输量¦freight cost::运费；货运成本¦freight charge::运费¦by freight::（美）用普通铁路货车运送	freight services::货运公司¦We’ll send your personal belongings by air freight and your furniture by sea freight .::你的个人物品我们将以空运方式运送，家具将以海运方式运送。
range	rendʒ	reɪndʒ	v:: 变化， 变动； 排列¦n::范围，领域；系列；脉；射程	wide range::宽波段的；宽量程的¦a wide range of::大范围的；许多各种不同的¦a range of::一系列；一些；一套¦full range::全音域，全频；全距；全馏程¦in the range of::在…范围之内；在…射程外¦temperature range::温度范围¦application range::应用领域¦product range::产品范围；产品系列；产品类别¦dynamic range::动态范围¦long range::远程的，长期的¦frequency range::频率范围¦range of application::使用范围；适用范围¦mountain range::山脉¦price range::价格幅度¦at close range::adv. 接近地¦applied range::应用范围¦measuring range::测量范围，量程¦operating range::工作范围；运行范围¦in range::在射程内¦measurement range::量程；测定范围	In the dining room, team photographs were ranged along the wall.::餐厅里，球队的照片排列在墙上。
topsoil	'tɑp'sɔɪl	'tɒpsɔɪl	n:: 表层土		The topsoil has been almost completely washed away.::表层土壤已差不多完全给冲走了。¦According to scientists, it takes nature 500 years to create an inch of topsoil.::根据科学家们的看法，自然界要用500年的时间才能形成一英寸的表层土壤。¦Straw mulching, cultivating and hoeing , regulating the root distribution in the topsoil are effective measures to reduce the soil evaporation.::秸秆覆盖、中耕锄划、调控表层土壤根系分布等可作为减少土壤蒸发的有效措施。
wean	win	wiːn	vt:: 断奶， 戒掉		When would be the best time to start weaning my baby?::什么时候开始给我的孩子断奶最好呢？
derive	dɪ'raɪv	dɪ'raɪv	v:: 取得； 起源	derive from::源出，来自，得自；衍生于	Mr. Ying is one of those happy people who derive pleasure from helping others.::英先生是那种助人为乐的快活人。
overseas	,ovɚ'siz	ˌəuvə'siːz	adv::向国外；在海外，在外国¦adj::来自海外的，外国来的	overseas chinese::华侨，海外华人¦overseas market::海外市场¦overseas investment::海外投资¦overseas trade::海外贸易；对外贸易¦overseas student::留学生¦overseas travel::国外旅游，海外旅行¦returned overseas chinese::归侨¦overseas department::海外部¦overseas branch::国外分支机构；海外分店¦overseas assets::海外资产¦overseas bank::国外银行¦overseas call::国际电话¦overseas chinese affairs office::侨务办公室	Chris is going to work overseas.::克里斯要去国外工作。¦Most applications came from overseas.::大部分申请来自海外。
impress	ɪm'prɛs	ɪm'pres	vt::给…留下深刻印象，使铭记；印，压印¦n:: 印记	impress on::给…留下印象¦impress upon::使牢记；给…留下印象；留下印记	Steve borrowed his dad’s sports car to impress his girlfriend.::史蒂夫借来他爸爸的跑车向女友炫耀。¦‘He’s a lawyer?’ Mum looked suitably impressed (= as impressed as you would expect ).::“他是个律师？”妈妈看上去果然对他印象颇好。
leak	lik	liːk	n::漏洞；	leak detection::检漏；密闭性检查¦leak out::泄漏；漏出¦gas leak::漏气，气体泄露；漏火¦oil leak::漏油¦air leak::漏气；空气渗漏；空气泄漏¦leak detector::检漏器¦leak test::泄漏试验；漏气检查；密封性检验¦heat leak::热漏失，热泄漏¦leak rate::漏失率；渗漏率；泄漏率；漏气率¦leak off::漏泄¦leak hunting::检漏，寻漏¦leak testing::测漏试验，检漏试验¦leak tightness::密封性；渗漏紧度	There is a leak in the ceiling.::天花板上有条裂缝。¦The boat had sprung a leak (= a hole had appeared in it ).::小船出现了漏洞。
flaw	flɔ	flɔː	n:: 缺点； 瑕疵	flaw detection::探伤检验；缺陷检验¦flaw detector::探伤仪；裂痕探测仪¦ultrasonic flaw detector::[工]超声波探伤仪¦flaw echo::缺陷回波；缺陷的回波信号；缺陷回声¦nondestructive flaw detection::无损探伤¦security flaw::安全漏洞；安全性缺陷	A design flaw (= a mistake or weakness in the way something was made ) caused the engine to explode.::一个设计缺陷导致了引擎爆炸。
feature	'fitʃɚ	'fiːtʃə(r)	v:: 以…为特色； 由…主演； 占重要地位¦n::特征，特色；	distinguishing feature::特点；特征¦main feature::主要特征；主要特点；主景；功能特点¦feature extraction::特征抽取¦structural feature::结构特征；构造形态¦special feature::专用功能部件；特别策划；特别收录¦feature selection::特征选择；特铡择¦basic feature::基本特性¦unique feature::特色；特性；独到之处¦design feature::设计特点；结构特点；设计数据；设计形体¦clinical feature::临床特征，临床表现¦common feature::共同特征¦feature space::特征空间¦distinctive feature::辨别属性；区别性特征¦prominent feature::突出特征；显著地物¦facial feature::面貌¦outstanding feature::显著特点¦surface feature::地貌；地表特征；场地地貌¦characteristic feature::性能特点¦semantic feature::语义特征；语意特征；语义要素¦geographical feature::地理特征	The exhibition features paintings by Picasso.::这次展览重点展出毕加索的画作。¦a cruise ship featuring extensive spa facilities::以大量水疗设施为特色的邮轮
assert	ə'sɝt	ə'sɜːt	v:: 断言， 声称； 坚持	assert oneself::坚持自己的权利或意见	French cooking, she asserted, is the best in the world.::她坚称法国菜是世界上最好的。
flat	flæt	flæt	adj::平的；固定的¦n:: 单元住宅	flat surface::平面；平整表面¦flat out::v. 竭尽全力；用全速；疲惫¦flat panel::扁平面板¦flat plate::平板；浅平盘¦fall flat::失败；达不到预想效果¦tidal flat::潮滩；潮汐平原；潮汐舱内甲板；潮汐滩¦flat knitting::横机织物；横编¦flat roof::屋顶平台¦flat steel::扁钢¦flat screen::平筛，平板筛浆机；平面屏幕¦flat knitting machine::横机；针织横机¦flat tire::没精打采；漏了气的车胎¦flat glass::平板玻璃；板玻璃¦flat panel display::平面直角显示器¦flat bottom::n. 平底；平匠¦fell flat::卧倒；引不起兴趣；完全失败¦flat land::平地；平原¦flat type::平面型；单位类型¦flat top::平顶¦flat head::北美印第安人	houses with flat roofs::平顶房¦a perfectly flat sandy beach::十分平坦的沙滩¦The countryside near there is flat as a pancake (= very flat ) .::那儿附近的乡间地势非常平坦。¦Work on a clean, flat surface.::在干净、平整的台面上工作。
leap	lip	liːp	n::跳跃；	by leaps and bounds::adv. 飞跃地，突飞猛进地¦leap forward::跃进；向前跳；快速发展¦great leap::大跃进，大步前进¦great leap forward::大跃进（中国于1958～1960年执行的经济计划）¦leap year::闰年¦with a leap::(收入等)猛增¦leap in the dark::◎轻举妄动；不顾后果的行动；盲目冒险的举动¦look before you leap::三思而后行¦leap out::v. 引人注意¦leap over::跳过¦quantum leap::[物]量子跃迁；[喻]巨大突破¦leap of faith::一百八十度转变¦with leaps and bounds::迅速地；飞跃地¦leap frog::跳背戏¦leap at::向…扑去；欣然接受（机会或建议等）¦leap second::[天]闰秒	He threw a stick into the river and the dog went after it in a flying leap.::他把一根枝条扔到河里，那条狗一个飞跃就追了过去。
disrespectful	disri,spektful	ˌdɪsrɪ'spektfl	adj:: 失礼的， 无礼的		...accusations that he had been disrespectful to a police officer.::...关于他曾对一名警官无礼的控告。
flap	flæp	flæp	v::拍打；拍动¦n:: 薄片； 封盖； 振动； 激动	skin flap::皮瓣¦pocket flap::袋盖¦valve flap::阀瓣¦flap gate::铰链式闸门；舌瓣闸门；翻转板¦flap valve::瓣阀；片状阀¦flap wheel::翼片砂轮	...a kid running and flapping her arms.::…一个边跑边像小鸟一样上下扇动着双臂的小女孩。
brazen	ˈbreɪzən	'breɪzn	adj:: 黄铜制的， 黄铜色的； 厚颜无耻的		her brazen admission that she was cheating on him::她恬不知耻地承认自己对他不忠
irrational	ɪ'ræʃənl	ɪ'ræʃənl	adj::不合理的，不合逻辑的，荒谬的¦n:: 无理数	irrational number::[数]无理数¦irrational exuberance::非理性繁荣	an irrational fear of flying::对飞行非理性的恐惧¦He’s becoming increasingly irrational.::他变得越来越不可理喻了。
picturesque	,pɪktʃə'rɛsk	ˌpɪktʃə'resk	adj:: 美丽如画的； 生动的	picturesque scenery::山清水秀；景色如画	a quiet fishing village with a picturesque harbour::拥有一座美丽港口的宁静渔村
glacial	'ɡleʃl	'gleɪʃl	adj:: 冰期的； 冰川的； 寒冷的， 冰冷的； 冷若冰霜的	glacial acetic acid::冰醋酸；冰乙酸¦glacial period::[地]冰河时期¦glacial lake::冰川湖¦glacial ice::冰川冰；流动冰¦glacial epoch::[地]冰川期；冰河时期	a glacial valley::冰川谷¦glacial deposits::冰川沉积
objection	əb'dʒɛkʃən	əb'dʒekʃn	n:: 反对； 反对的理由		Her objection was that he was too young.::她反对的理由是他太小。
dispute	'dɪs'pjʊt	dɪ'spjuːt	v:: 对…表示异议； 争论， 争吵¦n::争论，争端，争吵	dispute resolution::[法律]调解纠纷¦in dispute::在争论中¦labor dispute::劳动争议；劳资纠纷¦dispute about::争论，辩论¦trade dispute::贸易纠纷¦beyond dispute::无疑地；没有争论余地¦labour dispute::劳资争议¦legal dispute::法律纠纷¦dispute settlement body::争端解决机构；争端处理机构；争端解决机制¦under dispute::在争论中¦settle dispute::解决争端；解决争议	The main facts of the book have never been disputed.::书中的主要事实从未遭到质疑。
observation	,ɑbzɚ'veʃən	ˌɒbzə'veɪʃn	n:: 观察， 观测； 监视； 评述， 评论	field observation::野外观测；实地观察¦observation system::观测系统¦observation method::观察法¦experimental observation::实验观察¦meteorological observation::气象观测¦microscopic observation::微观观察，显微观察¦observation station::观测站；测站；观察位置¦settlement observation::沉降观测¦visual observation::目测法；外部观察¦observation period::观察期间，观测时期¦participant observation::参与观察¦observation point::[计]观察点¦observation window::n. 观察窗；管制室¦under observation::受到观察；在监视下¦observation deck::观测甲板；了望甲板¦sampling observation::取样检查；抽查¦observation error::观测误差，观察误差；测量误差¦observation post::观测所；观察哨¦systematic observation::系统观察，系统观测¦observation well::观察井；观测孔	He spent two nights under close observation in hospital.::他在医院接受了两个晚上的严密观察。¦His orders were to keep the men under observation.::他下的命令是监视这些人。¦Art classes help develop children’s powers of observation.::美术课有助于提高儿童的观察力。¦Careful observation suggests that this is not the case.::仔细观察的结果表明情况并非如此。¦Detailed observations were carried out on the behaviour of the students.::对这些学生的行为作了细致观察。¦From their direct observations, children absorb a model of marriage.::儿童通过直接观察来理解某一种婚姻的模式。
suggest	sə'dʒɛst	sə'dʒest	v:: 建议， 提出； 暗示	suggest doing::建议做…	The zoo asked its visitors to suggest a name for the new baby panda.::动物园请游客提建议，给刚出生的大熊猫起一个名字。¦It has been suggested that the manager will resign if any more players are sold.::有人提议，如果再有球员被出售，球队主教练就辞职。
lead	lid; lɛd	liːd	n::领导；铅；导线；榜样¦vt::领导；致使；引导；指挥¦vi::领导；导致；用水砣测深¦adj::带头的；最重要的	lead in::导入；引入线；开场白¦take the lead::v. 带头；为首¦in the lead::领先；主要的；占主导地位的¦lead time::n. 提前期；订货至交货的时间；研制周期；交付周期¦lead into::导致；引起¦under the lead of::在…的领导下¦lead poisoning::n. 铅中毒；[美国俚语]中弹受伤¦lead on::v. 哄骗；引诱¦lead paint::铅涂料；铅丹¦lead free::adj. 无铅的¦lead screw::导螺杆¦lead content::含铅量¦lead up::引入；抢先¦lead frame::引线框；引脚框架¦lead oxide::氧化铅；一氧化铅；密陀僧¦lead through::引入；带领¦lead wire::铅丝；导线；引出线¦blood lead::血铅¦lead a happy life::过一种幸福的生活¦lead acid battery::铅酸蓄电池；铅酸电池；密封蓄电池	Other countries are likely to follow the U.S.’s lead.::其他国家很可能会效法美国。¦The Government should give industry a lead in tackling racism (= show what other people should do ).::政府在处理种族歧视问题上应该为企业树立榜样。¦The black population in the 1960s looked to Ali for a lead (= looked to him to show them what they should do ).::20世纪60年代的黑人视阿里为黑人的楷模。¦The president and vice president led the mourners.::总统和副总统带领着送葬人群。¦He walks with a stick but still leads his soldiers into battle.::尽管他拄着拐杖，但他仍带领士兵上战场。¦The president and vice president led the mourners.::总统和副总统带领着送葬人群。¦He walks with a stick but still leads his soldiers into battle.::尽管他拄着拐杖，但他仍带领士兵上战场。
inhabitant	ɪn'hæbɪtənt	ɪn'hæbɪtənt	n:: 居民， 住户， 居住者； 栖息的动物		a city of six million inhabitants::有600万居民的城市
