adrift	ə'drɪft	əˈdrɪft	adj::漫无目的地； 漂浮着		Several of the lifeboats were still afloat a month after being cast adrift .::放漂一个月后，有几艘救生艇还在漂流。
popularity	,pɑpju'lærəti	pɒpjʊ'lærətɪ	n::普及，流行；名气；受大众欢迎	enjoy great popularity::享有盛誉¦link popularity::链接广泛度	The president’s popularity has declined considerably.::总统的支持率大大下降了。
porcelain	ˈpɔrsələn	'pɔːs(ə)lɪn	n::瓷；瓷器¦adj::瓷制的；精美的	pottery and porcelain::陶瓷；陶瓷器¦blue and white porcelain::青花瓷；青花瓷器¦red porcelain::紫砂¦porcelain tile::瓷砖¦porcelain ware::瓷器¦porcelain clay::n. 瓷土¦porcelain enamel::搪瓷；瓷釉¦porcelain insulator::瓷绝缘体，瓷隔电子¦ancient porcelain::古瓷¦porcelain crucible::瓷坩埚¦glazed porcelain::玻璃瓷¦porcelain cup::瓷杯，瓷盆；瓷盘绝缘子¦porcelain dish::瓷皿，瓷蒸发皿¦household porcelain::日用瓷	a porcelain vase::瓷花瓶
porch	pɔrtʃ	pɔːtʃ	n::门廊；走廊		He was standing on the porch, waving as we drove away.::我们开车离开的时候，他站在走廊上向我们挥手。
pore	pɔr	pɔː	v::细想；凝视；熟读¦n::气孔；小孔	pore size::孔径；孔隙大小；气孔尺寸¦pore water::孔隙水（等于interstitial water）¦pore pressure::孔隙压力；中性压力¦pore water pressure::孔隙水压力¦pore volume::孔体积；孔隙容积¦pore diameter::孔径；孔隙直径¦pore fluid::孔隙（溶）液，孔隙流体；充液多孔体¦pore space::孔隙¦at every pore::全身¦excess pore pressure::超孔隙压力¦open pore::开气孔；连通孔隙¦sieve pore::筛孔¦pore over::集中精神地阅读；注视¦sweat pore::汗孔；汗腺孔¦fine pore::小孔隙¦nuclear pore::核膜孔；核孔¦inaccessible pore::不可进入的孔隙	The size of your pores is determined by the amount of oil they produce.::毛孔的大小取决于毛孔分泌油脂的多少。
pornography	pɔr'nɑɡrəfi	pɔː'nɒgrəfɪ	n::色情文学；色情描写	child pornography::儿童色情作品	The country's leading newspaper has called for a new campaign against child pornography.::该国最大的报纸已呼吁开展一场新运动反对儿童色情作品。
portable	'pɔrtəbl	'pɔːtəb(ə)l	adj::手提的，便携式的；轻便的¦n::手提式打字机	portable computer::便携式计算机¦portable equipment::便携设备，手提设备；移动式设备¦portable type::便携式¦portable water::饮料水；便携式水¦portable system::可移植系统¦portable radio::便携式收音机；便携式无线电台¦portable machine::轻便机器¦portable electronics::便携式电子设备	a portable radio::便携式收音机
portion	'pɔrʃən	'pɔːʃ(ə)n	n::部分；一份；命运¦v::分配；给…嫁妆	central portion::中心部位¦main portion::主要部分¦portion something out::把(食品、土地、财产等)分成几份；把某物分成若干份；按比例分配	Do you have any children’s portions?::你们有儿童餐吗？
portrait	'pɔrtrɪt	'pɔːtrɪt	n::肖像；描写；半身雕塑像	head portrait::头像¦phase portrait::相位图；相图¦family portrait::全家福	a family portrait::全家福¦She’s been commissioned to paint Jackson’s portrait .::她已受托为杰克逊画肖像。
portray	pɔr'tre	pɔː'treɪ	v::描绘；扮演		His most famous painting portrayed the death of Nelson.::他最著名的画作描绘的是纳尔逊之死。¦Religion was portrayed in a negative way.::对宗教的描写是负面的。
pose	poz	pəʊz	v::造成，形成；摆姿势；装模作样；提出…讨论¦n::姿势，姿态；装模作样	pose a threat::构成威胁；形成一种威胁	Rising unemployment is posing serious problems for the administration.::失业率上升正在给政府造成严重的问题。
positive	'pɑzətɪv	'pɒzɪtɪv	adj::积极的；[数] 正的，[医][化学] 阳性的；确定的，肯定的；实际的，真实的；绝对的¦n::正数；[摄] 正片	positive effect::积极的效果；明显效果¦positive and negative::正反；肯定和否定¦positive attitude::积极态度¦positive correlation::[化]正相关¦positive influence::正面影响，积极影响¦positive results::阳性反应；积极的结果（positive result的复数）¦in a positive way::用积极的方法；从正面¦positive pressure::正压力¦positive feedback::正反馈¦positive response::肯定回应；[计]正响应¦false positive::假阳性¦positive change::正向的改变¦positive and negative effects::正负作用¦positive factor::积极的因素；正因素¦positive action::积极行动；强制作用¦positive energy::正能量；正面能量¦positive definite::[计]正定的¦positive control::正控制，完全控制¦positive interaction::n. 正相互作用¦positive ion::阳离子；正离子	At least something positive has come out of the situation.::至少这个情况也产生了一些积极的东西。¦Write down all the positive things about your life.::记下生活中所有好的事情。¦The rural environment was having a positive effect on the children’s health.::乡村环境对孩子们的健康有好处。¦It’s been a very positive experience for her.::那对她来说是一次非常有益的经历。¦TV can be a positive influence .::电视也会有好的影响。¦the positive contribution to the community made by many older people::许多老年人为社区做出的积极贡献¦It’s been a difficult time but, on the positive side , I feel physically fine.::日子过得不容易，不过从好的方面看，我的身体状况还不错。¦Women should be portrayed in a more positive light .::应该从更正面的角度来描绘女性。
possess	pə'zɛs	pə'zes	v::控制；使掌握；持有；迷住；拥有，具备	possess oneself::自制，镇静¦possess someone of something::使某人拥有某物¦possess of::拥有；占有	Different workers possess different skills.::不同的工人拥有不同技能。¦He no longer possessed the power to frighten her.::他再也吓不倒她了。
possibility	,pɑsə'bɪləti	,pɒsɪ'bɪlɪtɪ	n::可能性；可能发生的事物	production possibility::生产可能性¦by any possibility::万一；可能	There’s always a possibility that he might go back to Seattle.::他也许会回到西雅图去，这种可能性一直存在。¦the possibility of an enemy attack::敌人进攻的可能性¦There was no possibility of changing the voting procedure.::改变投票程序是不可能的。¦A peace settlement now looks like a real possibility .::达成和平协议现在看来有很大的可能性。¦Tomorrow, there’s a remote possibility of snow on high ground.::明天高原地区下雪的可能性甚微。¦They might get married – it’s not beyond the bounds of possibility .::他们也许会结婚——这并非不可能。¦The study raises the possibility that dieting is bad for your health.::那项研究指出节食有可能损害健康。
post	post	pəʊst	n::岗位；邮件；标杆¦v::张贴；公布；邮递；布置	post office::n. 邮局¦by post::以写信的方式¦washington post::华盛顿邮报¦high post::高位；外侧应；高级职位¦post processing::后置处理；后加工（错后处理，后部工艺）¦china post::英文中国邮报¦post treatment::后处理；处理后¦parcel post::邮政包裹；包裹邮递¦post graduate::研究生¦post production::后期制作¦first post::头遍熄灯号¦ex post::依据过去经济发展情形分析的¦new york post::纽约邮报¦command post::[军]指挥所，战地指挥所¦post card::n. 明信片¦lamp post::灯柱，灯杆¦post up::张贴于¦trading post::n. 商栈；交易站¦post code::邮编¦south china morning post::南华早报	Was there any post for me today?::今天有我的邮件吗？¦Emma was opening her post .::埃玛正在拆邮件。
potential	pə'tɛnʃl	pəˈtenʃl	n::潜能；可能性；[电] 电势¦adj::潜在的；可能的；势的	market potential::[经]市场潜力；市场潜在需求量¦potential energy::势能¦development potential::发展潜力；发展前景¦potential market::潜在市场¦growth potential::增长潜力；生长势¦full potential::全电位；全电势¦electric potential::电位；电势¦potential value::潜在价值；位势值；平衡值¦high potential::高电势；潜能¦potential field::势场；位场¦potential difference::n. 势差，位差¦potential distribution::电位分布¦potential function::势函数；位函数¦evoked potential::[生理学]（大脑皮质的）激发性电位¦water potential::水势；水潜能；静水压；水位¦action potential::动作电位；动诅位¦potential customer::潜在的顾客¦potential demand::潜在需要¦potential impact::潜在影响¦chemical potential::化学势，化学位	The boy has great potential.::这个男孩有很大的潜力。
pottery	'pɑtəri	'pɒt(ə)rɪ	n::陶器；陶器厂；陶器制造术	pottery and porcelain::陶瓷；陶瓷器¦painted pottery::彩陶¦chinese pottery::中国陶瓷；中国陶器¦glazed pottery::釉陶¦pottery clay::[化]陶土¦architectural pottery::建筑陶瓷	Native American pottery::美洲印第安人的陶器
poultry	'poltri	'pəʊltrɪ	n::家禽	poultry farm::n. 家禽饲养所¦poultry feed::家禽饲料¦poultry and eggs::禽蛋类¦poultry farming::家禽饲养	...a poultry farm.::…一个家禽饲养场。
poverty	'pɑvɚti	'pɒvətɪ	n::贫困；困难；缺少；低劣	in poverty::贫困；处于贫困当中¦poverty alleviation::扶贫¦poverty line::贫困线；贫穷线（指维持一般生活所需收入的最低标准）¦extreme poverty::极端贫穷¦eliminate poverty::消除贫困¦live in poverty::过着贫穷的生活¦shake off poverty::摆脱贫困，脱贫¦absolute poverty::绝对贫困¦abject poverty::赤贫¦poverty level::贫困水平¦poverty trap::贫困陷阱¦poverty gap::贫富差距	Millions of elderly people live in poverty .::数百万老年人生活在贫困之中。¦We need an effective strategy to fight poverty .::我们需要制定一个有效的对策来与贫困作斗争。¦continued efforts to alleviate poverty and raise living standards::缓解贫困和提高生活水平的不懈努力¦scenes of abject poverty::极度贫困的情景¦the causes of urban poverty::造成城市贫困的原因
practicable	'præktɪkəbl	'præktɪkəb(ə)l	adj::可用的；行得通的；可实行的		The only practicable course of action is to sell the company.::唯一可行的做法是把公司卖掉。¦It is their duty to ensure, so far as is reasonably practicable, that the equipment is safe.::在力所能及的情况下确保设备安全是他们的职责。
practical	'præktɪkl	'præktɪk(ə)l	adj::实际的；实用性的	practical application::实际应用¦practical experience::实务经验，实践经验，实际经验¦practical value::实际价值¦practical work::社会实践；实际作业¦practical use::实际用途；实际应用；实用¦practical situation::实际情况¦practical ability::实践能力；实际能力¦practical problem::实际问题¦practical training::实习训练；实际培训¦economical and practical::经济实用；经济实惠¦practical knowledge::实践性知识，实用性知识；实务知识¦practical writing::应用文，应用写作¦practical english::实用英语¦practical activity::实践活动¦practical guide::实用向导；实用手册¦practical level::实际水平¦practical reason::实践理性；实际理由¦practical purpose::实用目的¦practical skill::实际技能¦practical philosophy::实践哲学，实际哲学	Candidates should have training and practical experience in basic electronics.::应征者应该具备基础电子学方面的培训和实践经验。¦the practical problems of old age::老年的实际问题¦They provide financial and practical help for disabled students.::他们为残障学生提供经济上的援助以及实际的帮助。¦a combination of theoretical and practical training::理论培训和实践培训的结合¦They haven’t thought about the practical consequences of the new regulations.::他们没有考虑过新法规会产生什么实际后果。¦In practical terms, this means spending more time with each student.::具体地说，这意味着花更多的时间和每个学生在一起。
practice	'præktɪs	'præktɪs	n::实践；练习；惯例¦v::练习；实习；实行	in practice::在实践中；实际上，事实上¦practice of::有…的习惯¦into practice::实施；实行¦teaching practice::教学实习；试教¦clinical practice::临床实践；内科学¦engineering practice::工程实践¦judicial practice::判例；司法程序¦practice teaching::教学实习（师范院校学生的）；试教¦social practice::社会实践¦put into practice::实行，实施；落实¦good practice::良好的做法¦international practice::国际惯例；国际实践¦construction practice::施工管理¦management practice::管理实务¦common practice::惯例；习惯作法¦medical practice::医疗实践¦best practice::最佳实务，最佳实践；最佳做法，最优方法；典范做法¦design practice::设计原则¦educational practice::教育实习；教改实践¦legal practice::法律实践	It takes hours of practice to learn to play the guitar.::学习弹吉他需要长时间的练习。¦With a little more practice you should be able to pass your test.::稍微再练一练，你应该能通过考试了。¦We have choir practice on Tuesday evening.::星期二晚上我们要练习合唱。
pram	præm	præm	n::婴儿车；送牛奶用的手推车		a young woman pushing a pram::推着婴儿车的年轻女子
prawn	prɔn	prɔːn	n::对虾，明虾¦v::捕虾	prawn cracker::龙虾片；虾片¦king prawn::宽沟对虾；大虾；国王明虾	a prawn sandwich::明虾三明治¦prawn cocktail (= a small dish of prawns in a sauce with some salad )::大虾冷盘
preach	pritʃ	priːtʃ	v::说教；讲道；鼓吹；传道；反复灌输¦n::说教		He traveled the southern states, preaching the gospel .::他游历南方各州宣讲福音。
precede	prɪ'sid	prɪ'siːd	v::领先，在…之前；优于，高于		a type of cloud that precedes rain::下雨前出现的一种云¦Lunch will be preceded by a short speech from the chairman.::午餐开始之前主席会发表一段简短的讲话。
precis			n::摘要；大纲¦v::概括…的大意；为…写摘要		I suppose further that you need a precis of the idea so you can decide whether the suggestion is feasible and warrants more exploration.::我进一步假设您需要有一个大致的想法，以使得您可以决定那个建议是否切实 可行而且确保深入的研究。
predecessor	'prɛdəsɛsɚ	'priːdɪsesə	n::前任，前辈	predecessor company::被接管公司	Kennedy’s predecessor as President was the war hero Dwight Eisenhower.::肯尼迪总统的前任是战争英雄德怀特·艾森豪威尔。
predict	prɪ'dɪkt	prɪ'dɪkt	v::预报，预言；预知		Sales were five percent lower than predicted.::销售额比预期低5%。¦As Liz had predicted , the rumours were soon forgotten.::正如利兹所预料的，流言很快就被淡忘了。
predominantly	prɪ'dɑmɪnəntli	prɪ'dɒmɪnəntlɪ	adv::主要地；显著地		The city’s population is predominantly Irish.::该城市的人口绝大多数是爱尔兰人。
preface	'prɛfəs	'prefəs	n::前言；引语¦v::为…加序言；以…开始		...the preface to Kelman's novel.::…凯尔曼小说的前言。¦I will preface what I am going to say with a few lines from Shakespeare.::我将引用莎士比亚的几行诗作为我讲话的开场白。
preferable	'prɛfrəbl	'pref(ə)rəb(ə)l	adj::更好的，更可取的；更合意的		For this dish, fresh herbs and garlic are preferable.::做这道菜，用新鲜香草和大蒜更好。¦In warm weather, clothes made of natural fabrics are infinitely preferable (= much better ) .::天气暖和的时候，穿天然织物的衣服要舒适得多。
prefix	'prifɪks	'priːfɪks	n::前缀¦v::加前缀；将某事物加在前面		To telephone from the U.S. use the prefix 011 33 before the numbers given here.::从美国拨出电话，请在所给号码前加拨前置代码011 33。
pregnant	'prɛɡnənt	'pregnənt	adj::怀孕的；富有意义的	pregnant woman::孕妇¦to be pregnant::怀孕¦pregnant solution::含贵重矿物溶液	care for pregnant women::孕妇保健¦I knew right away that I was pregnant.::我立即明白我怀孕了。¦I thought I was too old to get pregnant .::我觉得自己年龄太大，已经不能怀孕了。¦I didn’t mean to get her pregnant (= make her pregnant ) .::我没想让她怀孕。¦His wife was heavily pregnant (= almost ready to give birth ) .::他的妻子即将临产。
prejudice	'prɛdʒədɪs	'predʒʊdɪs	n::偏见；侵害¦v::损害；使有偏见	without prejudice::无偏见¦pride and prejudice::《傲慢与偏见》¦prejudice against::vt. 对……的偏见¦to the prejudice of::有利于，有损于¦racial prejudice::种族偏见	Women still face prejudice in the workplace.::女性在职场中仍然面临歧视。¦It takes a long time to overcome these kinds of prejudices.::战胜这些偏见需要假以时日。
preliminary	prɪ'lɪmɪnɛri	prɪ'lɪmɪn(ə)rɪ	n::准备；预赛；初步措施¦adj::初步的；开始的；预备的	preliminary study::初步研究¦preliminary analysis::初步分析¦preliminary design::初步设计¦preliminary stage::初始阶段，初期；原始阶段¦preliminary investigation::初步调查¦preliminary test::初步试验；预先测试；初级试验¦preliminary examination::预备考试；预先检查¦preliminary plan::初步设计¦preliminary round::初赛；分组预选赛¦preliminary data::初始数据¦preliminary survey::初步调查；初测¦preliminary treatment::预处理¦preliminary assessment::初步评估；预备评估¦preliminary report::初步报告；预备报告¦preliminary planning::初步规划；初步计划¦preliminary agreement::初步协议¦preliminary review::预审；预先复查；初审¦preliminary scheme::初步规划¦preliminary hearing::n. 调查庭¦preliminary works::初步工程；准备工程	After the usual preliminaries , the chairman made his announcement.::一段例行的开场白之后，主席发布了通告。
prelude	'prɛljud	'preljuːd	n::前奏；序幕；前奏曲¦v::成为…的序幕；演奏…作为前奏曲		Living together as a prelude to marriage is now considered acceptable in many countries.::婚前同居如今在许多国家都已被接受。
premier	prɪ'mɪr	'premɪə; 'priː-	adj::第一的；最初的¦n::总理，首相	premier league::超级联赛¦vice premier::副总理	one of Dublin’s premier hotels::都柏林最好的酒店之一
premise	ˈpremɪs	'premɪs	v::引出，预先提出；作为…的前提¦n::前提；上述各项；房屋连地基	on the premise::在…前提下¦major premise::n. [逻]（三段论法的）大前提¦off the premises::(尤指酒店)店外，屋外，建筑物外	Schools may earn extra money by renting out their premises.::学校通过出租房屋场地可以获取额外收入。¦business premises::企业经营场所
preparation	,prɛpə'reʃən	,prepə'reɪʃ(ə)n	n::预备；准备	preparation for::为…做准备¦preparation method::制备方法¦in preparation::在准备中¦in preparation for::adv. 为……作准备¦coal preparation::选煤¦preparation plant::选矿厂¦sample preparation::样品制备；样品处理；样品加工¦preparation work::准备工作¦material preparation::材料制备；下料¦enzyme preparation::[生]酶制剂¦make preparations for::为…做准备¦data preparation::数据准备；资料准备¦surface preparation::表面处理¦soil preparation::整地¦preparation equipment::选矿设备¦site preparation::预备场地¦mental preparation::心理准备¦pharmaceutical preparation::药物制剂；医药制剂¦specimen preparation::试片制作；样品制备¦make preparation for::为…作准备	This dish is good for dinner parties because much of the preparation can be done ahead of time.::这道菜适合宴会，因为很多准备工作可以事先做好。¦Plans for the new school are now in preparation .::新学校的设计图正在绘制中。¦a course in food service and food preparation::餐饮服务和备菜课程
preparatory	prɪ'pærətɔri	prɪ'pærət(ə)rɪ	adj::预备的¦n::预科；预备学校	preparatory work::准备工作；筹备工作¦preparatory stage::准备阶段；预备伐¦preparatory committee::筹备委员会¦preparatory course::预科；预备课程¦preparatory school::预科；预备学校¦preparatory meeting::筹备会议，预备会议¦preparatory workings::[矿]准备巷道	preparatory talks to clear the way for a peace settlement::为缔结和平协议扫清道路的预备性会谈¦preparatory drawings::草图¦A lot of preparatory work still needs to be done.::还有很多准备工作要做。
preposition	,prɛpə'zɪʃən	,prepə'zɪʃ(ə)n	n::介词；前置词		There is nothing in the rules of grammar to suggest that ending a sentence with a preposition is wrong.::在语法规则中没有哪一条表明以介词结束一个句子是错误的。
present	'prɛznt	'prez(ə)nt	v::提出；介绍；呈现；赠送¦adj::现在的；出席的¦n::现在；礼物；瞄准	present oneself::出席¦at present::目前，现在¦present situation::现状¦at the present::目前；当前¦present condition::目前的状态¦present status::现状¦for the present::暂时，目前¦present something at someone::举枪对准某人瞄准，用(武器)对准某人¦present time::目前；现在时（时态）¦present at::出席；在场¦at the present time::目前¦birthday present::生日礼物¦present value::现值¦present with::赠（礼物）¦past and present::过去与现在¦live in the present::活在当下¦at the present stage::在现阶段；目前¦net present value::净现值，现在净价值；纯现价¦present itself::vt. 出现，呈现¦the present day::目前；当代	She was presented with an award .::她被授予一个奖项。
preserve	prɪ'zɝv	prɪ'zɜːv	v::保存；保护；维持；腌；禁猎¦n::保护区；禁猎地；加工成的食品	preserve food::保藏食物	We must encourage the planting of new trees and preserve our existing woodlands.::我们必须鼓励栽种新树木，同时也要保护现有的林地。
preside	prɪ'zaɪd	prɪ'zaɪd	v::主持，担任会议主席	preside over::主持；负责¦preside at::主持；负责	I shall be pleased to preside at your meetings.::我很高兴主持你们的会议。¦Mr Justice Waller, presiding judge for the northeast::沃勒法官，东北地区的首席法官
presidential	'prɛzədɛnʃəl	,prezɪ'denʃəl	adj::总统的；首长的；统辖的	presidential election::总统选举；总统大选¦presidential candidate::总统候选人¦presidential palace::总统府¦presidential suite::总统套房；总统套间¦presidential system::总统制¦presidential primary::总统预选¦presidential medal of freedom::总统自由勋章	a presidential election::总统大选¦the party’s presidential candidate::该党的总统候选人
press	prɛs	pres	v::压；按；逼迫；紧抱¦n::压；按；新闻；出版社；[印刷] 印刷机	press conference::记者招待会，新闻发布会¦in the press::正在印刷；即将出版¦press the button::按钮；按键¦press down::压¦hydraulic press::液压机；水压机；油压机¦associated press::美联社¦printing press::印刷机¦press release::新闻稿；通讯稿¦press in::压入¦press for::迫切要求¦press on::强加于；向前推进¦filter press::压滤机¦hot press::热压；热压机¦press any key::按任意键¦power press::动力印刷机，电动印刷机¦press machine::压床¦offset press::胶印机¦oxford university press::牛津大学出版社¦press ahead::继续进行¦freedom of the press::新闻自由；出版自由	Manville kept his back pressed flat against the wall.::曼维尔后背紧紧地贴在墙上。¦She pressed the gas pedal and the car leapt forwards.::她踩下油门，汽车向前冲了出去。¦He pressed a card into her hand before leaving.::离开之前他往她手里塞了一张卡片。
prestige	prɛ'stidʒ	pre'stiː(d)ʒ	n::威望，声望；声誉		The king wanted to enhance his prestige through war.::国王想通过战争来提高自己的威信。¦This little-known British firm has now gained considerable prestige .::这家名不见经传的英国公司如今已经声名鹊起。¦the personal prestige attached to owning a large property::拥有大房子所带来的体面
presumably	prɪ'zuməbli	prɪ'zjuːməblɪ	adv::大概；推测起来；可假定		It’s raining, which presumably means that your football match will be cancelled.::下雨了，这可能意味着你们的足球比赛要取消。
pretence	pri'tens, 'pri:t-	prɪ'tens	n::假装；借口；虚伪	false pretences::诈骗	It was all an elaborate pretence .::这一切都是精心的伪装。
pretext	'pritɛkst	'priːtekst	n::借口；托辞¦vt::以…为借口	on the pretext of::以...为借口¦find a pretext for::为…找口实	He’ll phone on some pretext or other.::他会以这样或那样的理由打电话的。
prevail	pri'vel	prɪ'veɪl	v::盛行，流行；战胜，获胜	prevail over::胜过；占优势¦prevail on::说服，劝说¦prevail upon::说服；诱使¦prevail with::劝说；说服	Justice will prevail.::正义终将获胜。
prevent	pri'vɛnt	prɪ'vent	v::预防，防止；阻止	prevent from::阻止，制止；妨碍¦prevent and control pollution::防治污染；预防和控制污染	The rules are intended to prevent accidents.::这些规定旨在预防事故。¦We were prevented from entering the site.::我们被阻止进入现场。¦Wrap small ornaments in paper to prevent them being damaged.::把小饰品用纸包上以免损坏。
previous	'privɪəs	'priːvɪəs	adj::以前的；早先的；过早的¦adv::在先；在…以前	previous year::前一年¦previous generation::前代；当代¦previous period::前期¦previous page::上一页，前一页；返回上一级菜单¦previous question::（国会议事程序中作为动议提出的）先决问题¦previous frame::上一帧；前一帧¦previous arrangement::前次安排	She has a teenage daughter from a previous marriage.::她有个出自前一次婚姻的十几岁的女儿。
prey	pre	preɪ	v::捕食；掠夺；折磨¦n::捕食；牺牲者；被捕食的动物	prey on::v. 捕食；掠夺¦easy prey::◎容易猎取的动物¦fall prey to::成为...的牺牲品；深受...之害¦bird of prey::猛禽；食肉鸟¦prey upon::掠夺，折磨；捕食¦beast of prey::食肉兽，猛兽	The effect was to disrupt the food chain, starving many animals and those that preyed on them.::后果是打断食物链，使许多动物和捕食它们的动物饿死。
priceless	ˈpraɪslɪs	'praɪslɪs	adj::无价的；极贵重的；非常有趣的¦n::非卖品	priceless treasure::无价之宝	priceless antiques::极其贵重的古董
prick	prɪk	prɪk	v::刺，戳；刺伤，刺痛；竖起¦n::刺，扎；刺痛，刺伤；阴茎；锥¦adj::竖起的	prick up oneself::打扮自己；炫耀自己¦prick up::vt. 粗涂；竖起；（风）加剧¦prick on::v. 驱使	Prick the sausages before you grill them.::烤之前把香肠戳孔。
priest	prist	priːst	n::牧师；神父；教士¦vt::使成为神职人员；任命…为祭司	high priest::大祭司；主教；主要人物；领袖	He had trained to be a Catholic priest.::他接受培训成了一名天主教神父。
prime	praɪm	praɪm	adj::主要的；最好的；基本的¦adv::极好地¦n::初期；青年；精华；全盛时期¦v::使准备好；填装	prime minister::首相，总理¦prime time::黄金时间¦deputy prime minister::副总理；副首相¦prime number::素数¦prime mover::n. 原动力；发起者¦prime of life::生命全盛期，壮年¦optimus prime::擎天柱（动画片变形金刚中的角色）；柯柏文（动画片变形金刚中的角色）¦prime location::场所合适的，地段显眼的¦prime factor::[数]素因数；素因子¦prime cost::主要成本¦prime target::主要目标；战利品，擎天柱¦prime suspect::嫌疑重犯；主要嫌疑犯¦prime rate::最优惠利率；头等贷款最低利率¦prime focus::主焦点¦prime contractor::总承包人；主要承包商¦prime ideal::素理想¦prime power::素数幂；原动力；长行功率，常用功率；基本功率¦prime coat::[化]底漆，底涂层¦prime meridian::本初子午线；本初子午圈	Smoking is the prime cause of lung disease.::抽烟是引发肺部疾病的首要原因。¦Our prime concern is providing jobs for all young school leavers.::我们的头等大事是为所有的年轻毕业生提供工作。¦He was named as the prime suspect in the murder investigation.::在那宗谋杀案的调查中他被定为主要嫌疑人。¦Good management is of prime importance in business.::良好的经营管理在商业领域尤为重要。
prince	prɪns	prɪns	n::王子，国君；亲王；贵族	prince charles::查尔斯王子（英国王储）¦crown prince::n. 皇太子；皇储¦prince of wales::n. 威尔士亲王（英国皇太子之封号）¦happy prince::快乐王子（童话故事）¦prince albert::双排扣的男长礼服¦merchant prince::n. 富商；有影响力的商人¦prince george::乔治王子城（加拿大城市）	Prince William::威廉王子
princess	prɪnˌsɛs	prɪn'ses	n::公主；王妃；女巨头	princess diana::戴安娜王妃¦princess of wales::n. 威尔斯王妃¦crown princess::n. 将继承王位的公主；女王储¦a little princess::小公主（原著为小说，后多次改编为电影、电视剧和动画）¦princess mononoke::幽灵公主；魔法公主（动画电影）	Princess Anne::安妮公主
principal	'prɪnsəpl	'prɪnsəp(ə)l	adj::主要的；资本的¦n::首长；校长；资本；当事人	principal component::主成分；[化]知组分¦principal component analysis::主成分分析¦principal and interest::本利，本金及利息¦principal stress::主应力；枝力，枝动¦principal axis::[物]主轴¦principal factor::主要因素；主因子法¦principal investigator::主要研究者¦repayment of principal::还本；偿还本金¦principal function::主函数；主要职能¦principal strain::主应变，枝变¦principal product::主产物¦principal direction::纸向；主方向¦principal office::总部，总社；总办事处；校长室¦principal element::主要因素；主元素¦principal character::主人公；主要特征¦principal focus::[物]主焦点（等于focal point）¦principal tensile stress::汁应力，主拉应力¦major principal stress::最大主应力，第一主应力¦principal value::本金值；基本价值；主值¦principal action::主诉；主要行动	His principal reason for making the journey was to visit his family.::他那次旅程的首要目的是探访家人。¦Teaching is her principal source of income.::教书是她主要的收入来源。¦the principal character in the book::书里的主人公
principle	'prɪnsəpl	'prɪnsɪp(ə)l	n::原理，原则；主义，道义；本质，本义；根源，源泉	working principle::工作原理¦basic principle::基本原理¦on the principle of::根据...的原则¦design principle::设计原理¦operating principle::工作原理；操作原理¦guiding principle::指导原则¦operation principle::经营理念¦in principle::大体上，原则上¦of principle::有原则的¦fundamental principle::基本原则¦general principle::一般原则；一般原理；普遍原理¦on principle::根据原则¦first principle::第一原则；第一原理；基本原则¦principle of work::原理，工作原理¦management principle::管理原则；经营方针¦variational principle::[力]变分原理（等于variation principle）¦system principle::系统性原则¦reaction principle::n. 反应原理，反作用原理；反酌原理¦principle of operation::工作原理；操作原理¦superposition principle::[物]叠加原理	The general principle is that education should be available to all children up to the age of 16.::总的原则是，16 岁以下儿童都应该能接受教育。¦He called for a return to first principles (= the most important ideas ) of road safety for children.::他呼吁回归儿童道路安全的根本原则。¦Similar principles apply in the case of older children (= the principles are the same as others that have been mentioned ) .::类似的原则也适用于年纪大些的儿童。
priority	praɪ'ɔrəti	praɪ'ɒrɪtɪ	n::优先；优先权；[数] 优先次序；优先考虑的事	give priority to::优先考虑；认为优先¦top priority::最优先的¦first priority::最优先；绝对优先权¦high priority::n. 高优先级¦higher priority::较高优先级¦low priority::低优先级¦lower priority::次重要优先项目(或问题)¦priority mail::优先邮件（美国邮政的邮件类型之一，在邮件分检系统内享有优先处理的特权）¦order of priority::优先秩序，轻重缓急次序¦priority date::优先日期¦priority level::优先等级¦priority control::优先级控制¦priority queue::优先排队¦priority setting::制定优先次序；优先级设立¦according to priority::依次¦relative priority::相对优先求偿权¦elderly persons priority scheme::共享颐年优先配屋计划	The club’s priority is to win the League.::该俱乐部首先考虑的是要赢得联赛。¦After several burglaries in the area, security is now a high priority (= very important and needing attention soon ) .::该地区发生了几宗入室盗窃案以后，治安成了当务之急。¦With so little money available, repairs must remain a low priority (= not important and not needing attention soon ) .::可用的钱这么少，只好暂时放下维修事宜了。¦The customer is high on our list of priorities .::顾客在我们的心目中排在第一位。¦List your tasks in order of priority (= most important first ) .::按照轻重缓急列出你的工作。
privacy	'praɪvəsi	'prɪvəsɪ; 'praɪ-	n::隐私；秘密；隐居；隐居处	privacy policy::隐私权政策；隐私策略¦privacy protection::秘密保护¦right of privacy::隐私权¦individual privacy::个人隐私¦privacy statement::隐私权声明¦in privacy::秘密地¦invasion of privacy::侵犯个人隐私；侵犯隐私权¦privacy rights::隐私权¦privacy act::隐私法；隐私权法（美国1974年颁布的法案）¦privacy of the individual::个人私隐	each individual’s right to privacy::每个人的隐私权
privilege	ˈprɪvəlɪdʒ	ˈprɪvəlɪdʒ	n::特权；优待¦v::给与…特权；特免	special privilege::特权；特别优惠；特殊许可	He had no special privileges and was treated just like every other prisoner.::他不享受特权，待遇和任何其他犯人一样。
