textbook	'tɛkstbʊk	'teks(t)bʊk	n::教科书；课本		a biology textbook::一本生物教科书
market	'mɑrkɪt	'mɑːkɪt	n::市场；集市	market economy::[经]市场经济¦socialist market economy::社会主义市场经济¦in the market::在市场里；想买的¦market competition::市场竞争¦stock market::股票市场；证券市场；股票交易¦international market::国际市场¦on the market::上市；出售的¦market share::市场占有率¦market demand::市场需求¦real estate market::房地产市场；不动产市场¦capital market::资本市场¦domestic market::国内市场¦property market::地产市场；房地产市场；物业市场¦market development::市场发展；市场开发¦market price::市价¦home market::国内市场¦market research::n. 市场调查¦market mechanism::市场机制；市场调节作用¦housing market::住宅区市场¦financial market::金融市场	Our main overseas market is Japan.::我们的主要海外市场是日本。¦market stalls/traders::集市货摊 / 商贩
costume	ˈkɑsˌtum	kɒstjuːm	n::戏装；化装服；服装，装束	costume jewelry::（用作服饰的）人造珠宝¦costume design::最佳服装设计¦national costume::民族服装¦chinese costume::中式装；唐装；中装¦costume jewellery::人造珠宝饰物；服装饰物¦costume designer::服装设计师¦costume party::化妆舞会；化装舞会¦costume designing::服装设计	the film’s lavish costumes and spectacular sets::影片中奢华的戏装和壮观的场景¦Hallowe’en costumes::万圣节前夕化装服¦The dancers were in national costume . ＃::舞者都穿着民族服装。
embarrassed	ɪm'bærəst	ɪm'bærəst	adj::窘迫的；害羞的	feel embarrassed::感到尴尬	Lori gets embarrassed if we ask her to sing.::我们要是请洛丽唱歌，她就会难为情。
announce	ə'naʊns	ə'naʊns	v::宣布；宣告		They announced their engagement in ‘The Times’.::他们在《泰晤士报》上宣布了订婚的消息。¦At the end of their meeting, it was announced that an agreement had been reached.::会议最后宣布已达成一项协议。
spaghetti	spə'ɡɛti	spə'getɪ	n::意大利面条		Susan: What kind of spaghetti sauce is this?::苏珊： 这是哪种意大利面条酱？
hoax	hoks	həʊks	n::恶作剧；骗局		a bomb hoax::虚假炸弹恐吓¦hoax calls(= telephone calls giving false information ) to the police::恶作剧报警电话¦an elaborate hoax ＃::精心设计的骗局
discovery	dɪ'skʌvəri	dɪ'skʌv(ə)rɪ	n::发现；发觉	scientific discovery::科学发现¦discovery channel::探索频道¦great discovery::伟大的发现；好棒的发现¦discovery bay::愉景湾（位于香港大屿山东北部分）；发现湾（哥伦布第一脚踏上的土地）¦discovery learning::发现学习¦make a discovery::做出新的发现	I felt I'd made an incredible discovery.::我感到自己有了一个惊人的发现。
lady	'ledi	'leɪdɪ	n::女士；女子；举止文雅的女人，淑女	old lady::n. 老妇人；[口]母亲¦first lady::第一夫人；总统夫人¦young lady::n. 小姐；女士；未婚妻；女朋友¦beautiful lady::美丽的女人¦leading lady::女主角；饰女主角的演员¦fat lady::胖夫人（《哈利波特》里的人物）¦little lady::亲爱的小姐；小女人¦lady friend::女友；情妇¦cleaning lady::清洁女工¦dragon lady::母夜叉；傲慢专横或残暴的妇女；有魅力的神秘妇女¦lady killer::使女人动心的男人¦lady luck::幸运；好机会¦lady first::女士优先¦lord and lady::贵族与小姐	young/old/elderly etc lady::年轻女子/上了年纪的女士/老妇人等¦She knows how to behave like a lady.::她知道怎么做一个淑女。
officer	'ɔfɪsɚ	'ɒfɪsə	n::军官；官员	police officer::n. 警官；警员¦executive officer::主任参谋，执行官¦chief executive officer::首席执行官；总裁¦customs officer::海关官员¦military officer::军官¦chief financial officer::财务总监；首席财务官¦commanding officer::n. 少尉至上校阶级之各指挥官¦senior officer::高级职员，高级军官¦operating officer::营运主管人¦chief operating officer::首席营运官¦naval officer::海军军官；海军军官海关税务助理海军官员¦security officer::安全官员；安全人员¦medical officer::n. （地方政府的）卫生官员；卫生干事¦loan officer::信贷员；贷款人员；信贷主管¦chief officer::大副¦staff officer::参谋；非军事工作的军官¦immigration officer::移民局官员；入境关员¦authorized officer::获授权人员；特准人员；授权签字人¦superior officer::上司；上级官员¦first officer::大副	a commanding officer of the SAS::英国空军特种部队的一名指挥官¦a prison officer ＃::典狱官员
believable	bi'li:vəbl	bɪ'liːvəbl	adj::可相信的；可信任的		a story with believable characters in it::人物真实可信的故事¦That scenario is entirely believable.::那样的设想完全是可信的。
embarrassing	ɪm'bærəsɪŋ		adj::使人害羞的（难堪的或惭愧的）		She asked a lot of embarrassing questions.::她问了许多令人尴尬的问题。¦an embarrassing situation::令人难堪的处境
New Zealand			::新西兰		Meat from New Zealand is frozen and brought to England in special ships.::从新西兰运来的肉被冷冻保藏，用特殊的船运往英国。¦If you live in Australia, the US, the UK, Canada or New Zealand, then you live in the same place as me; Fat City.::如果你是生活在澳大利亚，美国，加拿大或者新西兰，那么你其实就是和我住在同一个地方：肥胖国。¦Unfortunately, we know that one effect of climate change in New Zealand will be more extreme weather like this.::遗憾的是，我们知道，气候变化在新西兰的影响之一是会有更多像这样的极端天气。
Italy	'ɪtəlɪ	'ɪtəlɪ	::意大利	little italy::小意大利（美国大城市的意大利移民区）	They decided to swan around Italy this summer.::他们决定今年夏天去意大利游逛。¦French troops negotiated the Alps and went on the road in Italy.::法军成功地越过了阿尔卑斯山脉，行军在意大利的国土上。¦All the newspapers reported on the football match of France versus Italy.::所有的报纸都报道了法国队对意大利队的足球比赛。
Mars	mɑrz	mɑːz	::火星		the enormous volcanoes known to exist on Mars::已知在火星上存在的大量火山
Carl			::卡尔（男名）	carl landry::n. 卡尔兰德里（美国篮球明星）¦carl lewis::卡尔刘易斯（美国田径名将）	Call me Carl.::叫我卡尔吧。
Orson	'ɔ:sən	'ɔ:sən	::奥森		
litter	'lɪtɚ	'lɪtə	v::使凌乱；把...弄乱；乱扔（垃圾）¦n::垃圾；废弃物		Clothes littered the floor.::衣服扔了一地。¦People who litter often have no pride in the area.::经常随地乱扔垃圾的人没有地区荣誉感。¦People who drop litter can be fined in some cities.::在有些城市，乱扔垃圾的人会被罚款。
bottom	'bɑtəm	'bɒtəm	n::底部；最下部	at the bottom::在底部；在底端¦at the bottom of::在…的底部¦from top to bottom::完完全全，从头到脚¦bottom line::结果；概要；帐本底线¦on the bottom::在底部¦top and bottom::上下；顶层及底层¦bottom hole::底孔， 井底；下部孔；底部炮眼¦at bottom::实际上（等于at the bottom）¦bottom plate::底板；主夹板；下模托板¦bottom layer::底层¦hit bottom::向下探底，得到结论¦from the bottom up::adv. 从下到上¦bottom surface::底面；反面¦sea bottom::海底；海床¦bottom up::颠倒，倒置；[俗]干杯¦flat bottom::n. 平底；平匠¦tank bottom::槽底¦bottom board::底板；浇注底板；垫板¦rock bottom::最低点¦bottom part::底部；下模	The drugs had been hidden in a suitcase with a false bottom.::毒品藏在一个带假底板的行李箱里。
fisherman	'fɪʃɚmən	'fɪʃəmən	n::渔民；钓鱼的人		The Algarve is a paradise for fishermen whether river anglers or deep-sea fishermen.::阿尔加维对河边的垂钓者或深海的渔民都是一个天堂。
coal	kol	kəʊl	n::煤；煤块	coal mine::煤矿，煤矿坑¦coal mining::煤矿开采¦coal seam::煤层¦coal industry::煤炭工业¦coal preparation::选煤¦pulverized coal::煤粉；[机]粉煤¦coal bed::煤层；煤床¦coal gas::煤气；煤炭气¦coal production::煤产量¦coal gasification::煤的气化¦coal tar::n. [化]煤焦油¦coal face::n. 煤的采掘现场；因开采而露出的煤面¦coal ash::煤灰¦coal gangue::煤矸石¦coal field::煤田¦coking coal::焦煤；炼焦煤¦coal dust::煤尘；煤粉¦raw coal::原煤¦coal measures::[地]煤层¦coal slurry::煤泥	Put some coal on the fire.::往火里加点煤。¦the coal mining industry::采煤业¦a lump of coal::一块煤
public	'pʌblɪk	'pʌblɪk	adj::公众的；公共的¦n::民众；百姓	in public::adv. 公开地，当众¦public health::n. 公共卫生；公共卫生设施¦public security::公共安全¦public opinion::民意；公众舆论¦public service::公共服务，公益服务；公用设施¦public interest::公共利益¦general public::公众¦public policy::国家政策¦public transportation::公共交通，公共运输；公共交通工具¦public transport::公交车¦public administration::公共行政；公共管理；行政管理¦public bidding::公开投标¦public library::公共图书馆；公立图书馆¦public finance::财政学¦public welfare::公共福利，公用福利设施；社会福利¦invite public bidding::（公开）招标¦public space::公共空间；银行营业厅¦public order::公共秩序；社会治安¦public housing::公共住房，政府为低收入者所建的住房¦public sector::国营部门经济；政府资助的企事业；社会经济的公有部份	We have to show that publishing this story is in the public interest (= helpful or useful to ordinary people ) .::我们必须证明刊登这篇报道有利于公众。¦full public access to information::公众对信息的充分知情权¦Public opinion is gradually shifting in favor of the imprisoned men.::舆论渐渐倾向于同情入狱的男子。¦a public telephone::公用电话¦The meeting will be open to the general public .::会议将向公众开放。
ugly	'ʌɡli	'ʌglɪ	adj::丑陋的；难看的	ugly duckling::丑小鸭；小时难看长大后变得才貌出众的人	a very ugly man::非常丑陋的男子¦the ugliest building in town::城里最难看的建筑¦Nick’s dog is as ugly as sin (= very ugly ).::尼克的狗难看得要命。
advantage	əd'væntɪdʒ	əd'vɑːntɪdʒ	n::有利条件；优点	take advantage of::利用¦competitive advantage::竞争优势¦advantage in::发球占先；发球人领先¦comparative advantage::[经]比较利益；相对优势¦have the advantage of::胜过；处于……有利条件¦advantage over::占优势；优于…的有利条件¦take full advantage of::v. 充分利用¦competition advantage::竞争优势¦economic advantage::经济利益，经济优势¦absolute advantage::绝对利益¦to the advantage of::对……有利¦to the best advantage::效果最佳地；最出色地¦sustainable competitive advantage::可持续的竞争优势¦unfair advantage::不公平的优势¦relative advantage::相对优势；相对利益¦at an advantage::处于有利地位¦have an advantage over::胜过，优于¦advantage in competition::竞争优势¦mechanical advantage::[机]机械利益	Younger workers tend to be at an advantage (=  have an advantage  ) when applying for jobs.::年轻点的工人申请工作时往往处于优势地位。¦It might be to your advantage (=  it might help you  ) to take a computer course of some kind.::上一门计算机课程可能对你有利。¦One of the many advantages of living in New York is that you can eat out at almost any time of day.::住在纽约的诸多好处之一是几乎任何时候都可以外出吃饭。
cost	kɔst	kɒst	v::花费；价钱为；计算…的成本；估计…的花费¦n::价钱，费用；花费	the cost of::以…为代价¦low cost::低成本，廉价的¦production cost::生产成本¦at the cost of::以…为代价¦cost control::成本控制¦cost management::成本管理¦high cost::高成本¦project cost::工程项目成本；施工费用¦operation cost::营业成本；业务费用；经营费用¦total cost::总成本¦cost accounting::成本会计，成本核算¦construction cost::建造成本；工程费¦manufacturing cost::制造成本¦at any cost::无论如何；不惜任何代价（等于at all costs）¦transaction cost::交易成本，交易费用¦at cost::adv. 按成本；照原价¦product cost::产品成本¦operating cost::使用费；使用费用；生产费用；营业费；运转成本¦cost effective::有成本效益的；划算的；成本效率¦maintenance cost::维护费用	A full day’s activities will cost you £45.::全天的活动需要45英镑。¦We’ll get the plan costed before presenting it to the board.::在把计划提交董事会以前，我们会核算成本。¦I offered to pay the cost of the taxi.::我提出支付出租车费。¦At this rate we’ll barely cover our costs (= make enough money to pay for the things we have bought ) .::照这样下去，我们只勉强够支付成本。
wooden	'wʊdn	'wʊd(ə)n	adj::木制的；木头的	wooden furniture::木制家具；木家具¦wooden box::木箱；木盒子¦wooden floor::木质地板¦wooden door::木门¦wooden case::木箱；木盆¦wooden frame::木框板，木棚¦wooden house::木屋¦wooden horse::n. 木马¦wooden toy::木制玩具¦wooden spoon::木匙；末名奖¦wooden pallet::木托盘¦wooden crate::木箱¦wooden boat::小木船¦wooden tray::木盘子¦wooden peg::木栓，木桩¦wooden shoes::木鞋¦wooden leg::木制的腿¦wooden hammer::木锤¦wooden comb::木梳¦wooden fish::木鱼	a wooden bench::木制长椅
plastic	'plæstɪk	'plæstɪk	adj::塑料的¦n::塑料；塑胶	plastic deformation::[化]塑性变形，塑性应变¦plastic film::塑料薄膜；塑胶膜¦plastic bag::塑料袋；塑胶袋¦plastic packaging::塑料封装¦plastic surgery::[医]整形外科¦reinforced plastic::增强塑料¦plastic product::塑料制品¦plastic material::塑性材料，塑料¦plastic pipe::塑料管，塑料管材¦fiber reinforced plastic::纤维增强塑料¦plastic strain::塑性应变¦plastic part::塑料件；塑料零件¦plastic bottle::塑料瓶¦plastic welding::塑态焊接；塑性焊接¦plastic flow::塑性流动；塑性流；范性流变；粘（滞）流（动）¦plastic sheet::塑料片材；薄片；塑料薄膜¦plastic packing::塑料包装；塑料填密¦rigid plastic::硬质塑料¦foam plastic::泡沫塑料；泡沫塑胶¦plastic limit::塑性极限；塑性限度	a plastic spoon::塑料汤匙¦plastic bags::塑料袋¦children’s toys made of plastic::塑料儿童玩具
make a difference			::有关系，作用，影响		Whatever she did, it made no difference. ＃::不管她做什么都没有用。
shark	ʃɑrk	ʃɑːk	n::鲨鱼	shark fin::鱼翅，鲨鱼鳍¦great white shark::大白鲨¦whale shark::鲸鲨¦loan shark::n. [口]放高利贷者	Sharks were circling around our boat.::鲨鱼在我们的小船周围游弋。
fin	fɪn	fɪn	n::（鱼）鳍	dorsal fin::n. 背鳍¦shark fin::鱼翅，鲨鱼鳍¦fin tube::[机]翅片管¦tail fin::鱼的尾鳍；[空]直尾翼，垂直尾翼¦fin stabilizer::减摇鳍装置；防摇鳍，鳍板稳定器¦pectoral fin::[鱼]胸鳍¦radiator fin::散热片；散热器片¦anal fin::臀鳍¦fin ray::鳍条¦pelvic fin::腹鳍	We could see the fin of a shark as it slowly circled our boat.::一条鲨鱼绕着我们的船缓缓转圈，我们都看到它的鳍。
cut off			::割掉；砍掉	cutoff frequency::截止频率¦cutoff wall::隔水墙；截水墙；齿墙¦cutoff wavelength::截止波长¦cutoff grade::边界品位；最低品位¦cutoff point::截点；分界点¦cutoff value::截断值	Mrs. Johnson cut off a generous piece of the meat.::约翰逊太太切下一大块肉。¦He threatened to cut my hair off.::他威胁要剪掉我的头发。
method	'mɛθəd	'meθəd	n::方法；措施	analysis method::解析法；离子微探针质谱仪分析法¦design method::设计方法，设计法¦finite element method (FEM)::有限元素法¦finite element method (fem)::有限元素法¦finite element method::[计]有限元法；[化]有限单元法¦control method::控制方法，检查法¦calculation method::计算方法¦teaching method::教学方法；教学方式¦test method::检测方法，检测方法¦analytical method::分析法¦traditional method::传统方法；传统法¦research method::研究方法；研究模式¦simulation method::模拟法；仿真法¦processing method::处理方法；加工方法¦testing method::检测方法；试验法¦numerical method::数值方法；数值计算法¦preparation method::制备方法¦optimization method::优化方法；最优化方法¦measuring method::测量方法¦mining method::矿山法；开采法	traditional teaching methods::传统的教学法¦I think we should try again using a different method.::我想我们应该用不同的方法再试一次。¦effective methods for the storage and retrieval of information::信息存储和检索的有效方法
cruel	kruəl	krʊəl	adj::残酷的；残忍的	extremely cruel::极其残忍；惨绝人寰	His death was a cruel blow .::他的死是个无情的打击。¦Sometimes life seems unbearably cruel.::有时候生活残酷得让人无法承受。¦The prisoner was a hard cruel man.::这个囚犯残酷无情。
harmful	'hɑrmfəl	'hɑːmfʊl; -f(ə)l	adj::有害的	harmful gas::有害气体¦harmful effect::不良影响；有害效应¦harmful bacteria::有害细菌；病菌¦harmful substance::有害物质¦harmful chemicals::有害化合物¦harmful factor::有害因素¦harmful interference::有害干扰	the harmful effects of smoking::吸烟的害处
chain	tʃen	tʃeɪn	n::链子；链条	supply chain::供应链；供给链；供需链¦supply chain management::供应连锁管理¦value chain::价值链¦industrial chain::产业链；工业链锁¦chain reaction::连锁反应；链式反应¦food chain::食物链¦markov chain::n. [统]马尔可夫链¦chain store::连锁商店¦polymerase chain reaction::聚合酶链反应¦in chains::在囚禁中；上着镣铐¦side chain::侧链；侧锁¦long chain::长链¦key chain::钥匙扣；钥匙链¦chain link::链连¦chain length::[化]链长¦production chain::生产链；流水线¦cold chain::（新鲜食品的）低温运输系统¦retail chain::连锁店；零售联营¦chain wheel::链轮；滑轮¦chain transfer::链转移；链传递	She had a gold chain around her neck.::她脖子上戴了条金项链。¦a length of heavy chain::一段沉重的链条¦the Mayor’s chain of office::市长的链徽
ecosystem	'ɛko,sɪstəm	'iːkəʊsɪstəm	n::生态系统	natural ecosystem::自然生态系统¦terrestrial ecosystem::陆地生态系统¦agricultural ecosystem::农业生态系统¦ecosystem structure::生态系统结构¦ecosystem function::生态系统功能¦artificial ecosystem::人工生态系统¦ecosystem ecology::生态系统；生态学¦ecosystem type::生态系统型	...the forest ecosystem.::…森林生态系统。
low		ləʊ	adj::（数量等）少的；低的；矮的	low cost::低成本，廉价的¦low temperature::低温¦high and low::到处；高低贵贱¦low price::低价；廉价¦low pressure::低气压；松懈¦low level::低水平；低能级¦low noise::低噪声，低噪声的¦low power::低功率，小功率¦low permeability::低透水性¦low in::缺乏，低¦at the lowest::至少；最低¦low frequency::低频率；低周波¦low energy::低能的；低能量¦low voltage::低电压¦low speed::低速；慢速¦low carbon::低碳的¦low density::低密度¦low quality::质量低劣¦low concentration::低浓度；低集中度¦low power consumption::低功耗；低电耗	Their safety standards seem to be pretty low.::他们的安全标准似乎相当低。¦Cost-cutting has led to a lower quality of service.::削减成本导致服务质量降低。¦the children’s low achievement in school::孩子们在学校里不好的成绩¦a long low building ＃::一栋长而矮的建筑
industry	'ɪndəstri	'ɪndəstrɪ	n::工业；行业	industry and commerce::工商业¦chemical industry::化学工业¦manufacturing industry::制造业，制造工业¦food industry::食品工业，食品产业¦steel industry::钢铁工业；钢铁业；炼钢工业¦information industry::信息产业；情报企业¦automobile industry::汽车产业，汽车业；汽车工业¦textile industry::纺织工业¦power industry::电力工业¦service industry::服务行业¦coal industry::煤炭工业¦mining industry::[经]采矿工业¦auto industry::汽车工业；汽车业；汽车行业¦tourism industry::旅游业¦light industry::轻工业¦construction industry::建筑工业¦petrochemical industry::石油化学工业¦paper industry::造纸工业¦pillar industry::支柱产业；主要工业¦processing industry::加工工业	This type of software is widely used in industry.::这种软件广泛应用于工业。¦I work in the oil industry.::我在石油行业工作。¦Italy’s thriving tourist industry::意大利蓬勃发展的旅游业
law	lɔ	lɔː	n::法律；法规	by law::n. 根据法律，在法律上；附则¦criminal law::刑法¦law enforcement::法律的实施¦rule of law::法治；法律规则¦civil law::民法¦contract law::合同法¦in law::在法律上；依法¦international law::国际法；国际公法¦common law::习惯法；不成文法¦administrative law::行政法¦basic law::基本法律；一国或一邦的政府的基本组织的书面说明¦tax law::税法¦company law::[经]公司法¦economic law::经济法¦law firm::法律事务所¦control law::控制律¦law school::法学院；法律学校¦copyright law::著作权法；版权法¦environmental law::环境法¦labor law::劳动法	Elected officials ought to obey the law.::民选官员理应遵守法律。
reusable	,ri'juzəbl	ri:'ju:zəbl	adj::可重复使用的；可再次使用的		Store refrigerated food in reusable containers rather than in plastic wrap or aluminium foil.::用可再用容器而不是保鲜膜或铝箔纸来储存冷冻食品。
afford	ə'fɔrd	ə'fɔːd	v::买得起；承担得起（后果）	can afford::买得起；有能力负担	I couldn’t afford the rent on my own.::我单靠自己付不起房租。¦How can she afford to eat out every night?::每天晚上下馆子她怎么能负担得起？¦We can’t afford to wait any longer or we’ll miss the plane. ＃::我们再也不能等下去了，否则会赶不上飞机的。
transportation	,trænspɔr'teʃən	trænspɔː'teɪʃ(ə)n; trɑːns-	n::运输业；交通运输	transportation system::运输系统；交通物流系统¦public transportation::公共交通，公共运输；公共交通工具¦urban transportation::城市交通运输；市区运输¦road transportation::公路运输¦air transportation::空运；航空运输¦transportation equipment::运输设备¦transportation company::运输公司¦transportation industry::交通运输业；交通事业¦transportation cost::运输成本，运输费用¦means of transportation::交通设施¦water transportation::水路运输¦land transportation::陆路运输¦transportation facilities::运输设备；运输设施；运输工具¦department of transportation::运输部¦transportation process::运输过程¦transportation problem::运输问题¦ocean transportation::海洋运输¦transportation infrastructure::运输基本设施¦transportation business::运输业¦marine transportation::海上运输	The city needs to improve its public transportation (= buses, trains etc ) .::这座城市需要改善公共交通。
recycle	,ri'saɪkl	riː'saɪk(ə)l	v::回收利用；再利用	recycle bin::回收站；资源回收筒¦recycle gas::回注气，循环气	We take all our bottles to be recycled.::我们把我们所有的瓶子都回收利用。¦packaging made of recycled paper::再生纸包装材料
napkin	'næpkɪn	'næpkɪn	n::餐巾；餐巾纸	sanitary napkin::（美）卫生棉¦paper napkin::餐巾纸；纸餐巾	...taking tiny bites of a hot dog and daintily wiping my lips with a napkin.::…小口咬着热狗并用餐巾文雅地擦着我的嘴唇。
upside down			::颠倒；倒转		To get the plant out of the pot, turn it upside down and give it a gentle knock.::如果要把植物从盆里取出来，就把花盆翻过来，轻轻敲一下。
gate	ɡet	geɪt	n::大门	gate valve::闸门阀；闸式阀¦school gate::校门；学校大门¦south gate::南盖特（美国加利福尼亚州西南部城市）¦gate array::[计]门阵列；门数组¦golden gate::金门海峡（美国一海峡）¦and gate::“与”门¦golden gate bridge::金门大桥¦water gate::n. 水闸；闸口¦front gate::前门；大门¦sluice gate::n. 水闸；水门¦boarding gate::n. 登机门；登机闸口¦gate opening::闸门开启高度；导叶开度¦knife gate::刀形进模口；压边浇口¦gate number::登机口号码；门号¦radial gate::弧形闸门¦main gate::正门，大门；主电闸；主选择脉冲¦valve gate::阀门；阀门浇口¦in gate::输入门¦or gate::或门；或闸；文件管理¦logic gate::逻辑闸，逻辑门	We went through the gate into the orchard.::我们穿过大门进了果园。¦the wrought-iron gates of the palace::宫殿的锻铁大门
bottle	'bɑtl	'bɒt(ə)l	n::瓶；瓶子	a bottle of::一瓶¦on the bottle::◎靠奶瓶喂养；吮吸奶瓶¦glass bottle::玻璃瓶¦plastic bottle::塑料瓶¦bottle neck::瓶颈¦water bottle::水瓶，水壶¦bottle opener::开瓶器；开瓶刀¦bottle cap::瓶盖¦beer bottle::啤酒瓶¦perfume bottle::香水瓶¦empty bottle::空瓶子，空瓶¦snuff bottle::鼻烟壶¦hit the bottle::酗酒¦gas bottle::气瓶；洗气瓶¦thermos bottle::n. 热水瓶¦bottle up::隐藏，克制；装入瓶中控制，严密封锁¦spray bottle::喷雾瓶；喷药瓶¦steel bottle::钢瓶¦like one's bottle::[口语]贪杯，嗜酒¦over a bottle::一面喝酒(一面…)；手边搁着酒杯，以交谊方式	an empty bottle::一个空瓶子
president	'prɛzɪdənt	'prezɪd(ə)nt	n::主席；总统；负责人	vice president::副总统；副主席¦former president::前任总统¦senior vice president::高级副总裁¦executive vice president::执行副总裁¦honorary president::名誉会长，名誉主席¦acting president::代总统；代理校长；代理总裁¦president elect::当选总统（尚未就职的）¦deputy president::副行长；副校长¦assistant president::总裁助理¦president office::校长办公室	President Bush::布什总统¦a former President of the Royal Society ＃::皇家学会的前会长
inspiration	ˌɪnspəˈreʃən	ˌɪnspəˈreɪʃn	n::灵感；鼓舞人心的人（或事物）		The Malvern Hills have provided inspiration for many artists and musicians over the decades.::几十年来，莫尔文丘陵为很多艺术家和音乐家提供了灵感。¦He raised his eyes to the altar as if seeking inspiration.::他抬头看看祭坛，似乎在寻求灵感。¦He draws inspiration from ordinary scenes.::他从日常生活中得到灵感。¦Mary Quant’s inspiration comes from the glam style of the seventies.::玛莉·官的灵感来自70年代的魅惑风格。¦He had a sudden flash of inspiration.::他突然灵感闪现。¦He has always been a source of inspiration for me.::他一直是我灵感的源泉。¦People like Tara are an inspiration to us all. ＃::像塔拉这样的人鼓舞着我们大家。
metal	'mɛtl	'met(ə)l	n::金属	heavy metal::重金属摇滚乐¦sheet metal::金属薄片¦nonferrous metal::有色金属；非铁金属¦metal forming::n. 金属成形¦metal parts::金属零件¦hot metal::液态金属，铁水；高温金属¦metal processing::金属加工¦metal cutting::金属切削¦transition metal::过渡金属¦metal matrix::金属基体；金属模版¦precious metal::贵金属，贵重金属¦metal ion::金属离子¦base metal::[化]基底金属；碱金属¦metal plate::n. 金属板；铁板¦metal oxide::n. 金属氧化物；金属氧化物电阻；金属绝缘膜¦liquid metal::液态金属；液体金属¦metal powder::金属粉末¦molten metal::熔融金属；熔态金属；金属熔液¦weld metal::焊缝金属¦metal sheet::金属板，金属片	The gate is made of metal.::这扇大门是用金属做成的。¦a small black metal box::一个黑色的金属小盒子¦They traded in gold and other precious metals (= valuable metals used especially for making jewellery ) .::他们做黄金和其他贵金属的交易。¦The old trucks were sold as scrap metal (= old metal that is melted and used again ) .::这些旧卡车被当作金属废料卖掉了。
creativity	,krie'tɪvəti	,kriːeɪ'tɪvɪtɪ	n::创造力；独创性		artistic creativity::艺术创造力¦Teachers have been attacked for stifling creativity in their pupils.::教师被批评压抑了学生的创造力。¦Editors complain about the lack of creativity in the ideas put to them.::编辑们抱怨说交给他们的选题缺乏创意。
WildAid			::野生救援协会（美国）		Since 1999, WildAid has helped the Russian government save the Siberian Tiger.::“野生救援”从1999年开始帮助俄罗斯政府拯救西伯利亚虎。¦Yao Ming, the famous professional basketball star is warmly welcomed by Eddie Wong, Director of Marketing of Renaissance Shanghai Pudong Hotel, for the launch of WildAid Shark Conservation PSA.::全球闻名的职业篮球明星姚明在参加“野生救援协会护鲨公益广告全球投放新闻发布会”时，受到了上海淳大万丽酒店市场总监黄凯迪的热忱欢迎。
WWF			::世界自然基金会(World Wide Fund For Nature)		The WWF says it is worried about the loss of and damage to Earth's environment.::世界自然基金会称很担心这给地球环境带来的损失和破坏。
Mark		mɑːk	::马克（男名）	trade mark::商标；特征¦mark on::标上；在…上做记录¦mark twain::n. 马克·吐温（美国小说家）¦mark in::加画，绘入¦mark with::在…上面标上…¦question mark::问号¦beyond the mark::adv. 越界；过度¦on the mark::◎切题的，恰当的，中肯的¦good mark::◎操行良好的标记；良好的评分¦mark out::规划，制定¦main mark::主标志；包装货标¦high mark::高分；高潮线¦certification mark::证明商标；商品标志¦punctuation mark::n. 标点符号¦registered trade mark::注册商标¦shipping mark::唛头；发货标记；装运标志¦full mark::满分¦off the mark::不相关¦water mark::n. 水位标志；潮汐标尺；水印¦hit the mark::打中目标；达到目的；成功	
Jason	'dʒesən	ˈdʒeɪsən	::杰森（男名）	jason kidd::贾森·基德（NBA体育明星）¦jason williams::n. 贾森·威廉姆斯（美国篮球明星）	Jason: No, I just want to accumulate some useful experience there.::杰森:不想，我只想在那里积累一些有用的经验。¦Jason: So, can you help me to do this work?::杰森: 那么你能帮我做这个工作吗？
Ken			::肯（男名）		Do they associate with Mary and Ken out of genuine affection, or because spending time with such miserable types makes them feel (and look) better?::他们陪伴玛丽和肯恩真的是出于诚挚的感情吗？ 亦或是这些悲惨的人能令他们感觉（或是看起来）更好?
Hayes	heiz	heiz	::海斯（姓）	chuck hayes::n. 查克海耶斯（美国篮球明星）	
Jessica	'dʒesikə	'dʒesɪkə	::杰茜卡（女名）	sarah jessica parker::莎拉·杰西卡·帕克（美国女演员）¦jessica alba::杰西卡·奥尔芭（美国女明星）¦jessica simpson::杰西卡·辛普森（美国女演员）¦jessica biel::杰西卡·贝尔（美国女演员）	You can ask Jessica what it’s like to be his sister.::你可以问问杰西卡，做乔伊的姐姐是个什么感觉。
Survey	ˈsɝˌve; (for v.) sɝˈve	ˈsəːveɪ; (for v.) səˈveɪ	n::调查	questionnaire survey::问卷调查¦survey data::测量数据，测量资料¦field survey::n. 实地调查；实地考察¦geological survey::地质调查；地质勘查；地质测量¦market survey::市场调查¦general survey::综合评述；一般检验¦sample survey::抽样检查；先行甸；样品鉴定¦survey method::调查法，鉴定法¦survey report::检验报告¦sampling survey::抽样调查；样本甸¦engineering survey::工程测量¦make a survey::做调查；进行测量，勘察¦seismic survey::地震勘测¦survey result::调查结果¦survey research::调查研究¦detailed survey::详细调查；详细勘测；碎部测量¦brief survey::简短的调查；简单的调查¦geologic survey::地质调查，地质勘探；地质测量；地质调查所¦epidemiological survey::流行病学调查；列病学甸¦land survey::土地测量	The council conducted a survey of the uses to which farm buildings are put.::该委员会对农场建筑的用途进行了一个调查。
