abandon	ə'bændən	ə'bænd(ə)n	v::离弃；放弃::to leave someone, especially someone you are responsible for	with abandon::恣意地，放纵地¦abandon ship::弃船	How could she abandon her own child?::她怎么能抛弃自己的孩子？	n::狂热；放任::loose, mania¦vt::遗弃；放弃::desert, yield, quit	adj::abandoned:: 被抛弃的；无约束的；恣意放荡的；寡廉鲜耻的¦n::abandonment:: 抛弃；放纵¦v::abandoned:: 抛弃（abandon的过去式和过去分词）	reclaim	 a + band(乐队) + on → 乐队解散， 放弃演出 → 放弃			
studious	'studɪəs	'stjuːdiəs	adj:: 好学的， 学习勤勉的； 专心的； 谨慎的， 认真的， 仔细的::spending a lot of time studying and reading		a quiet, studious young man::一个文静好学的年轻人	adj::用功的；热心的；专心的；故意的；适于学习的::focused, eager, designed, intended, conscious	adj::stud:: 种马的；为配种而饲养的¦adj::studied:: 有计划的；故意的¦adv::studiously:: 故意地；好学地；注意地¦n::study:: 学习，研究；课题；书房；学问¦n::stud:: 种马；大头钉；饰纽；壁骨¦n::studiousness:: 好学¦v::studied:: 学习（study的过去式）¦vi::study:: 研究；用功¦vt::study:: 学习；考虑；攻读；细察¦vt::stud:: 散布；用许多饰钮等装饰		来自 study(n./v. 学习)			
sensitive	'sɛnsətɪv	'sensətɪv	adj:: 敏感的， 灵敏的； 神经过敏的， 容易生气的； 易受伤害的::easily upset or offended by events or things that people say	sensitive skin::敏感性皮肤¦highly sensitive::高灵敏度的¦pressure sensitive::压敏，压敏材料¦sensitive information::感测信息；高度机密信息¦pressure sensitive adhesive::压敏粘着剂；压感胶粘剂；压敏型黏合剂¦be sensitive to something::对...敏感的；对...同情理解的¦sensitive material::感光材料；敏感（灵敏）材料¦temperature sensitive::对温度变化灵敏的¦sensitive area::敏感地区，敏感区¦case sensitive::区分大小写¦light sensitive::光敏的¦sensitive period::感应期，敏感期¦environmentally sensitive::环境易受破坏的；环境警觉的¦sensitive element::敏感元件；灵敏部分；感受元件¦sensitive time::灵敏时间；感光时间¦sensitive film::感光软片，感光胶卷¦phase sensitive::相敏的¦price sensitive::价格敏感性¦sensitive paper::n. 感光纸	a very sensitive child::一个很敏感的小孩	adj::[仪]敏感的；灵敏的；感光的；易受伤害的::vulnerable, subtle, quick	adj::sensible:: 明智的；明显的；意识到的；通晓事理的¦adj::sensing:: 敏感的¦adv::sensitively:: 敏感地；易感知地¦n::sensible:: 可感觉到的东西；敏感的人¦n::sensitivity:: 敏感；敏感性；过敏¦n::sensibility:: 情感；敏感性；感觉；识别力¦n::sensing:: 传感；感觉；测知¦n::sensitization:: 敏化作用；促进感受性；感光度之增强¦n::sensitiser:: 感光剂（等于sensitizer）¦n::sensitising:: 感光¦n::sensitiveness:: 神经过敏¦n::sensitizer:: [感光] 敏化剂；[感光] 感光剂；激敏物¦n::sensitizing:: 光敏处理¦n::sensitometer:: [摄] 感光计；[摄] 曝光表¦v::sensing:: 感觉，了解（sense的现在分词）¦v::sensitizing:: 使敏感（sensitize的ing形式）¦vi::sensitize:: 变得敏感¦vi::sensitise:: 变得敏感（等于sensitize）¦vt::sensitize:: 使敏感；使具有感光性¦vt::sensitise:: 使敏感（等于sensitize）¦vt::sensitising:: 使感光（sensitise的现在分词形式）		 sens(感觉) + itive → 敏感的			
vacant	'vekənt	'veɪkənt	adj:: 未占用的， 空的::a vacant seat, building, room or piece of land is empty and available for someone to use	vacant space::空舱位；未用空间¦vacant room::空房¦vacant position::职位空缺；空座¦vacant land::空地；闲置地¦vacant lot::空地¦vacant seat::空位，未被占座位	Only a few apartments were still vacant.::只有几套公寓仍然空着。¦There was only a vacant lot (= empty unused area of land in a city ) where her house used to be.::她以前房子所在的地方只剩下一块空地了。	adj::空虚的；空的；空缺的；空闲的；茫然的::available, empty, blank, leisure, hollow	adv::vacantly:: 神情茫然地¦n::vacancy:: 空缺；空位；空白；空虚¦n::vacuity:: 空虚；空白；思想贫乏；无聊之事		 vac(空) + ant(形容词后缀) → 未占用的			
afford	ə'fɔrd	ə'fɔːd	v:: 负担得起::to have enough money to buy or pay for something	can afford::买得起；有能力负担	I couldn’t afford the rent on my own.::我单靠自己付不起房租。¦How can she afford to eat out every night?::每天晚上下馆子她怎么能负担得起？	vt::给予，提供；买得起::allow, deal, extend, deliver, tender	adj::affordable:: 负担得起的		 af + ford(看作Ford， 美国大财阀福特家族) → 财大气粗 → 负担得起			
underground	ʌndɚˈɡraʊnd	'ʌndəgrəund	adv:: 在地下::under the earth’s surface¦adj::地下的::below the surface of the earth¦n::地铁[ˌʌndə'graund]::a railway system under the ground	underground water::地下水；潜水¦underground space::地下空间¦underground mining::地下开采；地下采矿¦an underground::地下工作者¦underground mine::地下矿山；地下开采矿¦underground garage::地下车库¦underground pipeline::地下管道¦underground structure::地下结构；地下构筑物¦underground parking::地下停车场¦underground tunnel::地下隧道¦underground construction::地下工程，地下建筑¦underground railway::地铁¦underground excavation::地下挖掘¦underground river::地下河；暗河¦underground station::地铁站；地铁车站；地下车站¦underground gasification::[化]地下气化；地下气化作用¦underground passage::地下通道；地底通道；地下道¦underground car park::地下停车站；地底停车场¦underground cable::地下电缆；地下光缆¦underground system::地下电缆网；地下交通系统	This animal spends most of its life underground.::这种动物一生中的大部分时间都待在地下。¦nuclear waste buried deep underground::深埋在地下的核废物	adv::在地下；秘密地::quietly, privately, secretly¦adj::地下的；秘密的；先锋派的::secret, chamber, inside, cabinet¦n::地下；地铁；地道；地下组织；秘密活动；先锋派团体::sub, metro, subway			 under(在…下) + ground(地面， 土地) → 地下的； 在地(面)下			
explorer	ɪk'splɔrɚ	ɪk'splɔːrə(r)	n:: 勘探者， 探险者::someone who travels through an unknown area to find out about it	internet explorer::因特网浏览器；微软网页浏览器¦solution explorer::[计]解决方案资源管理器（设计数据库所用软件的菜单选项）¦server explorer::服务器资源管理器；服务器总管¦microsoft internet explorer::用来游览Internet上web站的程式	...the travels of Columbus, Magellan, and many other explorers.::…哥伦布、麦哲伦和许多其他探险家的旅行。	n::探险家；探测者，探测器::finder, prober	adj::explorative:: 探究的；探险的；探测的¦n::exploration:: 探测；探究；踏勘¦vi::explore:: 探索；探测；探险¦vt::explore:: 探索；探测；探险		来自explore(v. 探险， 探索)			
biological	,baɪə'lɑdʒɪkl	ˌbaɪə'lɒdʒɪkl	adj:: 生物的； 生物学的， 有关生物学的::relating to the natural processes performed by living things	biological characteristics::生物学特性¦biological treatment::生物处理¦biological activity::生物活性¦biological engineering::生物工程；人工育种¦biological diversity::生物多样性；生物差异¦biological control::生物防治；生物控制¦biological effect::生物效应¦biological process::生物学过程；生化过程¦biological system::[计]生物系统¦biological clock::生物钟¦biological oxidation::生物氧化¦biological mother::生母；亲生母亲¦biological information::生物信息¦biological product::生物制品；生物制剂¦biological sample::生物标本；生物样品¦biological weapon::生物武器，细菌武器¦biological nitrogen fixation::生物固氮；生物固氮酌；生物固氮作用¦biological indicator::指示剂；指示生物；生物学指标¦biological chemistry::生物化学¦biological father::生父	the biological functions of the body::人体的生物机能¦Depression is both biological and psychological.::抑郁症与生理和心理都有关系。	adj::[生物]生物的；生物学的::biotic, organismal	adj::biologic:: 生物的；生物学的¦adj::bioluminescent:: 生物性发光的¦adv::biologically:: 生物学上，生物学地¦n::biology:: （一个地区全部的）生物；生物学¦n::biologist:: 生物学家¦n::bioluminescence:: 生物体之发光					
impression	ɪm'prɛʃən	ɪm'preʃn	n:: 印象， 感想； 印记， 压痕::the opinion or feeling you have about someone or something because of the way they seem	impression of::有…样的印象；对…的印象¦impression on::对…的印象¦first impression::第一印象¦give the impression::留下印象¦under the impression::记得；在印象中¦false impression::错觉；虚假印象¦make an impression::让人眼前一亮；给人留下…的印象¦general impression::整体印象¦lasting impression::长久的印象；不可磨灭的印象¦impression management::印象管理；印象操纵；印象整饰¦impression cylinder::压印滚筒	When we looked around the school we got a very good impression.::我们参观了学校，对它的印象很好。¦I got the impression that she wasn’t very happy with her job.::我有这样的印象，她的工作干得并不愉快。	n::印象；效果，影响；压痕，印记；感想::infection, effect, influence, affection, print	adj::impressive:: 感人的；令人钦佩的；给人以深刻印象的¦adj::impressionable:: 敏感的；易受影响的¦adj::impressionistic:: 印象派的；印象主义的；给人深刻印象的¦adj::impressible:: 敏感的；感受性强烈的；易感动的¦adv::impressively:: 令人难忘地；感人地¦n::impress:: 印象，印记；特征，痕迹¦n::impressionist:: 印象主义者；印象派作家¦n::impressionism:: 印象派，印象主义¦n::impressiveness:: 令人难忘；印象性；感人¦vi::impress:: 给人印象¦vt::impress:: 盖印；强征；传送；给予某人深刻印象		 impress(印， 盖印) + ion → 印象； 印记			
impede	ɪm'pid	ɪm'piːd	vt:: 阻碍， 妨碍::to make it difficult for someone or something to move forward or make progress		Storms at sea impeded our progress.::海上风暴阻碍了我们的航程。	vt::阻碍；妨碍；阻止::dispute, let, stem, slow	n::impediment:: 口吃；妨碍；阻止¦n::impedance:: [电] 阻抗		 im + ped(脚) + e → 用脚绊倒 → 阻碍， 妨碍			
maltreat	,mæl'trit	ˌmæl'triːt	vt:: 虐待::to treat a person or animal cruelly		The hostages said they were hungry but had not been maltreated.::人质说他们挨了饿，但没有受到虐待。	vt::虐待；滥用；粗暴对待::abuse, rough, strain	n::maltreatment:: 虐待；粗暴对待		 mal(坏) + treat(=tract拉) → 往坏处拉 → 虐待			
machinery	mə'ʃinəri	mə'ʃiːnəri	n:: 〈总称〉 机械； 机构::You can use machinery to refer to machines in general, or machines that are used in a factory or on a farm	machinery and equipment::机器及设备¦construction machinery::建筑机械；施工机械¦agricultural machinery::农业机械¦textile machinery::纺织机械¦machinery parts::机件，零件¦processing machinery::加工机械¦machinery plant::机器制造厂¦machinery equipment::机器设备¦electrical machinery::电力机械¦precision machinery::精密机械；精密机械学¦mining machinery::矿山机械；采矿机械¦heavy machinery::重型机械¦woodworking machinery::木工机械¦industrial machinery::工业机械¦electric machinery::电机机械，电机¦plastics machinery::塑料机械¦hydraulic machinery::水力机械¦chemical machinery::化工机械¦farm machinery::农业机械¦rotating machinery::旋转机械；旋转电机	...quality tools and machinery.::…优质工具和机械。	n::机械；[机]机器；机构；机械装置::organization, mechanism, house	adj::machinelike:: 机器般的¦n::machine:: 机械，机器；机构；机械般工作的人¦n::machinist:: 机械工；机械师；机械安装修理工¦vt::machine:: 用机器制造		 machin(机械) + ery → 机械			
inference	'ɪnfərəns	'ɪnfərəns	n:: 推论； 推断::something that you think is true, based on information that you have	inference engine::[计]推理机¦statistical inference::[统]统计推断¦inference method::n. 推理方法¦by inference::根据推理¦bayesian inference::贝叶斯推理¦inductive inference::归纳推理¦deductive inference::演绎推理¦inference rule::推理规则	There were two inferences to be drawn from her letter.::从她的来信可以得到两种推论。	n::推理；推论；[数]推断::conclusion, reasoning, consequence	adj::inferential:: 推理的；推论的；根据推理的¦vi::infer:: 推断；作出推论¦vt::infer:: 推断；推论		 从这些参考书(reference)里， 你能推断(inference)出什么？			
anatomy	ə'nætəmi	ə'nætəmi	n:: 解剖； 解剖结构::the scientific study of the structure of human or animal bodies	human anatomy::[医]人体解剖学¦anatomy and physiology::解剖生理学；解剖学与生理学¦applied anatomy::应用解剖学¦regional anatomy::局部解剖学¦gross anatomy::[医]大体解剖学¦comparative anatomy::比较解剖学¦department of anatomy::解剖学系¦grey's anatomy::实习医生格蕾（电视剧）¦pathological anatomy::病理解剖学	a professor of anatomy::解剖学教授	n::[解剖]解剖；解剖学；剖析；骨骼::cadre, dissection	adj::anatomical:: 解剖的；解剖学的；结构上的¦adj::anatomic:: 组织的；解剖学上的；结构上的¦adv::anatomically:: 结构上；解剖学上¦n::anatomist:: 解剖学家；剖析者¦vt::anatomise:: 解剖；解析¦vt::anatomize:: 解剖；仔细分析		 ana(分开) + tomy(切) → 切开机体组织 → 解剖(学)			
deliver	dɪ'lɪvɚ	dɪ'lɪvə(r)	v:: 交付， 递送； 发表， 表达； 释放； 接生::to take goods, letters, packages etc to a particular place or person	deliver the goods::交货；履行诺言¦deliver goods::交货¦deliver a speech::发表演讲；发表讲话¦deliver up::交出，放弃¦deliver from::从…处释放出来	The morning mail has just been delivered.::早晨的邮件刚送到。¦Do you deliver on Saturdays?::星期六你们送货吗？¦I’m having some flowers delivered for her birthday.::我在安排人给她送花祝贺生日。	vt::交付；发表；递送；释放；给予（打击）；给…接生::afford, allow, extend, deal, free¦vi::实现；传送；履行；投递::come true, come to pass	adj::deliverable:: 可以传送的；可交付使用的¦n::delivery:: [贸易] 交付；分娩；递送¦n::deliverance:: 释放，解救；救助；判决¦n::deliverer:: 拯救者；交付者；投递者		 de(使…) + liver(=liber 自由) → 使自由 → 递送； 释放			
phenomenon	fə'nɑmɪnən	fə'nɒmɪnən	n:: 现象， 迹象； 非凡的人::something that happens or exists in society, science, or nature, especially something that is studied because it is difficult to understand	social phenomenon::社会现象；群集现象¦natural phenomenon::自然现象¦normal phenomenon::正常现象¦psychological phenomenon::心理现象¦plateau phenomenon::高原现象¦el nino phenomenon::厄尔尼诺现象¦rebound phenomenon::回缩现象；回跳现象	Homelessness is not a new phenomenon .::无家可归已不是什么新现象。	n::[物]现象；奇迹；杰出的人才::wonder, miracle	adj::phenomenal:: 现象的；显著的；异常的；能知觉的¦adv::phenomenally:: 现象上地；明白地；从感官认识到¦n::phenomenology:: 现象学；现象论		 phen(出现) + omen(预兆) + on → 出现预兆的 → 迹象			
obsession	əb'sɛʃ(ə)n	əb'seʃn	n:: 牵挂， 惦念； 迷住， 困扰； 萦绕于心的事物或人； 固执的念头::If you say that someone has an obsession with a person or thing, you think they are spending too much time thinking about them		She would try to forget her obsession with Christopher.::她会试图忘掉她对克里斯托弗的迷恋。	n::痴迷；困扰；[内科][心理]强迫观念::besetment, obsessive idea	adj::obsessive:: 强迫性的；着迷的；分神的¦adj::obsessional:: 摆脱不了的¦adv::obsessively:: 过分地；着迷地，着魔似地¦n::obsessiveness:: 执念¦vt::obsess:: 迷住，缠住；使…着迷；使…困扰		 ob(逆) + sess(=sit坐) + ion → 坐立不安 → 困扰			
notify	'notə'fai	'nəutɪfaɪ	vt:: 通知， 报告::to formally or officially tell someone about something	notify party::到货受通知人¦also notify::另请通知	The skipper notified the coastguard of the tragedy.::船长通知了海岸警卫队这一灾难。	vt::通告，通知；公布::message, post, publish	n::notice:: 通知，布告；注意；公告¦n::notification:: 通知；通告；[法] 告示¦vi::notice:: 引起注意¦vt::notice:: 通知；注意到；留心		 not(知道) + ify(使…) → 使人知道 → 通知， 报告			
barbecue	'bɑrbɪkju	'bɑːbɪkjuː	n:: 金属烤肉架； 烧烤野餐::a meal or party during which food is cooked on a metal frame over a fire and eaten outdoors	barbecue sauce::烤肉调味酱；在全烧时涂抹烤物用的沙司；烧烤鱼或肉时所用调味液¦korean barbecue::韩国烤肉	We had a barbecue on the beach.::我们在海滩上烧烤。	n::烤肉；吃烤肉的野宴::bulgogi, bar-b-q			 barb(条， 棒) + ecue → 用木条支撑着进行烧烤 → 烧烤野餐			
bibliography	,bɪblɪ'ɑɡrəfi	ˌbɪbli'ɒgrəfi	n:: 参考书目； 书目； 文献学::a list of all the books and articles used in preparing a piece of writing	annotated bibliography::附说明的资料目录	At the end of this chapter there is a select bibliography of useful books.::本章末尾附着有用书籍的精选书目。	n::参考书目；[图情]文献目录::reference, reading list	adj::bibliographic:: 书目的；书籍解题的；著书目录的¦adj::bibliographical:: 书目的；书籍解题的；著书目录的¦n::bibliographer:: 书志学家；书目编制人¦n::bibliotheca:: 书目；藏书；图书馆		 bibl(书) + io + graph(写) + y → 写作中用的书 → 参考书目			
induction	ɪn'dʌkʃən	ɪn'dʌkʃn	n:: 就职； 归纳； 感应::the production of electricity in one object by another that already has electrical or magnetic power	induction motor::感应电动机；异步电动机¦induction heating::感应加热¦induction furnace::感应炉¦electromagnetic induction::电磁感应，电磁效应；感应电流；电磁离合器¦magnetic induction::磁感应，磁感应强度¦induction cooker::n. 电磁炉¦induction coil::感应线圈；电感器¦induction hardening::感应硬化，感应淬火¦induction period::[化]诱导期¦induction machine::感应式电机¦induction generator::感应发电机；异步发电机¦linear induction motor::直线感应电动机；线性感应电动机¦induction method::归纳法¦induction time::诱导时间，诱发时间¦induction melting::感应熔化，感应电熔¦induction brazing::感应钎焊，高频钎焊¦induction heater::电感应加热器¦induction training::入职培训；就职培训¦mathematical induction::数学归纳法¦vacuum induction furnace::真空感应炉；真空感应电炉	Mrs Simpson is responsible for the induction of new library staff.::辛普森太太负责图书馆新职员的入职培训。	n::[电磁]感应；[数]归纳法；感应现象::reaction, inductive method	adj::inductive:: [数] 归纳的；[电] 感应的；诱导的¦adj::induced:: 感应的；诱发型¦n::inductor:: 感应器；授职者；圣职授予的人¦n::inductance:: 电感；感应系数；自感应¦n::inductee:: 应召入伍的士兵；就任者¦v::induced:: 引诱；说服（induce的过去分词）¦vt::induce:: 诱导；引起；引诱；感应¦vt::induct:: 引导；感应；使…就职；征召入伍		 induct(就任； 归纳； 感应) + ion → 就职； 归纳； 感应			
greasy	'grisi	'griːsi;'griːzi	adj:: 多脂的； 油滑的::covered in grease or oil	greasy spoon::低级小饭馆；经济小吃店¦greasy wool::含脂原毛，汗羊毛	a shampoo for greasy hair::适用于油性发质的洗发液¦The food was heavy and greasy.::这食物油腻难消化。	adj::油腻的；含脂肪多的；谄媚的::fat, pinguid	adv::greasily:: 多脂；油腻地；油滑地；奉承地¦n::greasiness:: 油腻；多脂；阿谀奉承		 greas(e)(油脂) + y → 多脂的			
accredit	ə'krɛdɪt	ə'kredɪt	vt:: 信任， 相信， 委任， 授权； 把…归于::			vt::授权；信任；委派；归因于::credit, empower	adj::accredited:: 公认的；可信任的¦n::accreditation:: 委派；信赖；鉴定合格¦v::accredited:: 认可（accredit的过去分词形式）		 ac + credit(相信) → 信任， 相信			
disapprove	'dɪsə'prʊv	ˌdɪsə'pruːv	v:: 不赞成， 反对::to think that someone or their behaviour, ideas etc are bad or wrong	disapprove of::不赞成；不喜欢	I knew my parents would disapprove, but I went anyway.::我知道父母会反对，但我还是去了。¦Her family strongly disapproved of her behaviour.::她的家人极不赞同她的行为。	vt::不赞成；不同意::take a dim view of, disagree with¦vi::不赞成；不喜欢::take a dim view of, have a dislike of	adj::disapproving:: 反对的；不赞成的¦adv::disapprovingly:: 不以为然地；非难地；不赞成地¦n::disapproval:: 不赞成；不喜欢¦v::disapproving:: 不赞成；不同意（disapprove的ing形式）		 dis(不) + approve(赞成) → 不赞成			
nourish	'nɜrɪʃ	'nʌrɪʃ	vt:: 养育， 滋养； 培养::to give a person or other living thing the food and other substances they need in order to live, grow, and stay healthy		The cream contains vitamin A to nourish the skin.::这种护肤霜含有滋养肌肤的维生素A。¦a well nourished baby::营养良好的婴儿	vt::滋养；怀有；使健壮::harbor	adj::nourishing:: 有营养的；滋养多的¦n::nourishment:: 食物；营养品；滋养品¦v::nourishing:: 滋养；养育（nourish的ing形式）					
strike	straɪk	straɪk	v::打；折磨::to hit or fall against the surface of something¦n:: 罢工::a period of time when a group of workers deliberately stop working because of a disagreement about pay, working conditions etc	on strike::罢工，罢工中¦strike in::插嘴¦air strike::空袭¦strike at::袭击；攻击；向…打击¦lightning strike::n. 雷击（等于lightning stroke）；闪电式罢工¦strike for::为…而罢工¦strike slip::[地理学]走向位移；走向滑距¦general strike::大罢工¦strike down::杀死；击倒¦go on strike::举行罢工¦strike a chord::打动(某人的)心弦，在(某人心中)引起共鸣¦strike against::为反对…而罢工¦strike on::打在…上；突然想起¦strike up::使开始；建立起；开始演奏¦strike out::打击；删去；想出；产生¦strike fire::打火¦hunger strike::n. 绝食抗议¦strike twelve::获得最大成就；达到最高目标；显出全副本领¦strike someone as::在某人看来似乎...¦strike back::回击，反击	She fell heavily, striking her head against the side of the boat.::她重重地摔倒，头撞在船舷上。¦A snowball struck him on the back of the head.::一个雪球打中了他的后脑勺。¦Several cars were struck by falling trees.::几辆车被倒下的树砸中。¦The last rays of the setting sun struck the windows.::落日的最后一缕阳光照在窗户上。	vi::打，打击；[劳经]罢工；敲，敲击；抓；打动；穿透::grasp, beat upon¦vt::打，击；[劳经]罢工；撞击，冲击；侵袭；打动；到达::impact, beat upon¦n::[劳经]罢工；打击；殴打::stroke, shock, hit, hiding	adj::struck:: 受罢工影响的¦adj::striking:: 显著的，突出的，惊人的；打击的；罢工的¦n::striker:: 罢工者；打击者；[军] 撞针；钟锤；叉鱼的人¦n::strikebreaker:: [劳经] 破坏罢工者¦n::strikebreaking:: 破坏罢工¦v::struck:: 罢工，打，打击（strike的过去式和过去分词）¦v::striking:: 打（strike的ing形式）					
bent	bɛnt	bent	adj::被弄弯的，弯曲的::no longer straight¦n:: 爱好， 天赋::special natural skill or interest in a particular area	bent on::下决心¦bent out of shape::气坏了；大发雷霆¦bent axle::曲轴¦bent frame::排架；弯肋骨；烘弯肋骨¦bent pipe::弯管；弯头¦bent wood::曲木	a bent nail::弯曲的钉子¦Stand with your knees slightly bent.::双膝微曲站立。¦He breathed in deeply, bent double in pain (=  with the top part of your body leaning forward towards your legs  ) .::他深深地吸着气，痛得直不起腰来。¦a bent old man (=  not standing straight  )::一个驼背老汉	n::爱好，嗜好::weakness, interest, habit, like, appetite¦adj::弯曲的；决心的::curve, winding, flexural, crooked	adj::bentwood:: 弯曲木材制的；弯木制的					
allege	ə'lɛdʒ	ə'ledʒ	vt:: 断言， 宣称::to say that something is true or that someone has done something wrong, although it has not been proved		She alleged that there was rampant drug use among the male members of the group.::她指称该组织中有大量的男性成员吸毒。	vt::宣称，断言；提出…作为理由::declare, asseverate	adj::alleged:: 所谓的；声称的；被断言的¦n::allegation:: 主张，断言；辩解¦v::alleged:: 宣称（allege的过去式和过去分词）；断言		 al(向) + leg(送) + e → 用力向某人寄送 → 断言， 宣称			
positive	'pɑzətɪv	'pɒzətɪv	adj:: 明确的； 肯定的； 积极的::good or useful	positive effect::积极的效果；明显效果¦positive and negative::正反；肯定和否定¦positive attitude::积极态度¦positive correlation::[化]正相关¦positive influence::正面影响，积极影响¦positive results::阳性反应；积极的结果（positive result的复数）¦in a positive way::用积极的方法；从正面¦positive pressure::正压力¦positive feedback::正反馈¦positive response::肯定回应；[计]正响应¦false positive::假阳性¦positive change::正向的改变¦positive and negative effects::正负作用¦positive factor::积极的因素；正因素¦positive action::积极行动；强制作用¦positive energy::正能量；正面能量¦positive definite::[计]正定的¦positive control::正控制，完全控制¦positive interaction::n. 正相互作用¦positive ion::阳离子；正离子	At least something positive has come out of the situation.::至少这个情况也产生了一些积极的东西。¦Write down all the positive things about your life.::记下生活中所有好的事情。¦The rural environment was having a positive effect on the children’s health.::乡村环境对孩子们的健康有好处。¦It’s been a very positive experience for her.::那对她来说是一次非常有益的经历。¦TV can be a positive influence .::电视也会有好的影响。¦the positive contribution to the community made by many older people::许多老年人为社区做出的积极贡献¦It’s been a difficult time but, on the positive side , I feel physically fine.::日子过得不容易，不过从好的方面看，我的身体状况还不错。¦Women should be portrayed in a more positive light .::应该从更正面的角度来描绘女性。	adj::[电]积极的；[摄][物][数]正的，[化学][医]阳性的；确定的，肯定的；实际的，真实的；绝对的::active, established, practical, actual, fixed, effective, sincere	adv::positively:: 肯定地；明确地；断然地¦n::posit:: 假设；设想¦n::positivism:: 实证主义；实证论；积极性；武断¦n::positioner:: [机] 定位器¦n::positivist:: 实证主义者；实证哲学家¦n::positivity:: 积极性，确实¦n::positiveness:: 信心；肯定¦vt::posit:: 安置；假定		 pos(放) + it + ive(形容词后缀) → 放正心态的 → 积极的			
trigger	'trɪɡɚ	'trɪgə(r)	vt::引发，::to make something happen very quickly, especially a series of events	trigger circuit::[计]触发电路；同步起动电路¦trigger pulse::触发脉冲¦pull the trigger::开枪¦trigger off::引起；激起¦quick on the trigger::[美国口语]¦trigger signal::触发信号¦trigger point::触发点；扳机点¦schmitt trigger::施米特触发器¦trigger finger::扣扳机的手指	The assassination triggered off a wave of rioting.::这次暗杀事件引发了一阵骚乱。¦Certain forms of mental illness can be triggered by food allergies.::某些精神疾病可能由食物过敏引发。¦His action triggered a massive response from the government.::他的行动引发了政府的巨大反应。	vt::[物化]引发，引起；[电子]触发::attract, produce, cause, operate, occasion¦n::[军]扳机；[电子]触发器；制滑机::flip-flopper			 扣动扳机(trigger)射杀了一只老虎(tiger)			
favourite	'fevərɪt	'feɪvərɪt	adj::特别喜欢的，宠爱的::your favourite person or thing is the one that you like the most¦n:: 特别喜欢的人或物； 亲信::something that you like more than other things of the same kind		a child’s favourite toy::孩子最喜欢的玩具¦What’s your favourite colour?::你最喜欢什么颜色？¦a favorite spot for picnickers::野餐者最喜欢的地方		adj::favorable:: 有利的；良好的；赞成的，赞许的；讨人喜欢的¦adj::favored:: 有利的；受到优待的；受到喜爱的¦n::favor:: 喜爱；欢心；好感¦n::favouritism:: 徇私；偏爱；得宠¦v::favored:: 赞成；宠爱；帮助（favor的过去分词）；给…以恩惠¦vt::favor:: 赞成；喜欢；像；赐予；证实					
segregate	'sɛɡrɪɡet	'segrɪgeɪt	vt:: 隔离， 分开::to separate one group of people from others, especially because they are of a different race, sex, or religion		A large detachment of police was used to segregate the two rival camps of protesters.::一大队分遣警察被派来隔离两群敌对的抗议者。	vt::使隔离；[生物]使分离；在…实行种族隔离::separate, split, divorce	adj::segregated:: 被隔离的¦adj::segregationist:: 种族隔离主义的；种族隔离主义者的¦n::segregation:: 隔离，分离；种族隔离¦n::segregationist:: 种族隔离主义者¦n::segregator:: [机] 分离器；分离者¦v::segregated:: 隔离（segregate的过去式）；分离		 se(分离) + greg(人群) + ate → 使脱离人群 → 隔离， (使)分开			
rental	'rɛntl	'rentl	adj:: 租用的； 出租的::You use rental to describe things that are connected with the renting out of goods, properties, and services¦n::租金额；出租，租赁::the money that you pay to use a car, television, or other machine over a period of time	rental housing::租赁房屋¦car rental::汽车出租¦rental income::租赁收入¦equipment rental::设备租用¦residential rental::房租¦rental fee::租赁费¦rental house::租房；出租公司¦rental agreement::租约；租赁合同¦video rental::录影带租借¦rental agency::租凭公司¦rental rate::租金率¦rental return::租金收益¦rental value::租赁价值，租税价	A friend drove her to Atlanta, where she picked up a rental car.::一个朋友开车送她去了亚特兰大，在那里她租到了一辆车。	n::租金收入，租金；租赁::letting, leasing¦adj::租赁的；收取租金的::leasehold	adj::rentable:: 可租的¦n::rent:: 租金¦n::renter:: 承租人；佃户；房东；（英）影片出租商¦n::rente:: （法）年金，年收入；长期公债，公债利息¦vi::rent:: 租；出租¦vt::rent:: 出租；租用；租借					
at random			::胡乱地；随便地；任意地::			::胡乱地；随便地；任意地::at a venture, at hazard						
rotate	'rotet	rəu'teɪt	v:: 旋转， 转动； 轮流， 轮换::to turn with a circular movement around a central point, or to make something do this		The Earth rotates on its axis once every 24 hours.::地球每24小时绕地轴自转一周。¦Rotate the pan halfway through the baking time.::烘烤到一半时把盘子转一下。	vi::旋转；循环::wheel, circle, spin¦vt::使旋转；使转动；使轮流::turn, spin, swing	adj::rotary:: 旋转的，转动的；轮流的¦adj::rotational:: 转动的；回转的；轮流的¦adj::rotated:: 旋转的¦adj::rotatable:: 可旋转的；可转动的；可循环的¦adj::rotatory:: 旋转的；使回转的；轮流的；引起旋转的¦n::rotation:: 旋转；循环，轮流¦n::rotary:: 旋转式机器；[动力] 转缸式发动机¦v::rotated:: 旋转；使…转动；循环（rotate的过去分词）		 rot(旋转) + ate(使…) → (使)旋转， 转动			
